Name,Address,City,Rating,Review Count,Coordinates,Price
Los Angeles Camera Rentals,"['6212 Banner Ave', 'Los Angeles, CA 90038']",Los Angeles,5.0,37,"{'latitude': 34.0914696, 'longitude': -118.3249855}",2.0
Large Format Cameras,"['Las Vegas, NV 89123']",Las Vegas,5.0,6,"{'latitude': 36.02428, 'longitude': -115.1407}",4.0
Samy's Camera,"['431 S Fairfax Ave', 'Los Angeles, CA 90036']",Los Angeles,4.0,996,"{'latitude': 34.0688960236427, 'longitude': -118.361727791908}",3.0
Pro HD Rentals,"['2201 Hollywood Way', 'Ste 1', 'Burbank, CA 91505']",Burbank,5.0,51,"{'latitude': 34.188555, 'longitude': -118.34928}",2.0
Castex Rentals,"['1044 Cole Ave', 'Los Angeles, CA 90038']",Los Angeles,5.0,29,"{'latitude': 34.0902989663147, 'longitude': -118.329701932541}",
FD Photo Studio - ART Stages,"['1048 Santee St', 'Ste 510', 'Los Angeles, CA 90015']",Los Angeles,5.0,24,"{'latitude': 34.03773, 'longitude': -118.25573}",
Cinema Camera Rentals,"['4700 W Jefferson Blvd', 'Ste 102', 'Los Angeles, CA 90016']",Los Angeles,5.0,2,"{'latitude': 34.02525, 'longitude': -118.34738}",
Bokeh Rentals,"['3921 W Jefferson Blvd', 'Ste 103', 'Los Angeles, CA 90016']",Los Angeles,4.5,15,"{'latitude': 34.02588863806784, 'longitude': -118.3389418}",
Samy's Camera,"['1759 E Colorado Blvd', 'Pasadena, CA 91106']",Pasadena,4.0,490,"{'latitude': 34.14637, 'longitude': -118.11401}",3.0
FD Photo Studio,"['530 E 8th St', 'Fl 5', 'Los Angeles, CA 90014']",Los Angeles,4.5,256,"{'latitude': 34.03938, 'longitude': -118.25}",
Woodland Hills Camera and Telescopes,"['5348 Topanga Canyon Blvd', 'Woodland Hills, CA 91364']",Woodland Hills,4.0,135,"{'latitude': 34.1673, 'longitude': -118.60533}",2.0
Paul's Photo Inc,"['23845 Hawthorne Blvd', 'Torrance, CA 90505']",Torrance,4.5,201,"{'latitude': 33.8075867590572, 'longitude': -118.351535936738}",3.0
Lightstone Rentals,"['1441 Gardena Ave', 'Ste 1', 'Glendale, CA 91204']",Glendale,5.0,16,"{'latitude': 34.126851, 'longitude': -118.2601382}",
Top Lens Rental,"['21151 S Western Ave', 'Ste 100', 'Torrance, CA 90501']",Torrance,5.0,22,"{'latitude': 33.837166, 'longitude': -118.309797}",2.0
EVS,"['1819 Victory Blvd', 'Glendale, CA 91201']",Glendale,4.5,45,"{'latitude': 34.1632843017578, 'longitude': -118.302536010742}",
Samy's Camera Rentals - Playa Vista,"['12636 Beatrice St', 'Los Angeles, CA 90066']",Los Angeles,4.0,12,"{'latitude': 33.979576023524, 'longitude': -118.416681848466}",
Tuttle Cameras,"['5467 E Carson St', 'Long Beach, CA 90808']",Long Beach,4.0,162,"{'latitude': 33.832545, 'longitude': -118.1264294}",2.0
Rare Breeds Camera Rentals,"['2762 S La Cienega Blvd', 'Los Angeles, CA 90034']",Los Angeles,5.0,1,"{'latitude': 34.033051, 'longitude': -118.3748}",
AbelCine,"['801 S Main St', 'Burbank, CA 91506']",Burbank,4.0,18,"{'latitude': 34.1651614, 'longitude': -118.3134033}",2.0
The Camera Division,"['7351 Fulton Ave', 'North Hollywood, CA 91605']",North Hollywood,5.0,12,"{'latitude': 34.2043857, 'longitude': -118.4225506}",
Fullerton Cameras,"['809 N Harbor Blvd', 'Fullerton, CA 92832']",Fullerton,4.0,147,"{'latitude': 33.8778629153967, 'longitude': -117.924384176731}",2.0
T-Stop Camera Rentals,"['957 Cole Ave', 'Hollywood, CA 90038']",Hollywood,5.0,5,"{'latitude': 34.08876, 'longitude': -118.33022}",
Stray Angel Films,"['11318 Santa Monica Blvd', 'Los Angeles, CA 90025']",Los Angeles,4.5,26,"{'latitude': 34.045868, 'longitude': -118.448799}",
Deck of Aces Camera Rentals,"['1118 Chestnut St', 'Ste 102', 'Burbank, CA 91506']",Burbank,4.5,17,"{'latitude': 34.1801943784914, 'longitude': -118.323339271164}",2.0
Skye Rentals,"['164 W Providencia Ave', 'Burbank, CA 91502']",Burbank,5.0,5,"{'latitude': 34.1722606, 'longitude': -118.3089797}",
Deck Hand Camera Rentals,"['1905 S Victory Blvd', 'Ste 8', 'Glendale, CA 91201']",Glendale,5.0,8,"{'latitude': 34.1644835, 'longitude': -118.3040923}",2.0
Silvio's Photoworks,"['22409 Hawthorne Blvd', 'Torrance, CA 90505']",Torrance,4.0,130,"{'latitude': 33.8245156, 'longitude': -118.3514791}",2.0
Standard Camera,"['12023 Vose St', 'Ste 23', 'North Hollywood, CA 91605']",North Hollywood,5.0,2,"{'latitude': 34.0944043, 'longitude': -118.3201786}",
General Camera Repair,"['2218 E Colorado Blvd', 'Pasadena, CA 91107']",Pasadena,4.0,84,"{'latitude': 34.1458955, 'longitude': -118.1046798}",2.0
HD Creative Services,"['369 N Fairfax Ave', 'Ste 5', 'Los Angeles, CA 90036']",Los Angeles,5.0,1,"{'latitude': 34.0777801, 'longitude': -118.3616049}",
Birns & Sawyer,"['3039 Roswell St', 'Los Angeles, CA 90065']",Los Angeles,3.5,17,"{'latitude': 34.115214, 'longitude': -118.2441879}",2.0
Antagonist Camera,"['4610 Valley Blvd', 'Los Angeles, CA 90032']",Los Angeles,5.0,6,"{'latitude': 34.062362, 'longitude': -118.18356}",
Filmtools,"['1400 W Burbank Blvd', 'Burbank, CA 91506']",Burbank,3.5,108,"{'latitude': 34.182204, 'longitude': -118.327003}",2.0
IE Photo Rentals,"['558 W 2nd St', 'Unit B', 'Pomona, CA 91766']",Pomona,5.0,106,"{'latitude': 34.05744, 'longitude': -117.75514}",1.0
Camtec Motion Picture Cameras,"['4221 W Magnolia Blvd', 'Burbank, CA 91505']",Burbank,5.0,2,"{'latitude': 34.16625, 'longitude': -118.35296}",
Panavision Hollywood,"['6735 Selma Ave', 'Los Angeles, CA 90028']",Los Angeles,5.0,4,"{'latitude': 34.1000653537516, 'longitude': -118.337260627532}",3.0
Keslow Camera,"['5900 Blackwelder St', 'Culver City, CA 90232']",Culver City,4.0,4,"{'latitude': 34.0302728, 'longitude': -118.374859}",
BrainBox Cameras,"['6700 S Centinela Ave', 'Fl 2', 'Culver City, CA 90230']",Culver City,3.5,24,"{'latitude': 33.983879, 'longitude': -118.404642}",
Teleprompter Rental - Los Angeles,"['12050 Santa Monica Blvd', 'Los Angeles, CA 90025']",Los Angeles,5.0,2,"{'latitude': 34.0406978130341, 'longitude': -118.462810814381}",
EDGE Studios & Grip,"['1388 S Longwood Ave', 'Los Angeles, CA 90019']",Los Angeles,4.5,15,"{'latitude': 34.0487221781467, 'longitude': -118.341844218063}",2.0
