Review_0,Review_1,Review_2,Id
"Best pizza and cocktails in town! 
Great service, amazing staff and very cozy place  
If you want to have a good time with friends where feels like home I...","Heard so many good things about this place, unfortunately i was disappointed so much with the service i've received. 
I was so excited to try some where new...","I CANT BEGIN TO TELL YOU HOW MUCH I HATE THIS PLACE. 

Please don't waste your money and your time going there. Waitresses are like a walking zombie. They...",IFRkLTgDxzYLfyszrugH6A
"Pretty cool spot.  I came here with the intention of going to ""Gamez"" with some friends, but instead we much preferred the drinks and food options at Onyx....","Happy hour is pretty awesome mixed drinks or cheap are never bad 
Been there on weekend nights and gets over crowded and over priced but for weekdays I'm...","Great place Dj was playing 90s/early 2000s music before 11pm, mixed up the music with some new era music after 11pm but still playing decent music....",uNJ1d4r39cfp7Bwix3x_lg
"This place is a hidden gem and I don't want anyone to know 
 
Staff is very friendly, kind, and knowledgeable. The bartenders have a wealth of knowledge...","Best view around! The only thing that tops the quality of their awesome menu and tasty cocktails is their attentive customer service! This is hands down, my...",Fantastic view and incredible pizza! We love going to the roof for drinks! The staff is awesome and does a great job with keeping this place clean during...,zfeodwJ1BCRJl-cbRBHjpQ
"If you're into the salsa scene and enjoying dancing and watching a live band with dancers, then this is your scene. It sets a scene that makes you think...","This is definitely a unique gem hidden  in LA!
I arrived on Friday night to meet some friends for a birthday. When I first arrived I was told by the bouncer...","Been to about 10 speakeasy bars in 4 cities so far but hands down my favorite! If you're going on a Friday or Saturday, make sure you book a few days to a...",qosNAUyoOK3opm5wRllfbA
"5/5: $12: Perch Truffle Cheese Fries = The Pecorino was strong enough, but it didn't scare me away. Small portion, but enough to share. 

5/5: $55+:...","Dear Perch,

Amazing place and just something you can't have anywhere else. Heights are not my thing but being in love with who I'm with is. Nothing like...","During COVID19, it was hard to even think about dining outdoors a few weeks ago. Luckily, the restrictions were lifted right in time for Valentine's Day. We...",K-Fbh2WCHlqR56H9TnfpNA
I had an AMAZING time! I celebrated my birthday here on a Friday night. I inquired about bottle service weeks ahead via email and they were more than...,"This place is open during COVID-19 illegally.
I came here for a birthday party which I thought was going to be just a small group but it seems as though it...","The two times I've come here the place was severely understaffed and I had to literally BEG for food or drink. 
- Came to watch the Laker game on a...",WmNs8x3YoPoZG6ml-F1lSw
"I've been here a several times during the pandemic, and Potions never fails to make it a good time! The bartenders and the servers will take care of you and...","Nabi (Le Papillon) for $13 is Butterfly Pea Flower Vodka, Blueberry Basil Syrup, Lemon. Yummy drink with this cute little bottle of lemon potion to work...","Love the music and cocktails are amazing. 

Came right after quarantine and had SO much fun, it was quiet so we got to dance 

Need to come back asap.

Came...",EJ-vZh_dsGwe1suhZ79C_g
Wow. I think this might be my new favorite place in DTLA. We came here on a whim the Saturday before my birthday because I wanted to do something fun and...,"Rhythm Room LA is perfect for live music in DTLA. We went on a Friday night and the band, The Soul Spectacular, played until 12:30 at night. The band was...","Cool spot, they have board games, pool tables, air hockey tables. Live music which was great. When the Live music wasn't happening, other music was playing...",c1ozv7ODg7wBTEgWast0eA
"Contemporary, modern, sleek. If none of those words appeal to an atmosphere you're fond of, I'd suggest going elsewhere. This place gives me a NYC loft-like...","Came here for a friends birthday and had a lot of fun! You do pay a fee, there was plenty of room to roam around (3 rooms), and mid-20's crowd for sure! GA...","This is a club for the younger crowd. It doesn't open until 10pm and there is always a line. We paid $10 a person to get in on a Saturday night, you have...",m5DOIheloy_fYL5grSs-bw
"This is my favorite speak easy in the neighborhood. Great service, great drinks, awesome finger foods, awesome jukebox and the best happy hour menu in...","Everything else has pretty much been said in the other reviews already.

But I'm really disappointed with this jukebox. Lacked a lot of options we tried to...",Neat little bar across the street from the Hollywood Palladium. It gets packed pretty quickly in here but the service is good and the drinks are made...,bKpgt3ZsCJY50Sf_coZ73w
I visited this location a while back (1 year ago). Great music and environment. Cover was $20 and no line. Great view of DTLA.,"I just called to see if the restaurant was open, and the operator said that the hotel was closed indefinitely. Sad!",The Rooftop at the Standard is a fun hang-out spot with a beautiful view- if you can even get to it! The rooftop is at the tipety top of The Standard hotel...,-Ic9_mGjEfuWeDXPRDInWA
"Cutest outdoor space. Love the server, Mackenzie (Mack), honestly, our group was saying we can't remember the last time we had such a friendly, bubbly,...","Came here during outdoor covid dining. The staff was incredibly attentive, the drink recommendations were spot on and the food was delicious. Highly recommend.",Cute bar to visit during covid. The back patio was open and quiet. We were 2 out of the 10 people there. Service was great and the prices for the scotch was...,vD_vPxFQ8Bf4OO32bVsPxg
My only experience with the Wellesbourne has unfortunately been in the midst of the pandemic - I say unfortunately because this lounge/restaurant is...,Live in the hood and came here a couple times before the pandemic. It was always good enough. I haven't dined inside or outside at a restaurant since early...,Quarantine has me missing a lot of my favorite spots. Wednesday night Jazz here is one of my absolute favorite avocations for a school night. Plop a good...,vqexea2w5XPf4N1AJ8YL0w
"I really enjoy this place! If you want a lowkey vibe with cool music and good drinks, this is definitely a great spot to check out.

My boyfriend and I used...",Interesting little speakeasy hidden in the upstairs of 800 degree pizza. I think its a cool place to come check out if bar hopping but isn't exactly my...,This is one of my favorite go-tos in the neighborhood.  The drinks are fantastic and the music selection is beyond.  Please drop in.  You won't be disappointed.,RKSPAI90ITxbnq1-L_F5NA
Very beautiful vintage decor. Came for a friend's birthday party on a Saturday -- 4 tables in the back with bottle service. The staff was friendly and...,"I came here for a promotional product launch one night, and the place was unexpectedly really cute and suited for ! The inside was majestic, the curated...","Came here for a private party celebration, love the Hollywood vibe and atmosphere. It's small inside with some tables and sofas set up so has a cool, dive...",ddU-qXkBLuf3oMPWOf_iBw
I had the chance to visit this amazing place through an invite of a friend. I've never been before so I didn't know what to expect. Found out that it is...,"Completely blew me. I didn't know how nice the view is from here. And being that it is still new, many people know about it. You really get the whole area...","Happy hour 5-7: $5 buck bites 


Duck confit quesadilla:
This was alright. The duck was nicely cooked and juicy but I think the cheese and everything on the...",i7sE5osaJ8-L0uU3pkDxiw
One of the best hookah in LA! Make sure you ask hookah master for his favorite hookah! Hookah smokes for a very long time. IT IS LOTUS HEAD And that's why...,"This place is awesome!! I very much like the mood of it, as it is dark but lightened in different colors. The seats are very comfortable and the music is...","This is the best A+++ Hookah lounge hands down in the whole  Socal for sure . If there is anywhere else  hookah wise can beat here let me know !
They check...",wl0DdRHYDfRBkxCSXmK0jA
Cool spot in Hollywood! This is normally a speakeasy but we came for a Fever/Halloween event - Jack and Sally's wedding reception and bottomless sangria!...,"In my opinion, I have never seen such a detailed design before. Most likely, only in video games. Developers try to make the maximum atmosphere of what is...","Last weekend, I attended @fever_us, Jack & Sally's Bloody Bottomless Sangria Haunted Wedding Celebration. There were certainly things I loved, and some...",7L0tVfLmKTSn2-EMsBML-g
"Had my first drink here when I turned 21 and wouldn't have it any other way. Great staff that helped me pick my poison; waiters are very attentive. 

It's a...","My favorite bar in all of LA! I love the speak easy feel of the place and best drinks in town. It's dark, sexy and all ambiance.  First place I went back to...","(DRINKS)
The Hawaiian Sunset is delicious. Mmmmm. It's almost like a fruit smoothie with minimal vodka taste. 

The Bronco Buster is almost like a whiskey...",3wLmWg7VpSIt7LAmQmhIdA
"This place is really cool. If you are a whiskey and a cigar lover like myself, this is your place.

They have a profound array of cigars to choose from, and...","All I knew about whiskey is nothing, haha. I drank it clear and mixed with coke. I didn't know the difference between several types of whiskey, scotch,...","Seven Grand is DTLA's swanky whiskey bar. Located on the second level of an unmarked restaurant. 

They have happy hour until 8 pm daily. Unheard of in...",Ioj1auWAriBDbepYdMnA4A
"Came in here by completely chance!! We walked past it and caught a glimpse of the interior and heard the music and said let's check it out, and I'm so glad...",This is a super lowkey and inconspicuous bar in Chinatown! I don't think I would've noticed this place if I didn't find it on Yelp. They carry a pretty wide...,"Medium-sized dive bar with cool Chinese lanterns hanging from the ceiling.  Aside from the bar, the other side of the room has cushioned booth type seating...",-8F6d4PIG2Q7mFpvHaS3MA
