Name,Address,City,Rating,Review Count,Coordinates,Price,Id,Categories
Rooftop 93,"['93 Bowery', 'New York, NY 10002']",New York,4.0,369,"{'latitude': 40.7171, 'longitude': -73.99533}",2.0,511OTzlr0FkL4esfBxMzIw,"[{'alias': 'lounges', 'title': 'Lounges'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]"
MOON BAR Rooftop,"['137-72 Northern Blvd', 'Fl 9', 'Flushing, NY 11354']",Flushing,4.0,27,"{'latitude': 40.7635, 'longitude': -73.82844}",,uUPs_2S54rROkRTjlDOJVg,"[{'alias': 'lounges', 'title': 'Lounges'}]"
The Upstairs at 66,"['46 Stone St', 'New York, NY 10004']",New York,5.0,15,"{'latitude': 40.70418, 'longitude': -74.01048}",2.0,X0f9UYHoE4OxnuUq801vMg,"[{'alias': 'lounges', 'title': 'Lounges'}, {'alias': 'arcades', 'title': 'Arcades'}, {'alias': 'speakeasies', 'title': 'Speakeasies'}]"
Please Don't Tell,"['113 St Marks Pl', 'New York, NY 10009']",New York,4.0,1788,"{'latitude': 40.727157, 'longitude': -73.983721}",3.0,aiRctIzCj9J3UqBHd-Z3HQ,"[{'alias': 'lounges', 'title': 'Lounges'}, {'alias': 'speakeasies', 'title': 'Speakeasies'}]"
Anotheroom,"['249 W Broadway', 'New York, NY 10013']",New York,4.0,155,"{'latitude': 40.7197516, 'longitude': -74.0056772}",2.0,JnT3w2BDpaQpbBP76pyYew,"[{'alias': 'lounges', 'title': 'Lounges'}]"
Castell Rooftop Lounge,"['260 W 40th St', 'Fl 21', 'New York, NY 10018']",New York,4.0,103,"{'latitude': 40.75558, 'longitude': -73.99012}",2.0,qLYloGaI-4OmLbNnr_wrGA,"[{'alias': 'lounges', 'title': 'Lounges'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'tapas', 'title': 'Tapas Bars'}]"
Raines Law Room,"['48 W 17th St', 'New York, NY 10011']",New York,4.5,1456,"{'latitude': 40.73869, 'longitude': -73.99462}",3.0,J4pAppaiXwCkbLOGc4wHww,"[{'alias': 'lounges', 'title': 'Lounges'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'venues', 'title': 'Venues & Event Spaces'}]"
The Skylark,"['200 W 39th St', 'Fl 30', 'New York, NY 10018']",New York,4.0,560,"{'latitude': 40.754295, 'longitude': -73.989}",3.0,JZ06I46tmJlvYA_NZ7zyxw,"[{'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'venues', 'title': 'Venues & Event Spaces'}, {'alias': 'lounges', 'title': 'Lounges'}]"
The Delancey,"['168 Delancey St', 'New York, NY 10002']",New York,3.0,590,"{'latitude': 40.71803, 'longitude': -73.98528}",2.0,a3O2KzK6rh8VZNq1jhz81Q,"[{'alias': 'lounges', 'title': 'Lounges'}, {'alias': 'danceclubs', 'title': 'Dance Clubs'}]"
Desert Rain Lounge,"['107-29 Metropolitan Ave', 'Forest Hills, NY 11375']",Forest Hills,4.5,227,"{'latitude': 40.7097624, 'longitude': -73.8450965}",2.0,zPlYL0csMzHFYGMStr7IBw,"[{'alias': 'lounges', 'title': 'Lounges'}, {'alias': 'hookah_bars', 'title': 'Hookah Bars'}]"
The Up & Up,"['116 MacDougal St', 'New York, NY 10012']",New York,4.0,435,"{'latitude': 40.7295104447158, 'longitude': -74.0006693438721}",2.0,zWrZBXj5F2V_0UknnTfqbw,"[{'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]"
NOIR NY,"['357 W 16th St', 'New York, NY 10011']",New York,4.0,25,"{'latitude': 40.74211, 'longitude': -74.00374}",,MHYsq5skVsUT_jysA_BkVw,"[{'alias': 'lounges', 'title': 'Lounges'}]"
Bembé,"['81 S 6th St', 'Brooklyn, NY 11249']",Brooklyn,4.0,499,"{'latitude': 40.7110261023422, 'longitude': -73.9651918794702}",2.0,TZ4x0TUE5cIjwH2Qk6VJRQ,"[{'alias': 'danceclubs', 'title': 'Dance Clubs'}]"
The Top of the Standard,"['848 Washington St', 'New York, NY 10014']",New York,4.0,504,"{'latitude': 40.740828, 'longitude': -74.008074}",4.0,7OwoncdLdUlwh6JMwSz_GQ,"[{'alias': 'lounges', 'title': 'Lounges'}, {'alias': 'danceclubs', 'title': 'Dance Clubs'}]"
Sugar N Coal,"['63-42 Woodhaven Blvd', 'Rego Park, NY 11374']",Rego Park,4.0,320,"{'latitude': 40.723274, 'longitude': -73.86837}",2.0,MhBUK7K74bwIEebk_5ikhg,"[{'alias': 'hookah_bars', 'title': 'Hookah Bars'}, {'alias': 'desserts', 'title': 'Desserts'}, {'alias': 'lounges', 'title': 'Lounges'}]"
Mr. Purple,"['180 Orchard St', 'Hotel Indigo', 'New York, NY 10002']",New York,3.0,691,"{'latitude': 40.72175, 'longitude': -73.98802}",3.0,DfGVOGrlTQtkx2zdNM-Zbw,"[{'alias': 'lounges', 'title': 'Lounges'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]"
Sky Lounge,"['66 Rockwell Pl', 'Brooklyn, NY 11217']",Brooklyn,3.0,2,"{'latitude': 40.6880838, 'longitude': -73.9794905}",,AaCc4SNKHgoY_0bt6QPQSg,"[{'alias': 'lounges', 'title': 'Lounges'}]"
48 Lounge,"['1221 Ave Of The Americas', 'New York, NY 10020']",New York,4.0,304,"{'latitude': 40.759377, 'longitude': -73.982094}",3.0,GxhrrAGhi91hwDRsAVApRA,"[{'alias': 'lounges', 'title': 'Lounges'}, {'alias': 'venues', 'title': 'Venues & Event Spaces'}]"
Elevate Sky Lounge,"['123-07 Liberty Ave', 'Queens, NY 11419']",Queens,3.5,18,"{'latitude': 40.6876080600462, 'longitude': -73.8209485671971}",3.0,2xAoZEaIwqNe_bECq-1DNA,"[{'alias': 'lounges', 'title': 'Lounges'}]"
