Name,Address,City,Rating,Review Count,Coordinates,Price
ECG Productions,"['120 Interstate N Pkwy SE', 'Ste 435', 'Atlanta, GA 30339']",Atlanta,5.0,7,"{'latitude': 33.9041354, 'longitude': -84.4619528}",
CoCo Studios,"['767 Trabert Ave NW', 'Atlanta, GA 30318']",Atlanta,5.0,3,"{'latitude': 33.795345, 'longitude': -84.413652}",
Craig Miller Productions,"['1491 Northside Dr NW', 'Ste B', 'Atlanta, GA 30318']",Atlanta,5.0,1,"{'latitude': 33.795557, 'longitude': -84.407144}",
Inertia Films,"['585 Ezzard St SE', 'Atlanta, GA 30312']",Atlanta,5.0,2,"{'latitude': 33.7533417, 'longitude': -84.3680115}",
Kimball House,"['303 E Howard Ave', 'Decatur, GA 30030']",Decatur,4.5,517,"{'latitude': 33.77164, 'longitude': -84.29228}",3.0
Tyler Perry Studios,"['541 10th St NW', 'Atlanta, GA 30318']",Atlanta,4.5,6,"{'latitude': 33.7816566, 'longitude': -84.4050415}",
Swan House,"['130 W Paces Ferry Rd NW', 'Atlanta History Center', 'Atlanta, GA 30305']",Atlanta,4.0,48,"{'latitude': 33.8418236, 'longitude': -84.3862711}",
Trove Studio,"['321 W Hill St', 'Ste 2A', 'Atlanta, GA 30030']",Atlanta,5.0,1,"{'latitude': 33.7601812, 'longitude': -84.3022666}",
Bravo Ocean Studios,"['1040 Blvd SE', 'Ste I', 'Atlanta, GA 30312']",Atlanta,5.0,1,"{'latitude': 33.72604, 'longitude': -84.36794}",
Urban Grind Coffee House,"['962 Marietta St NW', 'Atlanta, GA 30318']",Atlanta,4.0,151,"{'latitude': 33.777687, 'longitude': -84.409022}",1.0
Diamond Event Space,"['256 Walker St SW', 'Atlanta, GA 30313']",Atlanta,5.0,1,"{'latitude': 33.74738, 'longitude': -84.40266}",
Yard House,"['261 19th St NW', 'Ste 1100', 'Atlanta, GA 30363']",Atlanta,3.0,1160,"{'latitude': 33.7935637571072, 'longitude': -84.397324025631}",2.0
Monte Carlo Productions,"['767 Trabert Ave NW', 'Atlanta, GA 30318']",Atlanta,5.0,6,"{'latitude': 33.79537, 'longitude': -84.41361}",
Atlanta Event Center,"['1150 B Peachtree St NE', 'Atlanta, GA 30309']",Atlanta,4.5,4,"{'latitude': 33.7859, 'longitude': -84.38364}",
Fogo de Chao Brazilian Steakhouse,"['3101 Piedmont Rd NE', 'Atlanta, GA 30305']",Atlanta,4.5,1112,"{'latitude': 33.84063, 'longitude': -84.3693723614273}",3.0
World of Coca-Cola,"['121 Baker St NW', 'Atlanta, GA 30313']",Atlanta,3.5,1613,"{'latitude': 33.762962, 'longitude': -84.3926638}",
Buttermilk Kitchen,"['4225 Roswell Rd NE', 'Atlanta, GA 30342']",Atlanta,4.5,1706,"{'latitude': 33.86986, 'longitude': -84.38056}",2.0
Primrose Cottage,"['674 Mimosa Blvd', 'Roswell, GA 30075']",Roswell,4.5,14,"{'latitude': 34.0167388916016, 'longitude': -84.3641128540039}",
Alliance Theatre,"['1280 Peachtree St NE', 'Atlanta, GA 30309']",Atlanta,4.0,46,"{'latitude': 33.7891582, 'longitude': -84.385169}",
Pasta Da Pulcinella,"['1123 Peachtree Walk NE', 'Atlanta, GA 30309']",Atlanta,4.0,706,"{'latitude': 33.7853225935674, 'longitude': -84.3860882520676}",2.0
Fox Theatre - Atlanta,"['660 Peachtree St NE', 'Atlanta, GA 30308']",Atlanta,4.5,465,"{'latitude': 33.7726829869184, 'longitude': -84.3853721676202}",3.0
Atlanta Shakespeare Company,"['499 Peachtree St NE', 'Atlanta, GA 30308']",Atlanta,4.5,201,"{'latitude': 33.7681770324707, 'longitude': -84.3849182128906}",
Imagine World Studios,"['2060 Lower Roswell Rd', 'Ste 280', 'Marietta, GA 30068']",Marietta,5.0,2,"{'latitude': 33.94832, 'longitude': -84.49251}",
Wrecking Bar Brewpub,"['292 Moreland Ave NE', 'Atlanta, GA 30307']",Atlanta,4.0,713,"{'latitude': 33.762272, 'longitude': -84.349724}",2.0
Icon Studios,"['710 Berkeley Ave NW', 'Atlanta, GA 30318']",Atlanta,4.5,3,"{'latitude': 33.7971115112305, 'longitude': -84.4114227294922}",
Rich Productions,"['2470 Windy Hill Rd', 'Ste 428', 'Marietta, GA 30067']",Marietta,5.0,1,"{'latitude': 33.902194, 'longitude': -84.481795}",
Stonehurst Place,"['923 Piedmont Ave NE', 'Atlanta, GA 30309']",Atlanta,5.0,31,"{'latitude': 33.779870274221, 'longitude': -84.380568207691}",3.0
Canoe,"['4199 Paces Ferry Rd SE', 'Atlanta, GA 30339']",Atlanta,4.5,1848,"{'latitude': 33.859863, 'longitude': -84.455464}",3.0
Mary Mac's Tea Room,"['224 Ponce De Leon Ave NE', 'Atlanta, GA 30308']",Atlanta,4.0,3871,"{'latitude': 33.772832, 'longitude': -84.379998}",2.0
Glass Dee Entertainment Atlanta DJ,"['3186 Parc Ct SW', 'Atlanta, GA 30311']",Atlanta,5.0,2,"{'latitude': 33.6998291015625, 'longitude': -84.4958648681641}",
Waffle House,"['2581 Piedmont Rd NE', 'Atlanta, GA 30324']",Atlanta,3.0,65,"{'latitude': 33.825608, 'longitude': -84.3655755}",1.0
Waffle House,"['66 5th St', 'Atlanta, GA 30308']",Atlanta,3.0,124,"{'latitude': 33.7766341257338, 'longitude': -84.3894245730469}",1.0
Smart TV Installation of Atlanta,"['4651 Roswell Rd', 'Ste 504-F', 'Atlanta, GA 30342']",Atlanta,5.0,148,"{'latitude': 33.8821012, 'longitude': -84.3785718}",
No Mas! Cantina,"['180 Walker St SW', 'Ste B', 'Atlanta, GA 30313']",Atlanta,3.5,1156,"{'latitude': 33.74969, 'longitude': -84.40089}",2.0
Actors Express,"['887 W Marietta St NW', 'Ste J', 'Atlanta, GA 30318']",Atlanta,4.5,24,"{'latitude': 33.781817, 'longitude': -84.416029}",
The Optimist,"['914 Howell Mill Rd', 'Atlanta, GA 30318']",Atlanta,4.5,1687,"{'latitude': 33.77999, 'longitude': -84.41069}",3.0
Finding Flavor Catering & Events,"['Atlanta, GA 30328']",Atlanta,5.0,2,"{'latitude': 33.754487, 'longitude': -84.389663}",
Gianna Keiko Photography,"['45 Rockyford Rd SE', 'Atlanta, GA 30317']",Atlanta,5.0,12,"{'latitude': 33.749957, 'longitude': -84.316526}",
Meagan O Photography,"['828 Ralph McGill Blvd', 'Atlanta, GA 30306']",Atlanta,5.0,15,"{'latitude': 33.7681732177734, 'longitude': -84.3605270385742}",
Old 4th Distillery,"['487 Edgewood Ave', 'Atlanta, GA 30312']",Atlanta,4.5,42,"{'latitude': 33.75408, 'longitude': -84.37162}",2.0
Brew and Bird,"['1355 Clairmont Rd', 'Decatur, GA 30033']",Decatur,4.5,147,"{'latitude': 33.792235, 'longitude': -84.30513683}",2.0
SoundGasm Studios,"['1706 Nemours Dr NW', 'Ste A102', 'Kennesaw, GA 30152']",Kennesaw,5.0,2,"{'latitude': 33.99748, 'longitude': -84.66337}",
103 West,"['103 W Paces Ferry Rd NW', 'Atlanta, GA 30305']",Atlanta,4.0,16,"{'latitude': 33.8415603637695, 'longitude': -84.3835906982422}",3.0
La Grotta Ristorante Italiano,"['2637 Peachtree Rd NE', 'Atlanta, GA 30305']",Atlanta,4.5,289,"{'latitude': 33.8266215659531, 'longitude': -84.3866370747994}",3.0
