Name,Address,City,Rating,Review Count,Coordinates,Price,Id,Categories
ECG Productions,"['120 Interstate N Pkwy SE', 'Ste 435', 'Atlanta, GA 30339']",Atlanta,5.0,7,"{'latitude': 33.9041354, 'longitude': -84.4619528}",,jG1sRe0ab5nTHRDhF2QUoA,"[{'alias': 'videofilmproductions', 'title': 'Video/Film Production'}, {'alias': 'musicproduction', 'title': 'Music Production Services'}, {'alias': 'videographers', 'title': 'Videographers'}]"
CoCo Studios,"['767 Trabert Ave NW', 'Atlanta, GA 30318']",Atlanta,5.0,3,"{'latitude': 33.795345, 'longitude': -84.413652}",,ufcWazop69RAuok8ikJ8gA,"[{'alias': 'videofilmproductions', 'title': 'Video/Film Production'}, {'alias': 'venues', 'title': 'Venues & Event Spaces'}, {'alias': 'audiovisualequipmentrental', 'title': 'Audio/Visual Equipment Rental'}]"
Craig Miller Productions,"['1491 Northside Dr NW', 'Ste B', 'Atlanta, GA 30318']",Atlanta,5.0,1,"{'latitude': 33.795557, 'longitude': -84.407144}",,z_K-bn1VP3ED3bi1Oj661g,"[{'alias': 'videofilmproductions', 'title': 'Video/Film Production'}]"
Kimball House,"['303 E Howard Ave', 'Decatur, GA 30030']",Decatur,4.5,517,"{'latitude': 33.77164, 'longitude': -84.29228}",3.0,bojzHdyQ9DC8QsjtJazLcw,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]"
Inertia Films,"['585 Ezzard St SE', 'Atlanta, GA 30312']",Atlanta,5.0,2,"{'latitude': 33.7533417, 'longitude': -84.3680115}",,Lj6fBJeu1p__HcJU1T4Q9w,"[{'alias': 'videofilmproductions', 'title': 'Video/Film Production'}]"
Tyler Perry Studios,"['541 10th St NW', 'Atlanta, GA 30318']",Atlanta,4.5,6,"{'latitude': 33.7816566, 'longitude': -84.4050415}",,IiQ5du4bRMbu-srtdB4UnA,"[{'alias': 'videofilmproductions', 'title': 'Video/Film Production'}]"
Bravo Ocean Studios,"['1040 Blvd SE', 'Ste I', 'Atlanta, GA 30312']",Atlanta,5.0,1,"{'latitude': 33.72604, 'longitude': -84.36794}",,C_PhK1PDissPoFjIAqi8OQ,"[{'alias': 'recording_studios', 'title': 'Recording & Rehearsal Studios'}]"
Diamond Event Space,"['256 Walker St SW', 'Atlanta, GA 30313']",Atlanta,5.0,1,"{'latitude': 33.74738, 'longitude': -84.40266}",,5xp7dXcLRR1jQ6aFfiaF5w,"[{'alias': 'venues', 'title': 'Venues & Event Spaces'}]"
Swan House,"['130 W Paces Ferry Rd NW', 'Atlanta History Center', 'Atlanta, GA 30305']",Atlanta,4.0,48,"{'latitude': 33.8418236, 'longitude': -84.3862711}",,ScdRsVIOCB8QvqdNJ5RUqw,"[{'alias': 'museums', 'title': 'Museums'}]"
Trove Studio,"['321 W Hill St', 'Ste 2A', 'Atlanta, GA 30030']",Atlanta,5.0,1,"{'latitude': 33.7601812, 'longitude': -84.3022666}",,I8Qq3abrlCM0tf15WcbDrA,"[{'alias': 'videofilmproductions', 'title': 'Video/Film Production'}]"
Yard House,"['261 19th St NW', 'Ste 1100', 'Atlanta, GA 30363']",Atlanta,3.0,1160,"{'latitude': 33.7935637571072, 'longitude': -84.397324025631}",2.0,6VTj9WahLNw8i6bKAA7kvw,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'vegetarian', 'title': 'Vegetarian'}, {'alias': 'bars', 'title': 'Bars'}]"
Urban Grind Coffee House,"['962 Marietta St NW', 'Atlanta, GA 30318']",Atlanta,4.0,151,"{'latitude': 33.777687, 'longitude': -84.409022}",1.0,OgHeM1bi_A2Nzz-knwlmfw,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'venues', 'title': 'Venues & Event Spaces'}]"
Fogo de Chao Brazilian Steakhouse,"['3101 Piedmont Rd NE', 'Atlanta, GA 30305']",Atlanta,4.5,1112,"{'latitude': 33.84063, 'longitude': -84.3693723614273}",3.0,jPXC6g80YPqtku2ykboIUg,"[{'alias': 'brazilian', 'title': 'Brazilian'}, {'alias': 'steak', 'title': 'Steakhouses'}]"
Monte Carlo Productions,"['767 Trabert Ave NW', 'Atlanta, GA 30318']",Atlanta,5.0,6,"{'latitude': 33.79537, 'longitude': -84.41361}",,mjBkKk2Z1zqlDgs1pxfHhw,"[{'alias': 'casinos', 'title': 'Casinos'}, {'alias': 'eventplanning', 'title': 'Party & Event Planning'}]"
Atlanta Event Center,"['1150 B Peachtree St NE', 'Atlanta, GA 30309']",Atlanta,4.5,4,"{'latitude': 33.7859, 'longitude': -84.38364}",,PE32gTpVAX8U7003Yrhm-g,"[{'alias': 'venues', 'title': 'Venues & Event Spaces'}]"
Pasta Da Pulcinella,"['1123 Peachtree Walk NE', 'Atlanta, GA 30309']",Atlanta,4.0,707,"{'latitude': 33.7853225935674, 'longitude': -84.3860882520676}",2.0,qS2Gg7_FH8iHFiorOVd7hg,"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}, {'alias': 'pastashops', 'title': 'Pasta Shops'}]"
Buttermilk Kitchen,"['4225 Roswell Rd NE', 'Atlanta, GA 30342']",Atlanta,4.5,1710,"{'latitude': 33.86986, 'longitude': -84.38056}",2.0,trfQCzNmAgfQLSFUb_6vbA,"[{'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'southern', 'title': 'Southern'}, {'alias': 'newamerican', 'title': 'American (New)'}]"
Primrose Cottage,"['674 Mimosa Blvd', 'Roswell, GA 30075']",Roswell,4.5,14,"{'latitude': 34.0167388916016, 'longitude': -84.3641128540039}",,J5QklV6BSRs5calvvfXAzQ,"[{'alias': 'venues', 'title': 'Venues & Event Spaces'}]"
Alliance Theatre,"['1280 Peachtree St NE', 'Atlanta, GA 30309']",Atlanta,4.0,46,"{'latitude': 33.7891582, 'longitude': -84.385169}",,hk5L_2PctMSpAeZJR4z44w,"[{'alias': 'theater', 'title': 'Performing Arts'}, {'alias': 'artschools', 'title': 'Art Schools'}]"
Wrecking Bar Brewpub,"['292 Moreland Ave NE', 'Atlanta, GA 30307']",Atlanta,4.0,713,"{'latitude': 33.762272, 'longitude': -84.349724}",2.0,48UX4Sx-4Nc-uFhVKw7ZrA,"[{'alias': 'brewpubs', 'title': 'Brewpubs'}, {'alias': 'newamerican', 'title': 'American (New)'}]"
World of Coca-Cola,"['121 Baker St NW', 'Atlanta, GA 30313']",Atlanta,3.5,1613,"{'latitude': 33.762962, 'longitude': -84.3926638}",,MwXqRRjjpwKoEKZBb78ScQ,"[{'alias': 'museums', 'title': 'Museums'}]"
Atlanta Shakespeare Company,"['499 Peachtree St NE', 'Atlanta, GA 30308']",Atlanta,4.5,201,"{'latitude': 33.7681770324707, 'longitude': -84.3849182128906}",,FYv5MWo4SCtD6JCADP3u1g,"[{'alias': 'theater', 'title': 'Performing Arts'}]"
Imagine World Studios,"['2060 Lower Roswell Rd', 'Ste 280', 'Marietta, GA 30068']",Marietta,5.0,2,"{'latitude': 33.94832, 'longitude': -84.49251}",,Tr0_-6DWMw5_z7puZI2Cew,"[{'alias': 'venues', 'title': 'Venues & Event Spaces'}, {'alias': 'eventplanning', 'title': 'Party & Event Planning'}]"
Icon Studios,"['710 Berkeley Ave NW', 'Atlanta, GA 30318']",Atlanta,4.5,3,"{'latitude': 33.7971115112305, 'longitude': -84.4114227294922}",,o1rCT7q32csnEHY4ANRJ8Q,"[{'alias': 'recording_studios', 'title': 'Recording & Rehearsal Studios'}]"
Rich Productions,"['2470 Windy Hill Rd', 'Ste 428', 'Marietta, GA 30067']",Marietta,5.0,1,"{'latitude': 33.902194, 'longitude': -84.481795}",,N0g3teOyQ2nIJIuWwjbLbw,"[{'alias': 'recording_studios', 'title': 'Recording & Rehearsal Studios'}, {'alias': 'musicproduction', 'title': 'Music Production Services'}]"
Stonehurst Place,"['923 Piedmont Ave NE', 'Atlanta, GA 30309']",Atlanta,5.0,31,"{'latitude': 33.779870274221, 'longitude': -84.380568207691}",3.0,Db4CT9B2LhT3PEsCvdpy_Q,"[{'alias': 'hotels', 'title': 'Hotels'}]"
Fox Theatre - Atlanta,"['660 Peachtree St NE', 'Atlanta, GA 30308']",Atlanta,4.5,465,"{'latitude': 33.7726829869184, 'longitude': -84.3853721676202}",3.0,SxtcekmS_EvKhOXWNAA3Mw,"[{'alias': 'theater', 'title': 'Performing Arts'}, {'alias': 'musicvenues', 'title': 'Music Venues'}, {'alias': 'venues', 'title': 'Venues & Event Spaces'}]"
Canoe,"['4199 Paces Ferry Rd SE', 'Atlanta, GA 30339']",Atlanta,4.5,1849,"{'latitude': 33.859863, 'longitude': -84.455464}",3.0,eqFA5BJ5NDjZ4TaUXJazfg,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]"
