Name,Address,City,Rating,Review Count,Coordinates,Price,Id,Categories
Lucky Break Reels,"['Los Angeles, CA 90028']",Los Angeles,5.0,65,"{'latitude': 34.1004791259766, 'longitude': -118.333610534668}",,twTC3Ocrj2L1jwPj7USiiw,"[{'alias': 'videofilmproductions', 'title': 'Video/Film Production'}]"
Relentless Filmworks,"['12023 1/2 Ventura Blvd', 'Los Angeles, CA 91604']",Los Angeles,5.0,16,"{'latitude': 34.14391, 'longitude': -118.394262}",,mzn9IKLGDSLSjZTkqhlZQg,"[{'alias': 'videofilmproductions', 'title': 'Video/Film Production'}]"
Fancy Film Post Services,"['4212 Santa Monica Blvd', 'Los Angeles, CA 90029']",Los Angeles,5.0,5,"{'latitude': 34.0907199, 'longitude': -118.2841042}",,HCgZ35sT0mrgAQj9ObW7Pg,"[{'alias': 'videofilmproductions', 'title': 'Video/Film Production'}, {'alias': 'sharedofficespaces', 'title': 'Shared Office Spaces'}]"
Studio X,"['3031 N San Fernando Blvd', 'Ste 110', 'Burbank, CA 91504']",Burbank,5.0,1,"{'latitude': 34.2014110833406, 'longitude': -118.343156799674}",,O4EdoCBlnZvs9NKqV6OV1g,"[{'alias': 'videofilmproductions', 'title': 'Video/Film Production'}, {'alias': 'dance_schools', 'title': 'Dance Schools'}, {'alias': 'musicproduction', 'title': 'Music Production Services'}]"
Live House Hollywood,"['1534 N Highland Ave', 'Los Angeles, CA 90028']",Los Angeles,5.0,1,"{'latitude': 34.09906, 'longitude': -118.33823}",2.0,C_BXQnHIaEOvGEZ4xB4R3g,"[{'alias': 'venues', 'title': 'Venues & Event Spaces'}, {'alias': 'musicvenues', 'title': 'Music Venues'}]"
The Camera Division,"['7351 Fulton Ave', 'North Hollywood, CA 91605']",North Hollywood,5.0,12,"{'latitude': 34.2043857, 'longitude': -118.4225506}",,TcHKbsf6nPBQZ79HC6xJDQ,"[{'alias': 'videofilmproductions', 'title': 'Video/Film Production'}]"
Audition House,"['7274 Fountain Ave', 'West Hollywood, CA 90046']",West Hollywood,4.5,35,"{'latitude': 34.0942618, 'longitude': -118.348801}",,GcdwHvG80tg50I_8oc6BEA,"[{'alias': 'videofilmproductions', 'title': 'Video/Film Production'}, {'alias': 'recording_studios', 'title': 'Recording & Rehearsal Studios'}, {'alias': 'theater', 'title': 'Performing Arts'}]"
Fanciful Fox Studio,"['857 S San Pedro St', 'Los Angeles, CA 90014']",Los Angeles,5.0,3,"{'latitude': 34.037553, 'longitude': -118.2502721}",,FM6uBOwohPUMj8NTMMEnYQ,"[{'alias': 'videofilmproductions', 'title': 'Video/Film Production'}, {'alias': 'recording_studios', 'title': 'Recording & Rehearsal Studios'}, {'alias': 'musicproduction', 'title': 'Music Production Services'}]"
Dream Reach Media,"['Santa Monica, CA 90404']",Santa Monica,4.5,19,"{'latitude': 34.0334815979004, 'longitude': -118.473663330078}",,Fwt6US2ZylSfJpM1cEhHrw,"[{'alias': 'videofilmproductions', 'title': 'Video/Film Production'}]"
Planet Video Demo Reels,"['1617 N El Centro Ave', 'Ste 12', 'Los Angeles, CA 90028']",Los Angeles,5.0,4,"{'latitude': 34.100409, 'longitude': -118.323864}",,qOZPBlQWQvzJ0u-Kn2Lh6w,"[{'alias': 'videofilmproductions', 'title': 'Video/Film Production'}]"
Wheelhouse LA Production/Talent Motorhomes Rental Company,"['Burbank, CA 91502']",Burbank,5.0,5,"{'latitude': 34.1776237487793, 'longitude': -118.307220458984}",,Qqf3f_OwqY4erroPe7vNvw,"[{'alias': 'rvrental', 'title': 'RV Rental'}]"
