Review_0,Review_1,Review_2,Id
Took the chance during Covid and we did not regret it! They take all precautions necessary to ensure safety and the limited appointments allowed by time for...,Definitely something everyone should experience in their lifetime! I was blown away at the entire experience. Staff lets you pre check in before your visit...,"I really enjoyed my solo-experience with Aire. I only did the thermal bath experience, but I felt entirely relaxed after the 90 minutes of dipping into...",mM1uQFMZNZtrGHZzB1ghMQ
"Wow. Just wow. 
10/10 Greeting off the elevator
10/10 Decor/visual off the elevator 
10/10 covid precautions 
10/10 bathroom/locker area cleanliness,...",Yesterday I had one of the best spa services of my life at Nuansa Spa! My fiancé booked theirs after reading Alissa's great review written during covid....,"Awesome service and very friendly staff!!
I bought a package with them right before the lockdown. So sad that they couldn't stay open during the pandemic. I...",BqNXOy5WJjIoNTX_Xg2wOg
"We've been to spas all over the city and world....and this one is by far our favorite. 

Got a couples massage followed by a bath - both in a small,...",Good place deserve to spend money here for special occasion.,"My wife is a teacher and a new mother, I scheduled her an appointment at ShiBui for her birthday. She was so excited, and I was excited for her. Like a lot...",ZkI3V9xcL5r8Tw5kS0BgRw
I just had a massage at Ohm Spa with Myriam and it was absolutely amazing! Probably one of the best massages I have had in my life. She is such a caring...,"Not necessarily a ""spa"" per se, just a converted office space where you wait to get a massage. I think they must specialize in medical massage because they...","If you are looking for quality, hospitality and experienced body and skin therapists this is the place for you. Kathy, owner, has curated an experience for...",Nu6403eEBOQvI58_ly2p7w
"My husband and I have been searching for something that would feel special and ""Covid"" safe. I was excited to come across Sojo since it is mostly outside...",GUYS. This spa is Amazing!. I'm hesitant to even write this review because I don't want to spread the word and overcrowd the place. I've been around the...,SoJo is incredibly relaxing and a nice getaway! We were a bit hesitant to book during the COVID-19 pandemic due to safety concerns and the large number of...,G4cXJFAnUMoX6BkmCNTbug
"We absolutely LOVED our couples ""combination"" massages at The Mandarin Spa! The ladies did an excellent job and we left very happy & relaxed....great start...",I had a great experience today at the Mandarin Spa. I decided to book a facial last minute (on a Sunday) and they were able to accommodate me. I booked a 30...,"We showed as a walk-in for a couples massage. The girl at the front desk wasn't welcoming, but hey, we walked this way, so might as well give it a shot...",EDdR1Xd-7v_m4_qs3UY3Yw
"Well, as we all know, 2020 so far has been an extremely stressful year. I was so happy to see that Pure Qi finally opened its doors AND is providing great,...","I have been a customer of Pure Qi Spa for many years. When COVID hit, I wondered if they would re-open and what changes to expect. I am thrilled to say I...",Love this place. Everyone is very friendly the massages are great and it's also super clean inside.,VV8yib_qgXF9hVk1V9AB3g
I got the GLO2 facial with Anna and it was absolutely incredible!! Anna was so knowledgeable and knew how to treat my skin. My skin was glowing for days...,"I love this spa. I was a customer before the pandemic, and since the pandemic began, I have been back multiple times. Glo has always been clean, and they...","Glo was assuredly safe when it came to COVID regulations, PPE, and sanitizing, so I have no qualms about returning! I came for wax services and this was the...",xHRYw4lx7O81o8MfRTZgHg
My husband and I recently spent the day at Cynergy to celebrate a very special anniversary. I must say that I had taken a look at Cynergy in the past but...,What a pleasure it was to go to Cynergy Spa. Everything is COVID proof on their end. The massage was incredible too! The staff was personable and very kind....,Worth every single  penny! I brought  my fiance here to celebrate his birthday with a couple's package. What a delight! Check in was a breeze and COVID...,wLDo9mjgv3zw_vfK1tQ5-A
Was able to celebrate my birthday here with a small group of five people and had the entire spa to ourselves. It was such a lovely experience even after a...,This place is a Brooklyn oasis!! Went last night as a pre-holiday treat. Liz (owner) and Marilyn (masseuse) had such good vibes. I was lucky to have the...,"Had an absolutely wonderful time here on my birthday. The owner Liz went out of her way to make me feel welcome. Felt like a pampered queen! 

Everything...",0sKA_7c8TwDtvm63_bYTgw
My mum and I came here as a part of our staycation. This place is totally awesome​ and well worth its cost. The staff where welcoming and the facilities...,"Bamford Haybarn is a GORGEOUS spa located downstairs in the 1 Hotel. 
I bought a Gilt City deal for a de-stress 50 minute couples massage. We both really...",The first time I ever came to this spa was for my birthday; from the locker room to the waiting room it was just gorgeous; I loved that they brew you some...,8YHDVxA8qh03OBYlxS-RtQ
"Five stars alone for the lady who did my 30min scrub!

I've gotten countless korean scrubs in Korea, Los Angeles, and Orange County (CA) and the lady who...","NY Spa Sauna is smaller than most in Queens, but I prefer it because it's very clean, quiet, and cozy.  You can pretty much spend the whole day here if...",Came back again and all services I had before were great. My only complaint is that the staff will nickel and dime you for random things like a cup of ice....,yzG1kJ-wuHsCjqhzM1SOag
"Literally the best massage I've ever gotten, and I've gotten many. My back is in severe pain at all hours of the day and this is the only place that...","Renew Spa is my go to massage place. It's extremely clean, professional, and affordable. I paid only 45$ for a solid 60m deep tissue massage. 

Went during...","Highly recommend this place for massage. Very clean, large, and I really like my masseuse Demi, strong arms and thorough. I feel v safe with their Covid...",4RQbiWHeHa42PA58mdh2aA
"natalia is absolutely amazing! such a perfectionist and absolute professional.

i'm extremely picky as a beauty professional myself but with natalia, i am...","I had a horrible experience with the dermaplaning facial recently. Yes, this is the dermaplaning that left four knife scars on my face. My face is now even...","I am so glad I found Anastasia a year ago. She is amazing, and has helped my skin find its glow. I no longer use a foundation on a daily basis to hide my...",LIFoBvmRG5PtmPvRpJ53MA
"Wow, this was my first time and I had a wonderful experience. The layout of the rooms preserve your privacy and relaxation, and the massage itself by Sunny...","I loved my experience at Hideaway Spa!  They took extra precautions for Covid (temp checks, sanitizer at the door, and masks).  I had a great deep tissue...","Fantastic massages and very pandemic-safe!  I was originally hesitant about getting a massage during COVID, but was pleasantly surprised.  My masseuse wore...",FEG5YfXwLIfQ61PZq4lCeA
"UPDATE: 10 days or less prior to your massage/facial appointment with them, you need a negative result on your covid-19 test, whether it's PCR or rapid. You...",So I have been looking for a place to get a massage for a while now but because of covid I refuse to go to 95 percent of these locations because they are...,"First massage of the year with COVID and couldn't have asked for a better experience. Called and made a reservation, ended up being 40 minutes late due to...",voDZwsggA1hGSyrsHTg79A
"Always the best, but it's time was even better!! I have been going to Naturopathica for more than 10 years... when they were only in East Hampton. I love...","I've been going to Naturopathica for 2 years now (by the suggestion of my Derm) and have only had fantastic experiences. 
From the time I walk in the door...","If I could give 20 stars, I would. I am in awe of Karen! I feel like I found a gem in the city and I'm never wanting to let her go! She is beyond amazing!!...",Raq6jTrld_ex5nUeLczr5Q
"I felt super welcomed and safe in the spa! They are following all COVID protocols. Shirley gave me my massage, and it was nothing short of amazing. It was...","Black Owned Bliss!
This was my second visit to Spa Boutique 2go and I was exceedingly pleased....again! Deborah transported me to nirvana with a heavenly...","As a pre birthday celebration, I decided to treat myself to a massage and facial. I was looking for a place that was black owned and not too far from me. I...",B7GOJGb20Ofvg76nqQKdZA
"So clean, professional and just amazing! I haven't been to too many spas since covid but this is definitely my favorite. They take cleanliness and safety...","Hi Everyone, 

Yihan Spa is great!  Clean, clean, clean and the best massage, ever.  Very professional and customer-focused.  

I was given a Groupon for...","I had a great experience here, this was my first time at Yihan Spa and my first massage since March due to the pandemic. I decided to check it out because...",V_lzIYWkUMq8gDrcVy8jpg
I booked this place with a day's notice because all the reviews were really good. I'm really glad I did. The staff was very friendly and they seem very...,"My first post-pandemic massage!  
The place was clean and they were scrupulous about masks and asking health questions and taking temperatures.
I got an...",Very impressed! Great experience and responsible  price. Wendy was amazing-- she made me feel comfortable immediately and melt all my right muscles away...,3IwrBms4TFXgEjsUGBL7iA
