Review_0,Review_1,Review_2,Id
"There are a lot of choices when it comes to getting your reel done; try it yourself, have your film student acquaintance practice on you, or pick from one...",I had the opportunity to work with Lucky Break Films and I say this with extreme confidence- You will be happy you came here! Fernando and Justin run a...,"Oh my goodness I can't believe I had forgotten to mention these wonderful guys! Well let's fix that now -- 

Do you know you are a great actor but you don't...",twTC3Ocrj2L1jwPj7USiiw
"I was so impressed by Deja Vu and it's owner David.  We booked them for my daughter's bat mitzvah, which was postponed due to COVID, but David put together...","I am so grateful to have found Deja Vu Productions and have successfuly used their services on more than one occassion.  The team is responsive, flexible...","Review is based on the interaction of Deja Vu unprofessionalism: as you can see with their updated comment as well! 

I came across Deja's Vu when I was...",AIorRjq6ITwIVqIcXedwdw
"The team here at WOVA was amazing helping me get a very sentimental video converted off a cassette tape to digital version. They were kind, attentive and...",I wanted an outdoor screening of Jaws for my boyfriend's surprise birthday party-- but had no idea where to begin because I'm not a tech person at all....,"WOVA came through and helped us out with some sound equipment. There professionalism is unrivaled. Lonnie and Derrick are a pleasure to work with. 

We will...",iUHJ7cgFDGfjJqfFCJokNw
"I was participating on a wedding where Jay and his team was working. They did amazing job. 
I have a background working in production, so I could tell how...","Of all the vendors we had on our wedding day, Seven Production was my favorite.  Jay is easy to work with, friendly, creative, professional. He is such an...","I used Jay/Seven Production for my wedding last year. My experience with them was great! Jay was so pleasant to work with. He was so kind, professional, and...",dxXb3X1-CKYAFAFa4agjpQ
"Needed a video for my small business. I didnt have a big budget, but still wanted something decent.

After seeing Film Pro's website and talking to Piya, I...",,,65hfeqkdZYMslqA2LU2EZA
"I am a commercial/MV line producer in LA, and I use Castex for every job. The staff is incredibly accommodating - they turn my paperwork around very quickly...",I'm a film student and I was very nervous about the cost but Castex decided to help me out! I called and Caitlin assisted me on what I needed. Then they...,"Quick, friendly, helpful. Flagged me into their loading area off the street when I was parking in their street loading space. They quickly found our order...",9ThlqCyvOAPrgedis6Bw0A
"Can't recommend DVD Your Memories highly enough.  They were excellent, and highly professional, to work with, especially during the pandemic.  

I've...",During this time of Covid I have been going through old media and getting  digitized. I had some old film negatives that others couldn't do and also an old...,"Excellent.  We en3up having to modify our order due to the COVID virus, but the overall product was more than we expected.",gAhKHmgNkPo2aKrYNp1atg
"Sky shot a surprise proposal for me. He did an excellent job. Being from North Carolina and wanted to surprise my girlfriend with a proposal, I did not know...",Olga & Sky from Unicorn Productions saved the day after horrible wedding photos were taken by another photographer. They gave us what we had thought lost -...,"Olya and Sky are a wonderful duo of photographers. Together, they captured our food-making process beautifully, always adding creativity and soul to every...",V8kSn9W1VbkECH4roZFDUw
"I called dream reach media to learn about their services.  Shortly after I received a call from the owner Mr. Daniel Brea. Mr. Brea was professional,...","Unfortunately, I had a terrible experience here at DRM. I saw their e-mails about a discount for only a COUPLE THOUSAND for 3 demo reel. I realized I spent...",I recommend Dream Reach Media.  I executive produced three short short films with them at a very reasonable rate.  I spent the same on production of three...,Fwt6US2ZylSfJpM1cEhHrw
"Dmitry and all the people who work for him are extremely professional with great attitudes making them very easy to work with. They are prompt, hard working...",It was very impressive how Interproduction did everything to make sure our project was successful! Their attention to quality in a tight timeline was...,Cinematographers like Dmitry Popov are rare indeed. I have had the good fortune of working with Dmitry on a number of high profile video projects - both in...,asRqq-a8OmEWQRwxZop30g
"Well, where do I start ;).
I am ""do it yourself"" person. Plus I like everything to be thorough which is not easy with my picky taste. I can, with a...","I cannot say enough about Jig Reels. Justin and the team are amazing. After taking a hiatus from acting, I felt I needed some new footage. I scheduled to...","Original post:
Shot w them in 2019. Footage received was badly lit, both scenes. Every rep and director who looks at it comments on how bad it is. 
On set,...",Y1Wydi4dIi9BXMoYyLDIyQ
Steve is extremely professional and gets the job done. We're extremely thankful for his work and efforts during our wedding. He is a top notch videographer....,Steve is an excellent filmmaker--very professional and knowledgeable.  I hired him because I looked up his past experience with filmmaking and videography...,Omg Steve is so wonderful. He's professional and does an amazing job. We hired his company to do our wedding video and could not be any happier. The product...,pAcn1KAJxvTjAeyKzSBlzQ
I heard good things about this company from my various film industry contacts. I was really hoping that it was the case but unfortunately the experience...,Now having used Line 204 for our last 3 events I can't imagine using any other company. Planning an event is stressful enough.... But Sira makes the process...,"WONDERFUL experience with 204 rentals! So imagine this...Your wedding of 100 people is less than three weeks away and you don't have a rental company, well...",8FMVxiED4Av3aNcndA-nUg
"I can't say enough good things about MelroseMac and their staff. 

After downloading the latest update, macOS Big Sur, my MacBook Pro gave me a notification...","I've been a longtime fan/customer of melroseMac, but my most recent experience really stood out to me as exceptional 

Despite the covid of it all and most...",Absolute best customer service experience!  I came in because my speaker on my phone was struggling.  It's been so tough to fix phones over Covid and it can...,yGJBBqMuP7Ww4YuHas4uhw
I can't say enough about the owner.  Nishi is gracious and helpful and a joy to collaborate with on any project.  She makes it seem effortless and creative....,,,O4EdoCBlnZvs9NKqV6OV1g
"Pollution Studios is awesome. They have been my source for grip and electric on almost every project i've ever done. 

They are always super nice guys and...","Great crew, great space, plenty of street parking, lots of space and the owner is vegan! What more could you ask for.",My time at Pollution studios was absolutely stellar. The staff was incredibly helpful and professional. They were responsive to all of our needs while we...,6ZSuV16uMD20jkXjtgAOig
This studio definitely deserves more than 5 stars! Akil was great to work with! Very professional and patient with my son (whom I had to force to even get...,"I love the professional environment , I was treated courteously and with respect , which allowed me to complete my projects with ease.  I definitely...",,sFEOfHJIBfsIdPnbLbNN_w
"Nvrless Films shot my (now) husband and I's Save The Date video, wedding highlights and the reception video.  Lenon was so wonderful to work with.  You can...",Lenon and his team created a beautiful film of our wedding day. We are so grateful! He was very kind and professional throughout the entire process. He...,"We can not have been happier with our video that Lenon produced for us. He was a great communicator, very organized, and very easy to get along with from...",-l6L5aw9W142nwEPFU-bLw
"I had the distinct pleasure of working with PowerTale Productions on the creation of the video for my newest song, ""I know a girl"".
Their level of...",I cannot say enough about these guys!  I was really in a pinch last month when my first videographer was out of town at a time I needed to do an important...,"It is a shame they are on page 2 on Yelp, but that changes when reviews come in - and I am really glad I didn't just look at page 1!  I called Frank and...",JsCdhR6iBHdbZOyBKzDjVw
"I found LA Reels by way of a referral from my talent management team. Since this was my first time seeking out custom demo reel services, (and my reel...","L.A reels shot my dance demo reel and they were nothing short of amazing!!! They were so easy to work with, super professional and made sure all my needs...","These guys are amazing !!! So professional and talented , starting with ideas , to writing ,  filming and then editing.   Top notch.  Once I got my reel...",Zwz_kWKbf-2nD-u3d9IcQg
"We needed a video to communicate succinctly and effectively what the Resident Relief Foundation does, why, and how it impacts so many renters in such a...",We have hired TriCuzz Productions for 2 projects so far. Cheryl and her team are absolutely amazing and professional. Not only do they deliver an amazing...,I loved the experience of working with Cheryl and her team. They were very professional and extremely efficient. I originally hired them to produce a...,wR9Bw-fFWIYwKg7sHgxNxA
"I love it here. I miss it tbh :/ 
Free coffee made by a barista if that's what you call them. They have everything you may need and anything you may want to...","I was invited as a guest to attend a charity event launch hosted by a YouTuber at YouTube Space LA. It is located in Playa Vista, just minutes away from...",I was invited to be part of a crew that was shooting a music video for an artist named Kennis Clark. We shot part of the video at a few locations in the...,-UVJPyXP66ixOQQB5zrFHw
"Ken did such a wonderful job capturing my wedding! 

Ken and his crew arrived early on location, and through out the day they were just very professional!...",I needed a videographer for my daughter's first birthday party and my videographer that I had used for past events was unavailable. However he referred me...,"Ken is insanely creative, works fast, and operates a team like a well-oiled machine.  Imagine the team that took out Bin Laden... but operating cameras...",TIlsd7nI079VnqNwPW9YUw
"I had some old family videos and films that I needed to restore and convert into digital files. Through a Google search, I came across this company. After...","If I could give more than 5 stars I would!

Who do you take your wedding negatives and wedding video (VHS - yes I'm old) to for conversion to DVD/CD?...","Digital Video Lab is an excellent company.
I called and spoke to Ray about my project of transferring 2 super 8 films to DVD. The work that was done...",EzjYgG9ykmQQ91oAYFyzwg
"Words can't describe how amazing it was to shoot here! Leila and Jen, the co owners of the place, are so accommodating and bent over backwards to make sure...","i've both produced and directed shoot at electric pony studios and truly cannot say enough wonderful things about this space and its owners, Leila + Jen....","Highly recommend EPS for any film needs. Space is amazing, all the gear / props you can imagine, Leila and Jen are the best. 

Will definitely be coming back.",GGCpM6l8UNFa2FnSZSuRBQ
I'm amazed that Scott and Dave has been able to cover so much ground for those in the creative media and entertainment career path.  These guys single...,Great school to start your career in the film industry or even expand your arsenal of knowledge to stand out from the rest. I learned a bit of everything...,"If you are looking for an affordable and extremely thorough production education, then Sharp Focus Media Academy is the place to go.  Founder & instructor,...",34qmz9Z9g8-iehqGUEjq7g
"John was amazing! He and Archetype came very highly recommended and I was not disappointed. Communicative, friendly and fast we went from first conversation...",In the middle of the Covid shutdown we had a passing in the family and I was tasked with creating a short tribute video.  I needed to find someone to make...,"I looked at a lot of different companies, but Archetype was hands down the best! I had a 9 1/2 min short film that needed a DCP and a Blu Ray and John...",H7se3mwXT5pqi7M8qOOTUg
Filmed a promo shoot for an MMA TV show here and it was a great facility with great sets and everything you could possibly ever need in a studio for a...,"A great flexible space, AZ Film studios were super supportive and helpful in accommodating us during our music video shoot there!

Definitely recommend AZ...",,lFi71Tqlkd6mujYIJd7swA
I had a super delayed personal project that needed a video transfer from an old VHS tape. I know leadtimes for such services would be weeks out but I tried...,"I called around to a few places, but after speaking to Nimrod at Advanced Media, I found a place I felt comfortable digitizing my VHS tapes. They are very...",I trusted the guys at Advanced Media with my precious legacy (as they called my VHS tapes of when my kids were babies 25+ years ago) tapes and I'm so happy...,RR22Z35-pj6tJJEAMKWEow
"It was a pleasure working with New River Entertainment. They helped us with a video for our website.  Chris is a creative, professional, and flexible.  We...","I retained New River entertainment to film, produce and edit approximately 15 short videos for my website (a law practice).  The owner, Chris Nicholas, was...",We have a friend in San Francisco that developed a phone app and asked us if we knew any production companies that could come up with a concept and film and...,WgoZUJGZZy0jFom1QOFKqw
"By far, this is my preferred rental house in LA. Sometimes a production I'm working on will need to rent a lot of gear and sometimes I just need a couple...",Everyone is so knowledgeable and so friendly!!! I wasn't planning on buying anything at first; I just went in there to ask some questions about off-camera...,"These guys are seriously the best! They beat almost everyone's pricing, and have tons of things in stock. If they don't have the availability, they'll find...",KCvL_wFRZjfvAMrH9KHEkw
"Jake at Pro HD Rentals did an amazing job at equipping me for thirty some shoots this past year. Not only did he assist with getting us the right gear, but...",I was recommended to this place by a very respectable DP. I can tell you these guys went above & beyond. The gear list we had was all over the place and...,I would highly recommend Pro HD Rentals for all your camera needs.  I was caught at 5PM on Wednesday needn't a Title Nucleus-M.  I called ProHD and spoke to...,-vpcJktTviMd-K9xX-ZPww
"If you're an actor in need of a theatrical demo reel you need to STOP dead in your tracks and thank your lucky stars that you found RFW. 

I've been in the...","Steve, Troy, Arnella and Amber are the best in the biz! This is such an amazing team of dedicated filmmakers. They are prompt and efficient in scheduling,...","5 stars without a doubt. Relentless Filmworks is the way to go for any serious actor needing a reel. I recently had my reel done with them, and I can't tell...",mzn9IKLGDSLSjZTkqhlZQg
"Jenna and her associates are top notch professionals. Their work is high quality, completed on time, and within budget. I have worked with them numerous...",,,GZx6fKSt1YcQArv7fSAMwQ
"Solid facility, I've been using it for almost 20 years, did a lot of film processing here (16 mm and 35 mm), transfers, then, moved into digital and did...","Fantastic service. High quality work. 

They're the only ones left in town for a reason.","Fotokem is great to do out-of-pocket film processing. They don't hassle me with the nuts and bolts, just drop off the cans, fill out minimal paperwork and a...",pNUSNq7OiKnZoBGxpYh59A
