Name,Address,City,Rating,Review Count,Coordinates,Price
B&H Photo Video - Electronics and Camera Store,"['420 9th Ave', 'New York, NY 10001']",New York,3.0,1887,"{'latitude': 40.7529335021973, 'longitude': -73.996338}",2.0
Focus Gear,"['225 W 39th St', 'Ste 600', 'New York, NY 10018']",New York,4.5,18,"{'latitude': 40.7547596, 'longitude': -73.9892358}",2.0
Foto Care,"['41-43 W 22nd St', 'New York, NY 10010']",New York,4.5,50,"{'latitude': 40.7417878, 'longitude': -73.9922595}",2.0
K & M Camera,"['54 Orchard St', 'New York, NY 10002']",New York,3.0,128,"{'latitude': 40.71479159152905, 'longitude': -73.99177973493545}",2.0
FD Photo Studio - New York,"['4020 22nd St', 'Fl 4', 'Long Island City, NY 11101']",Long Island City,4.5,18,"{'latitude': 40.754396, 'longitude': -73.9408041}",
CSI Rentals - Brooklyn,"['154 Bogart St', 'Bushwick', 'Brooklyn, NY 11206']",Brooklyn,4.0,8,"{'latitude': 40.709215, 'longitude': -73.9344001561403}",2.0
Production Junction,"['266 E 10th St', 'Manhattan, NY 10009']",Manhattan,5.0,5,"{'latitude': 40.72822, 'longitude': -73.98367}",
PhotoManhattan,"['51 W 14th St', 'Ste 2R', 'New York, NY 10011']",New York,4.0,60,"{'latitude': 40.7372512817383, 'longitude': -73.9958572387695}",2.0
Adorama Rental,"['50 W 17th St', 'New York, NY 10011']",New York,3.0,82,"{'latitude': 40.7389741248731, 'longitude': -73.9946596177993}",2.0
Camera Doctor,"['406 West 39th St', 'New York, NY 10018']",New York,4.0,20,"{'latitude': 40.756655, 'longitude': -73.994658}",2.0
Photo Tech Repair Service,"['360 W 36th St', 'Ground Fl', 'New York, NY 10018']",New York,4.0,173,"{'latitude': 40.7541603595018, 'longitude': -73.9942563325167}",2.0
Hello World Communications,"['118 W 22nd St', 'Fl 2', 'New York, NY 10011']",New York,5.0,42,"{'latitude': 40.7425398, 'longitude': -73.9945521}",
