Name,Address,City,Rating,Review Count,Coordinates,Price,Id,Categories
Castex Rentals,"['1044 Cole Ave', 'Los Angeles, CA 90038']",Los Angeles,5.0,29,"{'latitude': 34.0902989663147, 'longitude': -118.329701932541}",,9ThlqCyvOAPrgedis6Bw0A,"[{'alias': 'videofilmproductions', 'title': 'Video/Film Production'}]"
Lightstone Rentals,"['1441 Gardena Ave', 'Ste 1', 'Glendale, CA 91204']",Glendale,5.0,16,"{'latitude': 34.126851, 'longitude': -118.2601382}",,9hDT3fdWJoRFkGa62Z0Z6Q,"[{'alias': 'videofilmproductions', 'title': 'Video/Film Production'}]"
Pro HD Rentals,"['2201 Hollywood Way', 'Ste 1', 'Burbank, CA 91505']",Burbank,5.0,51,"{'latitude': 34.188555, 'longitude': -118.34928}",2.0,-vpcJktTviMd-K9xX-ZPww,"[{'alias': 'photographystores', 'title': 'Photography Stores & Services'}, {'alias': 'videofilmproductions', 'title': 'Video/Film Production'}]"
Filmtools,"['1400 W Burbank Blvd', 'Burbank, CA 91506']",Burbank,3.5,108,"{'latitude': 34.182204, 'longitude': -118.327003}",2.0,J8GxUvGNN1VKj2C7Rfmwcw,"[{'alias': 'photographystores', 'title': 'Photography Stores & Services'}, {'alias': 'videofilmproductions', 'title': 'Video/Film Production'}]"
Stray Angel Films,"['11318 Santa Monica Blvd', 'Los Angeles, CA 90025']",Los Angeles,4.5,26,"{'latitude': 34.045868, 'longitude': -118.448799}",,QfFgXQiaEg2P7PtcuMie8g,"[{'alias': 'videofilmproductions', 'title': 'Video/Film Production'}, {'alias': 'audiovisualequipmentrental', 'title': 'Audio/Visual Equipment Rental'}, {'alias': 'recording_studios', 'title': 'Recording & Rehearsal Studios'}]"
Bokeh Rentals,"['3921 W Jefferson Blvd', 'Ste 103', 'Los Angeles, CA 90016']",Los Angeles,4.5,15,"{'latitude': 34.02588863806784, 'longitude': -118.3389418}",,O-HVIrUoqc7Sw_9kOQzFgw,"[{'alias': 'audiovisualequipmentrental', 'title': 'Audio/Visual Equipment Rental'}]"
WOVA World of Video & Audio,"['1155 S Robertson Blvd', 'Los Angeles, CA 90035']",Los Angeles,5.0,53,"{'latitude': 34.0555809, 'longitude': -118.38399}",,iUHJ7cgFDGfjJqfFCJokNw,"[{'alias': 'videofilmproductions', 'title': 'Video/Film Production'}, {'alias': 'digitizingservices', 'title': 'Digitizing Services'}, {'alias': 'audiovisualequipmentrental', 'title': 'Audio/Visual Equipment Rental'}]"
EVS,"['1819 Victory Blvd', 'Glendale, CA 91201']",Glendale,4.5,45,"{'latitude': 34.1632843017578, 'longitude': -118.302536010742}",,KCvL_wFRZjfvAMrH9KHEkw,"[{'alias': 'videofilmproductions', 'title': 'Video/Film Production'}]"
Advanced Media,"['369 N Fairfax Ave', 'Ste A', 'Los Angeles, CA 90036']",Los Angeles,4.5,69,"{'latitude': 34.0777801, 'longitude': -118.3616049}",,RR22Z35-pj6tJJEAMKWEow,"[{'alias': 'videofilmproductions', 'title': 'Video/Film Production'}, {'alias': 'digitizingservices', 'title': 'Digitizing Services'}, {'alias': 'duplicationservices', 'title': 'Duplication Services'}]"
Red Letter Rentals,"['4209 W Burbank Blvd', 'Burbank, CA 91505']",Burbank,5.0,9,"{'latitude': 34.172996, 'longitude': -118.356129}",,efvYOmIdFuT-uAFt-dZQrQ,"[{'alias': 'videofilmproductions', 'title': 'Video/Film Production'}]"
FD Photo Studio,"['530 E 8th St', 'Fl 5', 'Los Angeles, CA 90014']",Los Angeles,4.5,256,"{'latitude': 34.03938, 'longitude': -118.25}",,pnipkA9J_JikNwuP2kDFCg,"[{'alias': 'videofilmproductions', 'title': 'Video/Film Production'}, {'alias': 'sessionphotography', 'title': 'Session Photography'}, {'alias': 'photographystores', 'title': 'Photography Stores & Services'}]"
The Camera Division,"['7351 Fulton Ave', 'North Hollywood, CA 91605']",North Hollywood,5.0,12,"{'latitude': 34.2043857, 'longitude': -118.4225506}",,TcHKbsf6nPBQZ79HC6xJDQ,"[{'alias': 'videofilmproductions', 'title': 'Video/Film Production'}]"
LA Sound Rentals,"['5327 Santa Monica Blvd', 'Ste 200', 'Los Angeles, CA 90029']",Los Angeles,4.5,35,"{'latitude': 34.091176, 'longitude': -118.305616}",,j5BXVOFBCNNJzcbEtP3V-g,"[{'alias': 'audiovisualequipmentrental', 'title': 'Audio/Visual Equipment Rental'}]"
Hollywood Rentals,"['12800 Foothill Blvd', 'Los Angeles, CA 91340']",Los Angeles,5.0,2,"{'latitude': 34.291843, 'longitude': -118.415024}",,n1cOqIfLs_ajVgb4MYK-HA,"[{'alias': 'videofilmproductions', 'title': 'Video/Film Production'}]"
New Circuit Films,"['4529 San Fernando Rd', 'Ste B', 'Glendale, CA 91204']",Glendale,5.0,2,"{'latitude': 34.1348483, 'longitude': -118.2638617}",,6MO7OQMV1nj11rSSJ8zmTw,"[{'alias': 'videofilmproductions', 'title': 'Video/Film Production'}, {'alias': 'photographystores', 'title': 'Photography Stores & Services'}, {'alias': 'audiovisualequipmentrental', 'title': 'Audio/Visual Equipment Rental'}]"
AbelCine,"['801 S Main St', 'Burbank, CA 91506']",Burbank,4.0,18,"{'latitude': 34.1651614, 'longitude': -118.3134033}",2.0,pZOz0AZgT6qh5B1ghcVU_g,"[{'alias': 'photographystores', 'title': 'Photography Stores & Services'}, {'alias': 'videofilmproductions', 'title': 'Video/Film Production'}]"
Radiant Images,"['2702 Media Center Dr', 'Los Angeles, CA 90065']",Los Angeles,3.5,14,"{'latitude': 34.1080423, 'longitude': -118.2435245}",,RT5UvY73eWPHcVMQJLnjmA,"[{'alias': 'videofilmproductions', 'title': 'Video/Film Production'}, {'alias': 'virtualrealitycenters', 'title': 'Virtual Reality Centers'}]"
Buckley Videography,"['Los Angeles, CA 90014']",Los Angeles,5.0,107,"{'latitude': 34.0434783, 'longitude': -118.2519314}",,UJFmdqbLMpe3Ofzpg0ge4A,"[{'alias': 'videographers', 'title': 'Videographers'}]"
Birns & Sawyer,"['3039 Roswell St', 'Los Angeles, CA 90065']",Los Angeles,3.5,17,"{'latitude': 34.115214, 'longitude': -118.2441879}",2.0,Leo6PiL1Hbm73nvUveDL4w,"[{'alias': 'photographystores', 'title': 'Photography Stores & Services'}, {'alias': 'videofilmproductions', 'title': 'Video/Film Production'}]"
Pollution Studios,"['3239 E Union Pacific', 'Los Angeles, CA 90023']",Los Angeles,5.0,27,"{'latitude': 34.01679, 'longitude': -118.20969}",,6ZSuV16uMD20jkXjtgAOig,"[{'alias': 'videofilmproductions', 'title': 'Video/Film Production'}]"
Parlani Party Rentals,"['3773 Motor Ave', 'Los Angeles, CA 90034']",Los Angeles,5.0,127,"{'latitude': 34.0209161637179, 'longitude': -118.404491833118}",,VTsPrkdbfMOuP_UCHwnKrg,"[{'alias': 'partysupplies', 'title': 'Party Supplies'}, {'alias': 'partyequipmentrentals', 'title': 'Party Equipment Rentals'}]"
Otto Nemenz Intl,"['5700 Buckingham Pkwy', 'Culver City, CA 90230']",Culver City,4.5,6,"{'latitude': 33.990916, 'longitude': -118.37934}",,wVpGVIYALPOmzwylKe4gcA,"[{'alias': 'videofilmproductions', 'title': 'Video/Film Production'}]"
BrainBox Cameras,"['6700 S Centinela Ave', 'Fl 2', 'Culver City, CA 90230']",Culver City,3.5,24,"{'latitude': 33.983879, 'longitude': -118.404642}",,_BegdKNGJUKVVWQDEGpLSQ,"[{'alias': 'videofilmproductions', 'title': 'Video/Film Production'}]"
LJ's Partyland,"['Los Angeles, CA 90210']",Los Angeles,5.0,167,"{'latitude': 34.07141, 'longitude': -118.39741}",,WvJc3UujFE0aHhKDIdVX3Q,"[{'alias': 'partyequipmentrentals', 'title': 'Party Equipment Rentals'}, {'alias': 'eventplanning', 'title': 'Party & Event Planning'}, {'alias': 'floraldesigners', 'title': 'Floral Designers'}]"
Studio X,"['3031 N San Fernando Blvd', 'Ste 110', 'Burbank, CA 91504']",Burbank,5.0,1,"{'latitude': 34.2014110833406, 'longitude': -118.343156799674}",,O4EdoCBlnZvs9NKqV6OV1g,"[{'alias': 'videofilmproductions', 'title': 'Video/Film Production'}, {'alias': 'dance_schools', 'title': 'Dance Schools'}, {'alias': 'musicproduction', 'title': 'Music Production Services'}]"
F22 Studios,"['610 N Victory Blvd', 'Burbank, CA 91502']",Burbank,5.0,1,"{'latitude': 34.1798235, 'longitude': -118.3190594}",,bvShHSS6dZgKnCPRK8Kg4w,"[{'alias': 'electronics', 'title': 'Electronics'}, {'alias': 'audiovisualequipmentrental', 'title': 'Audio/Visual Equipment Rental'}]"
Koed Films,"['7827 Noble Ave', 'Los Angeles, CA 91405']",Los Angeles,5.0,1,"{'latitude': 34.21257, 'longitude': -118.46225}",,bBfeHOxLolSNtbvIjFib2w,"[{'alias': 'videofilmproductions', 'title': 'Video/Film Production'}]"
Lightbox Studio,"['7122 Beverly Blvd', 'Ste G', 'Los Angeles, CA 90036']",Los Angeles,5.0,3,"{'latitude': 34.0757331848145, 'longitude': -118.344825744629}",,ipYzSRWsxX7uYjcjvPNxxw,"[{'alias': 'videofilmproductions', 'title': 'Video/Film Production'}, {'alias': 'sessionphotography', 'title': 'Session Photography'}, {'alias': 'artspacerentals', 'title': 'Art Space Rentals'}]"
Quixote Studios - West Hollywood,"['1011 N Fuller Ave', 'West Hollywood, CA 90046']",West Hollywood,5.0,34,"{'latitude': 34.0894444589141, 'longitude': -118.350065110381}",,WFuOzIePzrl65fyY-qaq8g,"[{'alias': 'videofilmproductions', 'title': 'Video/Film Production'}, {'alias': 'recording_studios', 'title': 'Recording & Rehearsal Studios'}, {'alias': 'studiotaping', 'title': 'Studio Taping'}]"
Apex Photo Studios,"['1024 S Santee St', 'Ste 800', 'Los Angeles, CA 90015']",Los Angeles,4.5,37,"{'latitude': 34.03837, 'longitude': -118.25543}",,gs3LU7v76EAC8p0_NGR80g,"[{'alias': 'videofilmproductions', 'title': 'Video/Film Production'}, {'alias': 'venues', 'title': 'Venues & Event Spaces'}, {'alias': 'photographers', 'title': 'Photographers'}]"
