Review_0,Review_1,Review_2,Id
"I am a commercial/MV line producer in LA, and I use Castex for every job. The staff is incredibly accommodating - they turn my paperwork around very quickly...",I'm a film student and I was very nervous about the cost but Castex decided to help me out! I called and Caitlin assisted me on what I needed. Then they...,"Quick, friendly, helpful. Flagged me into their loading area off the street when I was parking in their street loading space. They quickly found our order...",9ThlqCyvOAPrgedis6Bw0A
"Ryan and the team at Lightstone always make the equipment rental experience easy, affordable, and surprisingly fun! I highly recommend using them for any...","My company and I have only had positive experiences working with Ryan and the team and Lighstone.  We have plenty to learn, and they are always informative,...","Highly Highly recommend this place! Lightstone team is INCREDIBLE. They are honest, respectful, very knowledgeable, friendly and offer BEST prices as well....",9hDT3fdWJoRFkGa62Z0Z6Q
"Jake at Pro HD Rentals did an amazing job at equipping me for thirty some shoots this past year. Not only did he assist with getting us the right gear, but...",I was recommended to this place by a very respectable DP. I can tell you these guys went above & beyond. The gear list we had was all over the place and...,I would highly recommend Pro HD Rentals for all your camera needs.  I was caught at 5PM on Wednesday needn't a Title Nucleus-M.  I called ProHD and spoke to...,-vpcJktTviMd-K9xX-ZPww
"Customer here for years, my go-to shop for anything for the business. A broad range of products to satisfy my needs from tape to tripods, pixels to...","Amazing service from Yani this morning.  He was very friendly, patient and helped me get an order ready super fast.  He even called me back (as promised)...","The bespectacled 'Barney' behind the counter and perched 3 feet above the peasants in his Stalin stance aka:  The ""Tool Nazi"" is a total dick.  Second time...",J8GxUvGNN1VKj2C7Rfmwcw
"Quick, easy rental. Stray Angel is willing to jump through hoops to make sure everything you need for your shoot, and if they don't have something available...","I emailed from their website. After 2 days of no response I called. When I advised the girl who answered about my online inquiry , she was adamant they...",Always use Stray Angel for my production rental needs and always satisfied with the gear and the service.  They work with me to find the best solutions for...,QfFgXQiaEg2P7PtcuMie8g
"Did a rental through them for a video shoot!! Pricing, gear line up, customer service, gear pickup/drop off were all amazing!! Highly recommended and will...","Kyle, Henry, and Adam are ""Bokeh Rentals"", and do a damn good job providing a professional rental experience. 
I have taken their equipment across the...",I started my business about 7 years ago renting camera gear and doing production work.  As the production side of my business started to grow it became...,O-HVIrUoqc7Sw_9kOQzFgw
"The team here at WOVA was amazing helping me get a very sentimental video converted off a cassette tape to digital version. They were kind, attentive and...",I wanted an outdoor screening of Jaws for my boyfriend's surprise birthday party-- but had no idea where to begin because I'm not a tech person at all....,"WOVA came through and helped us out with some sound equipment. There professionalism is unrivaled. Lonnie and Derrick are a pleasure to work with. 

We will...",iUHJ7cgFDGfjJqfFCJokNw
"By far, this is my preferred rental house in LA. Sometimes a production I'm working on will need to rent a lot of gear and sometimes I just need a couple...",Everyone is so knowledgeable and so friendly!!! I wasn't planning on buying anything at first; I just went in there to ask some questions about off-camera...,"These guys are seriously the best! They beat almost everyone's pricing, and have tons of things in stock. If they don't have the availability, they'll find...",KCvL_wFRZjfvAMrH9KHEkw
I had a super delayed personal project that needed a video transfer from an old VHS tape. I know leadtimes for such services would be weeks out but I tried...,"I called around to a few places, but after speaking to Nimrod at Advanced Media, I found a place I felt comfortable digitizing my VHS tapes. They are very...",I trusted the guys at Advanced Media with my precious legacy (as they called my VHS tapes of when my kids were babies 25+ years ago) tapes and I'm so happy...,RR22Z35-pj6tJJEAMKWEow
"I am a producer based in Los Angeles. 

RLC is my favorite rental group to go to. They are not one of the big box guys, rather they are a family owned...",Red Letter is amazing! Jared is beyond professional and always goes the extra mile for his clients. Red Letter's gear is top of the line and always...,"Recently we just produced and shot our feature in Salt Lake City. For being a two week production, we were more than set with the gear we rented from red...",efvYOmIdFuT-uAFt-dZQrQ
