Review_0,Review_1,Review_2,Id
A very awesome camera rental business. I always have a very seamless experience picking up and dropping off and the employees are very accommodating and...,The team at Lighthouse is great. I feel like I'm their only client when working with them. Albert is great and very knowledgeable and he has built a solid...,"The absolute best.  Always a friendly smile from the staff.  They are helpful, courteous and always eager to help you get familiar with the equipment.  The...",VVpalkHGl3Ta50KGU4snhQ
"Hello World is fantastic. Their staff is very friendly and beyond knowledgable. Equipment wise, they're constantly updating inventory to remain current. All...",I am an eighty-two year old woman and photographer who has never used recording equipment. I had the good fortune to work with Hello World. From the moment...,"I LOVE THIS PLACE! First of all, they're open during regular business hours and are not at the mercy of holidays which is a saving grace for filmmakers. On...",E1gMEffffz_ZAjrpU85a0Q
"Best Grip and Lighting rental house in Brooklyn. They are fast, they are reliable and they are cost effective.","My San Diego-based non-profit company, Invisible Children, sent me and a few other staff to NY for an event this past week. The day of the event we realized...","I rented a ""wheelchair dolly"" here which is really just a wheelchair. They were friendly and accommodating, and you can pull your car right on in. This...",GX0wthFRNbsBxzBFQEf-Xg
Hit and Run saved me on a hellish ad campaign! On the last day of the shoot (a monday) they decided to cast a commercial airline pilot who was 6'3 with...,Hit and Run productions saved my shoot! I came to NYC from California. They had some 16mm equipment that I couldn't find available for rental anywhere. Ari...,"H and R filmed in my house, which we lent for an upcoming movie. Extremely professional. Left no mess. Gave us credit. Did beautiful work. Highly recommend...",ntnuLH-tk9Qh8n895hDV9g
"Our Brooklyn-based design studio, Isometric, worked with Canal Sound & Light for a comprehensive lighting, projection, and sound scope for a temporary...","Audio equipment, security systems, custom event setups and more! Jeff and his team can do it all. The team at Canal Sound & Light are professional, thorough...","Love this place. I get my dj gear here. Their prices are competitive and they always have the latest gear. I like to look before I but, so seeing the gear...",dIlZekiLaIQHrYl0vB019A
"Couldn't have been happier! Great quality Profoto gear, big space, air conditioning, very fair prices, good location. They were incredibly accommodating and...","Rented the studio for half/day for a video interview.

The studio was located on the second-floor walk up. The stage manager was super nice and helped to...",This studio was great but the only drawback was there was no elevator on the weekend and we had to walk everything up 3 flights of stairs.,rXjhzma0XIrxJEFt7q0tIg
"Open at 10am on the dot. About to start taken photos for pluckit magazine. This is a nice studio to work in, got to invest into something like this. 


What...","I booked studio time for a photo shoot last year. It's a GREAT space! Peter was very knowledgeable, helpful, and had everything I needed to help achieve the...","If you're looking for a great photo studio in a hip Brooklyn neighborhood look no further!

It's a small intimate studio space with a simple cyc wall on the...",FOVaV6u49Hb3VEncHJ5eVg
Have dealt with the folks at EC pro and studio 253 for almost 10 years now and have never had anything but great experiences. Buying gear from them is a...,,,pbKvx_z5FaHPYpW16o4ApA
"Not sure about party equipment rentals, but I'd rent anything from Mike Nichols and the rental department. And if you're buying camera gear and not talking...","Awful! Awful! Awful!  Would give them negative stars it was an option. 

 We fixed two tripods with them a few months ago and they broke again. We brought...","Astonishingly unhelpful. Trying to carrying a giant load of gear? Multiple employees will walk right past you, maybe even drop a line like ""Good luck with...",2Ev_4sjG46eHWSZC9_BasA
"My organization, A Free Bird, has been partnering with Go Penthouse Studios for the past few years. I cannot express enough how Go Penthouse Studios is...","Freaking nice Penthouse!!!!

F, W, J, F2, V and I played ping pong, drank, ate and took some pictures and had a grand ol' time.

Amazing rooftop and...",,2gvEa7HC1puxB0gNh67zGQ
