Name,Address,City,Rating,Review Count,Coordinates,Price,Id,Categories,Latitude,Longitude
DiJiFi,"['1166 Manhattan Ave', 'Ste 201', 'Brooklyn, NY 11222']",Brooklyn,4.5,165,"{'latitude': 40.7382584, 'longitude': -73.9549479}",2.0,CwBYC8nVLbG7KjVU6nwR4A,"[{'alias': 'photographystores', 'title': 'Photography Stores & Services'}, {'alias': 'videofilmproductions', 'title': 'Video/Film Production'}, {'alias': 'digitizingservices', 'title': 'Digitizing Services'}]",40.7382584,-73.9549479
Indigo Productions,"['250 W 90th St', 'New York, NY 10024']",New York,5.0,5,"{'latitude': 40.7908706665039, 'longitude': -73.9751968383789}",,8v0pPzCHOgJKGmydp2_xCA,"[{'alias': 'videographers', 'title': 'Videographers'}, {'alias': 'videofilmproductions', 'title': 'Video/Film Production'}]",40.7908706665039,-73.9751968383789
Bizvidmedia Productions,"['99 Wallstreet', 'New York, NY 10005']",New York,5.0,5,"{'latitude': 40.70479, 'longitude': -74.00726}",,dQeD7LOvK4owK-8ysfu9gQ,"[{'alias': 'videofilmproductions', 'title': 'Video/Film Production'}]",40.70479,-74.00726
Shell's Loft Brooklyn,"['13 Lexington Ave', 'Brooklyn, NY 11238']",Brooklyn,5.0,2,"{'latitude': 40.6866128, 'longitude': -73.9616521}",,RJ8gQ3rFW7-iX8VA9EhDmw,"[{'alias': 'videofilmproductions', 'title': 'Video/Film Production'}]",40.6866128,-73.9616521
Kaleidoscope Pictures,"['Brooklyn, NY 11231']",Brooklyn,5.0,8,"{'latitude': 40.6772802, 'longitude': -74.0094471}",,9uHmHMAsMiGnCulUL_8cLQ,"[{'alias': 'sessionphotography', 'title': 'Session Photography'}, {'alias': 'eventphotography', 'title': 'Event Photography'}, {'alias': 'videofilmproductions', 'title': 'Video/Film Production'}]",40.6772802,-74.0094471
590films,"['42 West St', 'Ste 301', 'Brooklyn, NY 11222']",Brooklyn,5.0,4,"{'latitude': 40.7280427, 'longitude': -73.9588363}",,d-qaOdxKdZKe2fXEIl-i3g,"[{'alias': 'videofilmproductions', 'title': 'Video/Film Production'}]",40.7280427,-73.9588363
Hello World Communications,"['118 W 22nd St', 'Fl 2', 'New York, NY 10011']",New York,5.0,42,"{'latitude': 40.7425398, 'longitude': -73.9945521}",,E1gMEffffz_ZAjrpU85a0Q,"[{'alias': 'videofilmproductions', 'title': 'Video/Film Production'}]",40.7425398,-73.9945521
YouTube Space,"['75 9th Ave', 'New York, NY 10011']",New York,5.0,6,"{'latitude': 40.742581, 'longitude': -74.005434}",,Qeow9fHfcXHWIQ8I3JtKoQ,"[{'alias': 'videofilmproductions', 'title': 'Video/Film Production'}]",40.742581,-74.005434
Cinema World Studios,"['220 Dupont St', 'Brooklyn, NY 11222']",Brooklyn,4.5,2,"{'latitude': 40.735954, 'longitude': -73.950508}",,6xZHiBQiaC9o1Jma1BSu7A,"[{'alias': 'theater', 'title': 'Performing Arts'}, {'alias': 'videofilmproductions', 'title': 'Video/Film Production'}]",40.735954,-73.950508
Deverge Studio,"['150 W 28th St', 'Ste 600', 'New York, NY 10001']",New York,5.0,5,"{'latitude': 40.74676, 'longitude': -73.99282}",,a_fzR8OJ9M59h_GyRfpaIQ,"[{'alias': 'videofilmproductions', 'title': 'Video/Film Production'}]",40.74676,-73.99282
Silvercup Studios,"['42-22 22nd St', 'Long Island City, NY 11101']",Long Island City,4.5,12,"{'latitude': 40.751331, 'longitude': -73.943515}",,PmQCLScgnN8DhGVxWN8nFQ,"[{'alias': 'theater', 'title': 'Performing Arts'}, {'alias': 'videofilmproductions', 'title': 'Video/Film Production'}]",40.751331,-73.943515
Ground Glass Motion Picture Company,"['195 Christie St', 'New York, NY 10002']",New York,5.0,1,"{'latitude': 40.7221489, 'longitude': -73.9923325}",,CjI40qw7Djs13FhjfyM6Ig,"[{'alias': 'videofilmproductions', 'title': 'Video/Film Production'}]",40.7221489,-73.9923325
ActorIntro,"['555 West 59th St', 'Holbrook Studio', 'New York, NY 10019']",New York,4.0,5,"{'latitude': 40.771451, 'longitude': -73.989385}",,GO_ymzhpBd4v7LreDzBE0w,"[{'alias': 'videofilmproductions', 'title': 'Video/Film Production'}]",40.771451,-73.989385
Hit and Run Productions,"['65 Roebling St', 'Ste 202', 'Brooklyn, NY 11211']",Brooklyn,5.0,4,"{'latitude': 40.7165128, 'longitude': -73.9546435}",,ntnuLH-tk9Qh8n895hDV9g,"[{'alias': 'videofilmproductions', 'title': 'Video/Film Production'}, {'alias': 'costumes', 'title': 'Costumes'}, {'alias': 'props', 'title': 'Props'}]",40.7165128,-73.9546435
Brooklyn Studios,"['8-16 43rd Ave', 'Long Island City, NY 11101']",Long Island City,4.5,8,"{'latitude': 40.7526277, 'longitude': -73.949923}",,2dxfi5_e3rscIp_J5rfpJw,"[{'alias': 'videofilmproductions', 'title': 'Video/Film Production'}]",40.7526277,-73.949923
The Self Tape Space,"['W 118th St & Manhattan Ave', 'New York, NY 10026']",New York,5.0,13,"{'latitude': 40.806343, 'longitude': -73.955873}",,DUqn0GLADTaPLjajbdhxfQ,"[{'alias': 'videofilmproductions', 'title': 'Video/Film Production'}]",40.806343,-73.955873
Reel Creative Studios,"['146 W 29th St', 'Fl 3', 'Manhattan, NY 10001']",Manhattan,4.5,11,"{'latitude': 40.750133, 'longitude': -73.997006}",,bRvp8gAx6og9UjbrncuJGA,"[{'alias': 'videofilmproductions', 'title': 'Video/Film Production'}, {'alias': 'videographers', 'title': 'Videographers'}, {'alias': 'eventphotography', 'title': 'Event Photography'}]",40.750133,-73.997006
