Review_0,Review_1,Id
"Want to see something cool?  Step inside ECG's studio or, if you can't, at least take their virtual tour online and see for yourself their awesome audio and...","I've not actually worked with them-- however, I did come in for a meeting with Jason Sirotin and he was a pleasure speaking with. Obviously extremely...",jG1sRe0ab5nTHRDhF2QUoA
"Superior A-1 Service! That's how I would explain my experience working with CoCo Studios. From start to end, they provided professional experience that...","omg! where do i start! i'm an event planner from chicago and i was introduced to coco studios for my client's event ""like the river salon-9th year...",ufcWazop69RAuok8ikJ8gA
,,z_K-bn1VP3ED3bi1Oj661g
We wanted a nice place to indulge a little after being locked up during the pandemic and my god was this one of the best decisions we've made in a very long...,Great as usual very good way to control Covid oysters good cocktails good beer small but overall good as always,bojzHdyQ9DC8QsjtJazLcw
"Great studio with green screen. Was here for a quick shoot. They had everything we needed and John was super helpful. Our production didn't have some gear,...",,Lj6fBJeu1p__HcJU1T4Q9w
I recently had the opportunity to work as an extra at TPS and the property is so beautiful. The sound stages are also kept very clean by Tyler's staff. The...,I am all for this man and his studio. God bless him and everyone around him. I could not be happier to be a new neighbor only a few short blocks away to...,IiQ5du4bRMbu-srtdB4UnA
,,C_PhK1PDissPoFjIAqi8OQ
,,5xp7dXcLRR1jQ6aFfiaF5w
"Swan House and Hunger Games 

The Swan House was built in 1928 at a cost of $106,000 in cash for the Inman family after their Atlanta home burned in 1924....","The Swan House is located in the Atlanta History Center in Buckhead. 
 
Completed just before the Depression, The Swan House is nearly a century old.  It...",ScdRsVIOCB8QvqdNJ5RUqw
,,I8Qq3abrlCM0tf15WcbDrA
"Ok so let's dive right into this!

Pros:  

Customer Service:  Upon arrival we were immediately greeted by multiple hostesses (all wearing masks), they were...","I may be late writing this review, yet it's so fitting due to the ""Take-Out"" season. I was back in Atlanta for the Holidays walking around one of my...",6VTj9WahLNw8i6bKAA7kvw
Love the vibe of this place. Coffee was great. Two amazing hard working women were very kind yet making sure people followed COVID safety. Will be returning.,"Love this cute coffee shop! We came in for some coffee and ended up staying, sitting on the couches and playing games. The coffee was great, I got an iced...",OgHeM1bi_A2Nzz-knwlmfw
"Me and my family have been frequent customers for over 10 years. Despite COVID restrictions which puts a damper on any restaurant visit, this was the best...","Took my daughter and a couple of her friends here for her birthday dinner. Reservations were made and a confirmation text was sent, as well as a phone call...",jPXC6g80YPqtku2ykboIUg
I decided at the very last minute that I wanted a skee-ball machine for my son's bar mitzvah party. Kevan at Monte Carlo made it happen and was so wonderful...,Monte Carlo Productions is amazing! I threw a House of Cards Party for my husbands 30th birthday. We reserved a blackjack table with dealer and slot...,mjBkKk2Z1zqlDgs1pxfHhw
"Most people know Opera as a nightclub. However, when it's not operating as a dance club, it's an event space officially known as the ""Atlanta Event Center...",What more can I say? Opera Atlanta in the end pulled our evening together beautifully. Opera is not known for it's weddings but I definitely think that this...,PE32gTpVAX8U7003Yrhm-g
I recommend this restaurant to every single person I talk to. AMAZING. everything from the oil and bread to lobster ravs. If I could afford to only eat here...,"My only regret? Not coming here sooner. We live two blocks down and we had never been here. Our first time was during COVID unfortunately, but we felt very...",qS2Gg7_FH8iHFiorOVd7hg
We didn't do much research beforehand but what a lovely surprise. We went at 9 am on a Sunday and there was already a 75 minute wait. We are new to town so...,"Yelp Reviews: Quarantine Edition #64

It's all about the Chicken Biscuit!

Going down South, especially Georgia, everyone said go get me some fried chicken...",trfQCzNmAgfQLSFUb_6vbA
Primrose Cottage is truly a diamond among wedding venues.  We searched dozens and visited 14 venues and Primrose Cottage stood out among all of them.  I...,My husband and I just got married at Primrose on 01/06/2018 and it was amazing. The people are wonderful and so helpful. They made the wedding planning...,J5QklV6BSRs5calvvfXAzQ
"I cannot believe it's been at least fifteen years since I have visited the Alliance Theater. Shame on me! I love everything artsy, so it was such a pleasure...",We came to the radio presentation of A Christmas Carol in a parking lot. Their performance was good but if we left our car running to stay warm the very dim...,hk5L_2PctMSpAeZJR4z44w
Great spot for a casual night out. The vibes here are really cool and it feels like a fancy brewery. Very COVID friendly as the tables were all spread apart...,Really cool space. Renovated old building turned into a bar/restaurant. I stopped in with a friend of mine for dinner/drinks. The tables both inside and out...,48UX4Sx-4Nc-uFhVKw7ZrA
This was a lot of fun. I am confident that it's even better without COVID restrictions. It was Disney-friendly; everyone had a smile on their face. I...,"World of Coca Cola is fun! We had a great time. We purchased the tickets online and added the photo package (which I wish we hadn't done). Upon entering,...",MwXqRRjjpwKoEKZBb78ScQ
"I've been an enthusiastic supporter of the Atlanta Shakespeare Company for years, but somehow I'm only now writing a review of what I consider one of the...","My husband and I recently visited the Shakespeare Tavern with tickets we won from a charity event. Listed as VIP tickets, honestly, it didn't feel too...",FYv5MWo4SCtD6JCADP3u1g
I am beyond pleased with this studio.  I went in for photos for my website.  From when I walked in to when it was complete I was very pleased with...,,Tr0_-6DWMw5_z7puZI2Cew
Absolutely amazing studio in a great part of Atlanta. Highly recommended to do your music magic here. Had a great time with DrummaBoy in October and the...,This place is another home away from home. I would literally be here almost every night or at least twice a week recording. I love this place. I also...,o1rCT7q32csnEHY4ANRJ8Q
,,N0g3teOyQ2nIJIuWwjbLbw
"I have been coming to this B&B for almost ten years and have stayed in every room of the main house. Everything - from design/decor, cleanliness, comfort,...",I was very pleased with the customer service from the hands on owners. The food & flowers are absolutely fabulously. Great venue & staycation destination!...,Db4CT9B2LhT3PEsCvdpy_Q
"The glow of the sign can be seen down Peachtree Street for as far as the eye can see, while the marquee rolls with show titles and draws your eye into its...",Visited the fox Theatre back in 2012 for the weigh ins for Jon Jones vs rashad evans. Very beautiful and historic looking place. I'm sure when jt www built...,SxtcekmS_EvKhOXWNAA3Mw
"I'd highly recommend Canoe for a unique upscale dining experience! The decor is lovely, with wood accents and an outdoorsy theme. Make reservations for a...",We had a wonderful experience for our anniversary dinner at Canoe. The service is friendly (thanks Conner) the food is delicious and the atmosphere is nice....,eqFA5BJ5NDjZ4TaUXJazfg
Relocating from Los Angeles to Atlanta I was excited to dine in at Mary Mac's. Very hospitable staff and masks were worn by staff. Throughout the dining...,"Yelp Reviews: Quarantine Edition #69

Yelp Review #400 has to be special and I can't think of a better place.

Mary Mac's is an Atlanta institution and a...",z9oCxeqOKp2QMfM24m7bUw
"Just had our second trip for Valentine's Day (VD) after our first visit for our anniversary back in November. We had such a good experience the first time,...","I love the Optimist! Hands down, its my favorite seafood restaurant in Atlanta! They have mini golf right in front on the lawn. What a great Covid activity,...",7895YHS5qGu03R-C6aYg9g
The best DJ of all time! VERY professional and an expert at keeping the crowd engaged and having a blast! We also purchased Photo Booth rental services from...,,u89wRbvWC-jEi4MHM06vdQ
Overall pretty standard waffle house nothing special. The server was fantastic very quick and prompt when we arrived to our table and the food came out...,You definitely get your money's worth here. I went here when my sister used to live in Atlanta. Because when in the south ya gotta try Waffle House! I got...,o-sZlveAMQlxrfuFcOpoVA
This place is as fixed as the North Star. Haven't been to one in 20 years and it was in West Virginia.  It was exactly what I expected and it did not...,"I'm surprised no one on Yelp has mentioned the following about this Waffle House. I noticed the top of my receipt says ""Waffle House 1885."" 1885 is the year...",CrdFtMqMa1pTS1GZ5lAwZQ
"I'd give 6/5 if I could! Working with Oscar, Franco, and their partner was a fantastic experience. They did everything to the tee and were top-notch. I...","Covid protocols perfect, installation, perfect. All wires carefully put away. All surfaces cleaned and remotes even setup....in 45 mins! They were perfect.",qZg1Ax6Ead4H0vyPmLYeAQ
I Love Any Type Of Mexican Food! Im So Happy I Ran Into This Place While Waiting For A Reservation At A Nearby Restaurant. My Friend And I Sat At The Bar...,Venue:  The restaurant was very well decorated- almost like a museum.  Found out later that each piece was actually art for sale -  we inquired about a...,xh7cXbX0hYKg0VucnTjBFw
Wow just wow!! Came here to celebrate my birthday dinner and the whole experience far exceeded my expectations. The food is absolutely amazing. The truffle...,My wife and I came here to celebrate New Years together and the food is absolutely incredible(truffle pasta is a must). They serve appetizer portions so we...,g9YfGaCb49yrLb7FpD9A7g
"We had Finding Flavor cater lunch for a business meeting.  I'd have to say this is the best food we've ever had catered in.  All the food was fresh,...",,avK9Q-QIrIOBCf1bW3GU4Q
Brew and Bird is awesome! They have the best wings in the area. Sam is an awesome proprietor. The sauces cannot be beat. Do not get your wings from some...,Delicious wings. I highly recommend you try this place if you want great food and kind service. It's a small operation during these crazy Covid times but...,bJJK4Hgzdedu98FgtKi56Q
"This review comes from a few perspectives, that hopefully some of you can relate to... 

1. I absolutely love taking photos, but can count on one hand the...",I went to Meagan O for a boudoir shoot as a gift to my fiance on our wedding day. I shopped around quite a bit and Meagan was the best by far. Not only is...,8v-4A6M0kgP9CC7QQALMaw
"We have been regulars at Nakato for a long time. In the ""before times"", we sat at the sushi bar, and chatted with other guests, the sushi chefs and the...",We love Nakato! We have dined there for many holidays and birthdays over the years and most recently on Christmas Eve 2020 which was our first time being...,F7d32-PQcfIEX-bAaMjV_Q
"We did the seasonal omakase for my wife's birthday and we were absolutely blown away by the entire experience. First, Chef Hayakawa and his team were so...","This was an experience out of this world. Food was incredible, the chef was so entertaining and kind. Best food I had in the US. (ALSO, I am SO impressed...",u8MBitab9__SZfVSS52C8Q
CSBN news just ran the story of how this business is making hand sanitizer and giving it away for free at a time when so many are price gouging.  Bless...,"Just heard a radio show about how they are making hand sanitizer! Shifted production and paying all employees. Besides making delicious gin, these guys are...",HKhpfrUw0c-Ovb9QEwDzGA
I was lucky to help out my friend on a solo project she's been working on out of this studio and this place IS NICE. You definitely feel like the engineer...,,CV9g9Y_mNYNRqQZm_fUFJA
"I found discounted tickets to a production through a 3rd party and decided to pay a visit. I'm not familiar with the area, so I did miss the turn at first,...","I've now seen two different productions here (""Bad Jews"" and ""Rent"", if you're wondering). I can't remember how ""Bad Jews"" was set up, but I want to say it...",vZzx8ttW5tdCo0nIYTGdJw
Came in for brunch on a Saturday around 10:50am with a party of 5. The line was not long but there was a minimal wait. The entire Waffle House was full. We...,The two girls siting outside  like you gotta have a mask.. I go get the mask and then they tell me that this location only takes to go orders... ver...,umRRVfBg5Ik18ZJKuQUYJg
We ordered takeout and it was prepared and bagged so neatly. The food was great. It was my first time eating here and I will definitely return.,This restaurant is one of my go to favorites for take out. Ordering online and going to pick it up is simple and easy. I haven't eaten inside this...,d-Gv5j_7aANsX0kYyOYQ9w
Covid precautions at this place are tops. The staff actually wear their masks properly. They even have a rope on the front door so you can open with your...,"covid review:

very strict and clean precautions when arriving here. you must order at bar, and take drink to open table. Prices are very fair for the...",GgwjulR_-ik36RnEr_MVug
"Most amazing photographers! Hired them for our wedding & also recommended them for our friends, which they also hired. Super friendly and understanding of...",They did an amazing job at my wedding!!! Absolutely love their work and people!! Highly highly highly recommended! Like seriously,FAfnkSlZ7lGA5S9Wga6vuQ
"Asking your better half to marry you demands pictures good enough to frame. Ok, let's be real, a momentous occasion like a proposal needs snaps good enough...",Gianna was so professional & helpful. She was a lot of fun and came up with poses that fit our family. We were visiting from out of town & she was very...,QZK4sbPMz7LNWrL3bvwhuQ
The Yard House is a solid dining choice at the Battery! We had family in town this weekend and settled on an early Valentine's Day lunch here. To be a bit...,I think this spot does a pretty good job during the pandemic. I love their beer selection on tap and they have some yummy appetizers as well. If you are...,07vrOVXqxUC4qIKvVVah7g
"Following the best places to eat in Atlanta recommendations list, we made this restaurant our first dinner stop for our Labor Day weekend trip.

At 6pm on a...",I adore this place. Every single dish I've had here is jam packed with flavor and made as local as possible. The heirloom tomato salad {crispy croutons and...,B1utosVn_70fiRUxJQRKgA
Beer: I used to complain that all of SweetWater's beers basically tasted the same. I think they've upped their game in the past few years. My favorite is...,"Super huge place! My friends and I came on a Friday night around 6:30pm and it was a packed house. The wait for us was about 1.5 hours long. Luckily, you...",mZvBf41nhigQlnjaKQhlGg
I visited this studio on Thanksgiving and the day after for two special events--the holiday and a massive milestone birthday celebration for...,,mFtkQKyc4s6LDERc94fkvA
Horizon is such a great space to see a play. All seats are good seats for seeing the details of the actor's interactions. It really adds to the intimacy....,"I absolutely love Horizon and my one gripe is - they need to do MORE plays! Pretty please!

The last one I saw - Blackberry daze - was pretty fabulous. So...",8VTEFpHFBmjcxdATF88pXg
We had a blast with our group as well as chef Jake making pasta from scratch! Not only was it fun to meet and work with other couples making our meal...,"Amazing experience. We went here on some goofy team building exercise, and ended up having an awesome time, eating great food, and learning a ton. Since...",kM9Jh4tsftw7WoLecbjfHA
There is a reason why this is generally known to the the best steakhouse in Atlanta. It did not disappoint! After we were unable to get a reservation at...,"Best steaks in al the land. And pretty mich everything else is amazing too. Service is always impeccable. 

Lobster fritters, short rib, and thick bacon all...",z5zuvz9OD8S_-iNMPiqJNQ
"Best Turkey EVER at 103 West's Thanksgiving feast!

With COVID we looked for a safe and easy carryout Thanksgiving-103 West provided a delicious drive up...","Easter brunch at 103 west was amazing, fine dining at its, finest! !!! I've only been here for special occasions when they offer a buffet brunch (Mother's...",9EJWybSw4e2dra1zizRWHQ
"Simple menu selection - DELICIOUS food! 

Started with the Fried Potato's - the Parmesan cheese is light and a perfect accent to the dish. The Green goddess...","I love a mano!  My partner and I heard about this place on TikTok.  I've been twice and the food has been great.  The portions are great, and the staff is...",DRL1GpT6lsgmGEVVwn1Vkg
"They're doing a wonderful job with COVID! The staff is friendly and responsive. We went for afternoon tea and weren't disappointed. 
They give you a choice...",I cannot say enough good things about this hotel! Our original plans for our wedding were ruined by the COVID 19 pandemic. I contacted the St. Regis for an...,x7lGiUPoObkxcz4Wd8-WCw
Came here for dinner with my family and I love the ambiance! The service is pretty good and our waitress was very attentive. I love the cozy feeling and the...,Decided to have an impromptu date nite with my wife. I read some Yelp reviews for Joey's and they were somewhat mixed. We decided to try them anyway and boy...,4U2bhcleBtWAWNNt9jhjbA
Great food and great people!   Got take out from Endive because we miss being able to dine there inside.   The clam and bacon chowder was so good.   The...,"----updated for new status----
Endive is back open with a new menu customized for more takeout orders.  We've done two orders now and I'm enjoying exploring...",kNwadCO8DEJLo07Dpd3W0w
After Christmas shopping at Lenox mall I was in the mood for good seafood and having already tried every restaurant in the area many times already I decided...,Food & drinks was excellent and service was even better! Great ambiance. It was my first day out of 'quarantine' and the restaurant was very clean and they...,bSy6VVJIdYPza1Bj9_Eicw
"You know what it is.

That late night 3 AM drunk/high fix you need. Nice greasy breakfast food, ratchet enough environment, good music playing. It's just right.","My sister and I had brunch at this Waffle House today and while the food was OK, I couldn't understand why the cashier was not wearing a mask. She was but...",n6_3K6M6oIrbKeMEsru1rQ
I went here with some trepidation. My wife and I moved here from the Chicago area last fall. We were subscribers at Lyric Opera of Chicago. I...,Yesterday afternoon I attended Yardbird at Le Maison Rouge at Paris on Ponce and it was a beautiful show. The setting was intimate and I gross if I was...,On9iZS4ZofrVx5rgChK3Tg
I love Superica. I've been many times to multiple locations. My all time faves are the queso fundido with chorizo and the queso compuesto. I also love their...,"Great food, cool ambiance and Brie was an absolutely outstanding waitress. This lady was so conscious of any delay with food or beverage delivery that she...",qJl9D0f8KeWH1Kyegx6rfw
"Herbert did my project exactly as I asked-- and perfectly!  I had eight 16""x20"" photographs and one 20""x24"" oil painting.  I wanted Herbert to photograph...","What an incredibly fantastic resource to have found again! 

I used Herbert 20 years ago, and forgot how amazing he is. In addition to being incredibly...",dakAEIwMW1hXLc4RoOqOHA
All the staff were all very friendly. We had a good view from our room and everything was kept pretty clean. Just wishes there were more options on...,Everything I've read in other reviews that is good about this hotel is true.  Quick check-in.  Courteous staff.  Room rates are decent if you don't valet....,JnYiqY0vdzr0qHXK72g0_g
"Absolutely stellar place.  Can't recommend them enough -- service is always impeccable and if a wine recommendation is needed, they will set you up with...",This is a great date place and the food is top notch.  They are doing a great job working through COVID restrictions and making everyone comfortable.  The...,4fzjAjzLCnjWfQP1sOHiwA
"My visit to Maggiano's was a little atypical as we had my bridal shower here so my review will be based off that. For parking, we had to park in the shared...",My friend and I dined at this location tonight for dinner. I had never been to Maggiano's because I'm not a fan of Olive Garden so I wasn't super excited to...,22Y5HC5GY7KcHR_LeNH_HA
"I've never in my life had a bad experience here. The food here is supreme. For appetizers I've tried salmon bites, catfish strips, and fried deviled eggs;...",Coming here was my absolute favorite part of my family and I trip to Atlanta.  Not sure if those is due to Covid but no reservations are accepted and it's...,QW3anlt1nJ9aNkdQAV-Ifw
Yummy!!! The food is amazing!! We were looking for a brunch spot for our final day in Atlanta. This place had great reviews. We got on the waitlist around...,"Hands down one of the best breakfast spots in Atlanta.  It is definitely worth the visit. When we arrived around 9:30am on a Tuesday, we didn't have to...",GJxFtnTqTiokFedNrW9iDQ
"Can't recommend Shannon enough - this was an all round great experience.
Professional, responsive, GREAT photos, made us feel very relaxed and at-ease, for...",,oRjDC8JSwf_fSXR3ffmlfw
"The perfect Italian restaurant outside Italy! Really a surprise and I was happy I decided to go there.
Honest food ! Super tasty ! Very friendly...","I'm sorry to report that we ate all of the food I picked up at Storico; therefore, I have no pictures to share. I really wanted to post pictures, but I do...",cZ8p_myiAYsAbJqbKB0faA
