Review_0,Review_1,Review_2,Id
"Oh my goodness I can't believe I had forgotten to mention these wonderful guys! Well let's fix that now -- 

Do you know you are a great actor but you don't...",Awesome reel production and excellent customer service. Would definitely recommend.,"Preface: I was hired to act with their clients, so this review isn't marked by their full service. 

With that being said, I believe these guys have a good...",twTC3Ocrj2L1jwPj7USiiw
"If you're an actor in need of a theatrical demo reel you need to STOP dead in your tracks and thank your lucky stars that you found RFW. 

I've been in the...","Steve, Troy, Arnella and Amber are the best in the biz! This is such an amazing team of dedicated filmmakers. They are prompt and efficient in scheduling,...","5 stars without a doubt. Relentless Filmworks is the way to go for any serious actor needing a reel. I recently had my reel done with them, and I can't tell...",mzn9IKLGDSLSjZTkqhlZQg
Damn damn damn!  I really wanna listen to the devil perched on my left shoulder and NOT tell you about this place just so I can keep it a secret!  BUT the...,"If you're looking for a film/tv production or postproduction facility on the Eastside, just near Sunset Junction, you can't do much better than Fancy Film....",I can't begin to express my happiness with Fancy Film!!!  They go above and beyond to make sure everything turns out perfect!  I had some pretty tricky...,HCgZ35sT0mrgAQj9ObW7Pg
I can't say enough about the owner.  Nishi is gracious and helpful and a joy to collaborate with on any project.  She makes it seem effortless and creative....,,,O4EdoCBlnZvs9NKqV6OV1g
Live House is such a cool venue! I've never seen a venue with such a beautiful layout and an abundance of natural light during the day.  The sound and all...,,,C_BXQnHIaEOvGEZ4xB4R3g
"These guys have great, top of the line equipment and support industry and independent film makers and give inclusive storyteller support. They can explain...","TCD is great.  Rufus, Eric and the crew are awesome.  You can even rent a MoVI XL at the The Camera Division!",I called Division this afternoon bc I was selling a video camera that needed a PL lens. I spoke with Derek who was really nice and offered to help me out! I...,TcHKbsf6nPBQZ79HC6xJDQ
"This place has great sound, great lighting, great video, great atmosphere but most of all its run by a phenomenal dude! 

Ross will make sure you dont feel...","I love taping with Ross at Audition House! My tapes look and sound gorgeous. Easy online scheduling, lovely cozy and boho studio (it looks like a hipster...",I love self taping at the Audition House! Ross is so professional and really understands what makes a great tape. I cannot recommend this place enough!!!...,GcdwHvG80tg50I_8oc6BEA
These guys transformed my company with their professional commercial. They helped me hit my budget and also handled everything. From helping me write the...,"My experience with Fanciful has mainly been with James, as the producer for a music video production. Throughout the process of planning to production, he...",James and Richard are fantastic gentlemen and provide a very professional and familiar experience. The space is fantastic and fully functional and highly...,FM6uBOwohPUMj8NTMMEnYQ
"I called dream reach media to learn about their services.  Shortly after I received a call from the owner Mr. Daniel Brea. Mr. Brea was professional,...","Unfortunately, I had a terrible experience here at DRM. I saw their e-mails about a discount for only a COUPLE THOUSAND for 3 demo reel. I realized I spent...",I recommend Dream Reach Media.  I executive produced three short short films with them at a very reasonable rate.  I spent the same on production of three...,Fwt6US2ZylSfJpM1cEhHrw
I also found Gerry through a friend and have had nothing but a wonderful experience working with him over the years. Gerry consistently brings creative and...,I found Gerry through a friend who'd had a hellish time getting her reel edited. She'd spent more than 400 at another place and had to start over with...,"What I love about working with Gerry is that it is a true collaboration.  I have pretty specific ideas about how I want my reel to look, then Gerry makes...",qOZPBlQWQvzJ0u-Kn2Lh6w
"I enjoy the combo moho. It has a full side pop out, so it's much more spacious than some other options in the size range. Customer service is top notch....","Booked a motorhome from Wheelhouse LA for a photo shoot at Venice Beach and my overall experience was brilliant. Their staff is extremely patient,...","Per usual, my client requested a motorhome to be on location, one day before starting production. Thank goodness for Tiffany and Steve at Wheelhouse LA. Two...",Qqf3f_OwqY4erroPe7vNvw
"I was so impressed by Deja Vu and it's owner David.  We booked them for my daughter's bat mitzvah, which was postponed due to COVID, but David put together...","I am so grateful to have found Deja Vu Productions and have successfuly used their services on more than one occassion.  The team is responsive, flexible...","Review is based on the interaction of Deja Vu unprofessionalism: as you can see with their updated comment as well! 

I came across Deja's Vu when I was...",AIorRjq6ITwIVqIcXedwdw
I've been shooting here for two features. One as a lighting tech and the other as a cinematographer. There are so many neat nooks and crannies to get a...,"I had no idea this place was here until we shot here! Amazing how many hidden gems are in the downtown area.

This is a great venue for productions looking...","5 Stars for the Memories!  Sharon Gless, Tyne Daly & Orion/The Rosenzweig Co. filmed ""Cagney & Lacey"" here for six seasons, beginning in 1982.  Several...",Htb2OK44MLUJXGCPlV9FbQ
"The Rose Room is a must venue for the Venice local or one who aspires to that unique status. 

I have been to several events at this beach-side locale and...","This is a great venue! The location could not be better, steps from the ocean right on Venice Boardwalk. But once you are inside you are transported to a...","Based in SF, I booked The Rose Room without seeing it in person. When I arrived, the venue looked even better than in the pictures. It was the perfect size...",wjBSAWFFNvYI_5YtYJjtiA
I stumbled upon ADS almost by accident and now recommend them whenever I have the chance. Working in post production for the last seven years I have had the...,"ADS is by far the best dub house in Los Angeles.  As the post-production supervisor for many television shows, I have used ADS time and time again.  They...",,2sYOZeVig4kgRS_GCI81VQ
"Great response time and a wonderful team to work with, from start to finish. The stage (white cyc) was the perfect fit for my production and I look forward...","Jon and Lesley at ReKon are total pros -- they helped us out with the stage, a comprehensive grip & electric package, production supplies, and a few...",ReKon has graciously opened their doors every month to host a Sofar Sounds event and the space they provide is absolutely perfect! Their staff is always...,PZPp6DRNvRmhLYx6MFwAiw
"By far, this is my preferred rental house in LA. Sometimes a production I'm working on will need to rent a lot of gear and sometimes I just need a couple...",Everyone is so knowledgeable and so friendly!!! I wasn't planning on buying anything at first; I just went in there to ask some questions about off-camera...,"These guys are seriously the best! They beat almost everyone's pricing, and have tons of things in stock. If they don't have the availability, they'll find...",KCvL_wFRZjfvAMrH9KHEkw
"I am a commercial/MV line producer in LA, and I use Castex for every job. The staff is incredibly accommodating - they turn my paperwork around very quickly...",I'm a film student and I was very nervous about the cost but Castex decided to help me out! I called and Caitlin assisted me on what I needed. Then they...,"Quick, friendly, helpful. Flagged me into their loading area off the street when I was parking in their street loading space. They quickly found our order...",9ThlqCyvOAPrgedis6Bw0A
"Warner Brothers Studios (Virtual Tour) since I can't return in person! 

Since I don't live nearby in California anymore and I'm not going to visit my...",Warner Brothers Studios will always be a special studio to me. WB is the first studio lot I visited fresh out of college at 19 years old from the University...,"Really cool studio! My friends and I went for a Conan taping, after which we got to walk through the area a bit then end up in the gift shop.

There are...",VPXLr69qTY4XqyDLWkkQ2A
After a month of watching endless videographer website videos for hours on end into the wee hours of the morning ... and I mean ENDLESS and for HOURS - we...,I met Tom and Melissa from Long Haul Films when we photographed a wedding at the Fairmont Copley Plaza together last October. In a world of in-your face...,"We cannot recommend Tom and Melissa highly enough!  They really captured the day, particularly what the photos can't capture, the audio from the vows and...",u2aUhaGXzVPlgzDVgOEvlQ
"The relevant details up front; my name is James Pitt, I've been acting and producing for 20 years, this year. At this point in my career, every audition is...","Is it normal to rush a major tool that EVERY casting director & agent is going to see? 

Createyourreel.com (CYR) reminds me of an unethical car dealership...",Let me begin by how talented Kevin is! You will get amazing coaching as intricate as how you are breathing when speaking the line. He is a perfectionist and...,UuSL8AqYaVfzOIzs3kY9jQ
I bought my Canon C200 here thanks to Jim. I also had a DCP created here. It's a one stop shop. You can test and prep your gear here as well. Very friendly...,"What an incredible experience. So helpful, so knowledgable and willing to stay late to help me complete my purchase. Loving the camera system, thanks Jim!","I am the owner of a visual effects production house, and Visionary Forces is the only rental house I will use.  Not only is the equipment quality/condition...",oiTaq45uMOq7RAnlA1eDkg
It was raining and since I live in the valley I didn't want to go over the hill into town for expendables and spend two hours getting my pre prep errands...,Illuminar has been a great production partner for me as a DP/Gaffer. I'm able to work with them on any budget and tailor my equipment list to get the job...,James and Morgan  at Illuminar are more than helpful! This has been the best lighting house to rent from. They accommodate productions very well. They do...,LLemAlYrz-kPyFLgjfDhwA
"I'm not advocating for picking a wedding venue using Yelp, but I know it probably helps the people over there and I'd like to do them a solid for all the...","Attended a wedding!
Stunning venue.
 From the minute you walk in you feel you have been transported to another place and time. The architecture was...",Carondelet was our wedding caterer first and then our caterer & venue. Let me explain: my husband and I contracted with Tres LA (which owns and operates...,88dE1LVpxWWjmP-cT1GH4A
