Review_0,Review_1,Review_2,Id
"Open at 10am on the dot. About to start taken photos for pluckit magazine. This is a nice studio to work in, got to invest into something like this. 


What...","I booked studio time for a photo shoot last year. It's a GREAT space! Peter was very knowledgeable, helpful, and had everything I needed to help achieve the...","If you're looking for a great photo studio in a hip Brooklyn neighborhood look no further!

It's a small intimate studio space with a simple cyc wall on the...",FOVaV6u49Hb3VEncHJ5eVg
Hit and Run saved me on a hellish ad campaign! On the last day of the shoot (a monday) they decided to cast a commercial airline pilot who was 6'3 with...,Hit and Run productions saved my shoot! I came to NYC from California. They had some 16mm equipment that I couldn't find available for rental anywhere. Ari...,"H and R filmed in my house, which we lent for an upcoming movie. Extremely professional. Left no mess. Gave us credit. Did beautiful work. Highly recommend...",ntnuLH-tk9Qh8n895hDV9g
"As Wow, a great experience with my first shoot at Be Electric.
From the initial inquiry to our final load out : everyone was terrific....everything that was...","They are nice folks, but have very little in the way of amenities-- almost nonexistent gear or equipment to pull from-- my assistant asked for a ruler and...","Great space and a wonderful group of people to work with.  Helpful, friendly and helpful.  Can't say enough good things.",lmiG3-1CZFcoQBESPa7KMw
"Couldn't have been happier! Great quality Profoto gear, big space, air conditioning, very fair prices, good location. They were incredibly accommodating and...","Rented the studio for half/day for a video interview.

The studio was located on the second-floor walk up. The stage manager was super nice and helped to...",This studio was great but the only drawback was there was no elevator on the weekend and we had to walk everything up 3 flights of stairs.,rXjhzma0XIrxJEFt7q0tIg
Morris Jumel Mansion is the oldest home in Manhattan!! The perfect setting to showcase the art work of Addams Family creator Charles Addams. And what better...,"From the outside, the place looks abandoned. Walk through the fence and up to the door, the house doesn't look like much. Ring the bell to get in and a very...","While walking my dog i decided to finally have a walk in this very quiet park. 

It goes around like a circle and the gardening is beautiful i had to double...",Sn9jYOKrk0CgeZVGzKAJPw
Review_0,Review_1,Id
"Open at 10am on the dot. About to start taken photos for pluckit magazine. This is a nice studio to work in, got to invest into something like this. 


What...","I booked studio time for a photo shoot last year. It's a GREAT space! Peter was very knowledgeable, helpful, and had everything I needed to help achieve the...",FOVaV6u49Hb3VEncHJ5eVg
Hit and Run saved me on a hellish ad campaign! On the last day of the shoot (a monday) they decided to cast a commercial airline pilot who was 6'3 with...,Hit and Run productions saved my shoot! I came to NYC from California. They had some 16mm equipment that I couldn't find available for rental anywhere. Ari...,ntnuLH-tk9Qh8n895hDV9g
"As Wow, a great experience with my first shoot at Be Electric.
From the initial inquiry to our final load out : everyone was terrific....everything that was...","They are nice folks, but have very little in the way of amenities-- almost nonexistent gear or equipment to pull from-- my assistant asked for a ruler and...",lmiG3-1CZFcoQBESPa7KMw
"Couldn't have been happier! Great quality Profoto gear, big space, air conditioning, very fair prices, good location. They were incredibly accommodating and...","Rented the studio for half/day for a video interview.

The studio was located on the second-floor walk up. The stage manager was super nice and helped to...",rXjhzma0XIrxJEFt7q0tIg
Morris Jumel Mansion is the oldest home in Manhattan!! The perfect setting to showcase the art work of Addams Family creator Charles Addams. And what better...,"From the outside, the place looks abandoned. Walk through the fence and up to the door, the house doesn't look like much. Ring the bell to get in and a very...",Sn9jYOKrk0CgeZVGzKAJPw
I just completed a client project with the Subliminal team and it could not have gone any better. It was a complicated project but they were so...,,VJBTRv42LELQgpUjkwkeAQ
Have been coming to the chart house for many years and have always loved it . Made a last minute reservation yesterday and was pleasantly surprised that...,Girls night out! Very Successful Birthday Dinner. It's off the patch and kind of hard to find if your driving in the night and not familiar with the...,_WsfOuvObbp1tH4cBE-jNw
,,KxLGJUnqdIgPHtE1d8kbeQ
"I've been working with Deverge for about two years now and I love it.
Most of the equipment the studio provides directly suffices our G&E needs and the...","Here's a checklist of things I find valuable in studio locations:

*) fast response times during booking: Yes
*) tech scout with knowledgable staff: Yes
*)...",a_fzR8OJ9M59h_GyRfpaIQ
"As a corporate event planner, it's important to work with other people that are organized and easy to work with. Medium Rare is fantastic in every way....",Being a NYer it can be difficult knowing where to go... who's gonna play the right music... where will people be dancing... where will there be good...,iepEUK0ZhAl0QTPpWzv9Qg
Freeze it's a Mistery!! Loved how they came and misted us with some water because it was so hot and humid out. Outdoor seating was great. Lots of space!...,"I was there visiting friends,  we decided to check out an event that was being held at house of yes.  Not to bad of a place. Liked the set up and stage. It...",XjKaW-3w7v0fGQJzIZg0cQ
Always the best even during covid-19 times. They have spaced out indoor dining nicely and have a massive outdoor tents. However they need to get heat lamps...,It's a decent steak house. We came during the post COVID period for outdoor dining. They have tremendous space for outdoor seating and there's plenty of...,b8a-8u_A51v2IzyjLVsx6w
We were so excited to try this place out because we wanted to try the pizzas here since more than a year and finally we managed to wait in a long queue and...,It took me so long to get up to the UWS and try this pizza but it was worth it! We went on a cold Saturday night and waited in line for to go slices but the...,m3PS0tIaa0ChcP8Y5S-DrQ
"In love I am with The Metropolitan Opera.  My breath is still taken away every time I walk up their majestic scene of red, gold, and chandeliers.  Plush are...","What a beautiful experience! What a beautiful venue!
This was my very first time going to an Opera and it was totally amazing! The venue was clean and...",e10aY3hPcvQbe-xjzrhAvQ
,,Ue7A0SqVEh3wQPNZTk9QCA
,,lnCITr1_Cu4XIudZDHkzJw
,,DVB8M-lrtk1lQmPu63168A
The food at the stone house at clove lake was amazing omg. We shared a few of appetizers among the three of us.   The Fried cauliflower was excellent...,Two star because the location is really lovely in the park and had the potential to be great. Staff is okay but the food is just gross. I came here for an...,_98kz9tBW7NhCn3zHqOS0A
"I use Big Apple Studios all the time for my photo shoots.  Their space is huge, their staff is easy to work with and the white cyc is great.  Really have...",,bM7a_yUVUwkPW9NCphtyFQ
"I'm still thinking about the meals I've had from Brooklyn Chop House, wow...but first, lets start with their attention to detail in the new outdoor dining /...","Brooklyn Chop House ! Where everything is good! No but really the food, atmosphere and the service was impeccable. We had a 4pm reservation and was promptly...",A0saPXtRGKl-SVJGQyQAOw
Attended a wedding at the palm house and it was a beautiful venue. Looking up at the chandelier while on the dance floor was magical. The garden outside for...,"What a truly beautiful venue, if I wasn't allergic to pollen and flowers I wouldn't mind having my wedding here! I had the pleasure of celebrating the NYP...",f5zvDO2Q4u4YVY1BXO7M6w
"I had a set of very rare books that I needed scanned for a work project. The books required being unbound, scanned, and rebound. DiJiFi oversaw them entire...",There's a big box of photos in my house my family has owned since before I was born. A lot of snapshots of life before the advent of digital technology. For...,CwBYC8nVLbG7KjVU6nwR4A
"I was contacted by AuroIN as one of hundreds of emails that usually end up in my spam box, but the timing was good for me with their offering and I decided...","Initially I was hesitant to move forward but KC and AuroIN 
Really delivered. They were responsive to my needs and created a great site competitively priced...",EFbNNs9JWdVgaOJ29zUzdg
,,pN4lMDRTIR-jahTxS0Crfw
Been wanting to try their mutton chop for years. Finally I can make it happened on thanksgiving. Booked the place a week before and the only option was...,"I've been to Keens twice - once pre-Covid and once the day they opened for indoor dining. Both times were outstanding! Extra star for this time, because...",pQuZDnefX038xurT1BhDXA
,,fyMo9IKp3WBfDnIGFOaj5Q
"Hello World is fantastic. Their staff is very friendly and beyond knowledgable. Equipment wise, they're constantly updating inventory to remain current. All...",I am an eighty-two year old woman and photographer who has never used recording equipment. I had the good fortune to work with Hello World. From the moment...,E1gMEffffz_ZAjrpU85a0Q
"I was slightly confused when I arrived to pick up my order, as the areas by the gatehouse are a part of the Wegman's parking lot.  But once I figured it out...","Coffee AND Whisk(e)y?!?! Sign me up!

We went here after a friend's glowing review and recommendation. I'm a big whiskey fan and King's County did not...",J3ZLnLE-DZzrJu2ryEmrEw
This is by far a must stop for me any time I'm in NYC. The steaks are amazing. The black truffle spinach is amazing. Everything is amazing.,I just had the rudest experience at strip house.  We are very regular customers and have been for years. Arrived on valentine's day with a 3:00 reservation...,432F7ulSgnm1fNyefqgrNw
"""It's like being inside a champagne flute!"" That is a quote from one of our guests at our wedding a year ago. Our memories of that day are still as clear as...","I cannot say enough glowing things about Kevin Mattner and his team at India House. They go out of their way to be friendly and accommodating, and are all...",UdoRmXesmxTnvqjYE0ikjA
I found this spot such a gem! Really great space to study and work - it's quiet and big tables with plenty of outlets. The natural lighting and proximity to...,"I attended a weekend master class at Poets House, which was the perfect way to finally get myself to Battery City to visit. The views are amazing, and the...",cK_59TEEfsZBst9b7d3w2A
"Buongiorno!

I had to re-write my review (Before COVID-19) because of a spelling error and I couldn't edit the review. 

Eataly is a mecca for the best...","Love the neopolitan pizza from eataly! Especially the margharita pizzas, they are amazing. Heads up for delivery it can get cold quickly but nothing a quick...",a0IET3_yCFcO36OqGSsisg
"I have only been here twice but both times were excellent. First time we got the bacon, steak for two and the creamed spinach and everything was delicious!...","Ah the NYC institution that pays homage to amazing steaks. 

Came for lunch and ordered the burger rare no toppings. Wanted to taste just the meat. Wife got...",4yPqqJDJOQX69gC66YUDkA
"The most amazing place!!!  been coming for years and through the pandemic when open. Food is beyond spectacular, service the best I've ever had in the city....","Much needed review!!! I love this place even though I've only been getting takeouts due to the pandemic.

The service here was spectacular. They went above...",A_YpTLbAlEqeLVSs9bxbEA
"I really enjoyed my visit to the Row House. My friend lives nearby, so we walked over for a relaxed lunch.

Located near Harlem, the bar/restaurant has a...","PRE-COVID VISIT BUT STILL RELEVANT TO KEEP IN MIND. 

TLDR: Great for brunch. Cute band. Large Space.

Food Quality 4/5 - Came her for brunch pre-covid to...",dvRKiQbscruyTLaAL7q3PA
So Bane has been on my radar for a while now but I only had the chance to go on Blackout night which I'm bummed about because the lights were off and I...,"Wow! This haunted house is literally CRAZY. You actually feel as if you are the star in a horror flick... from the props to the actors, everything was...",r7wQo-flZxdEh8lARNarzA
I can't say enough about the quality job that Kristina did for my reel.  I had a huge file along with clips from YouTube and she was able to put these...,"I love Kristina. I've had her do every one of my reels because she's fast, fair, and fun. She does a great job and I refer her to everyone!",Xe-Or3UTAIz3Ml72G0cACw
"I've come to this location on two occasions. The size of this venue never ceases to amaze me. No matter how big the turn out, you always have more than...","A space so huge and cavernous as to bring new meaning to the word humungous.  By day they do magazine, fashion & movie shoots renting props, and providing a...",lqOL4iqC4kxNoFpeAGA-Ew
I was looking for a studio to shoot a few people with a white background. Called a few other studios where they charged extra for renting lights or set...,"I highly recommend Southern Fried Studios for any photo shoot. The rate is great, the people are amazing. I coordinate many small-scale photo shoots and...",DI6lrfpaQb3-ItGB5G6S0A
Alan and Perry were fantastic in organizing our engagement party for us. We hosted a small engagement party (less than 20 people) in August and the utmost...,"This is the place to celebrate any event!!! 

The balcony is amazing. The view is just insane. Can see the river and the city. Sunset is amazing. 

Live...",ngaqfts4YP2fQxrHsq72yg
,,9503CyIBJUQqwJXGi4C0oQ
,,pbKvx_z5FaHPYpW16o4ApA
The owner came in to record me on his day off because I was on a deadline. I'll be going back soon. Best recording experience I've had and the sound is awesome.,"CIDER HOUSE TESTIMONIAL 

I came into Cider House Studios as a impulsive rapper who had the ability but not the discipline. 50+ songs and 1 full length...",U0SeHlYQUAovOd0-OLduJw
"This review is for the hotel rooms, which are awesome.

- decent size, really outfitted nicely with not even a hint of shabbiness- very clean and nicely...",I'm not a member but was invited here for lunch on the rooftop. As soon as you arrive the doorman takes your temperature and asked questions pertaining to...,FqRul4l8Vea_b1x6ggRrJw
"Love this place! The vibes here are awesome for a fun bottomless brunch. We had to
Wait a little to get seated despite making a res but the staff are super...",Found myself at The Malt House to celebrate my friends birthday over bottomless drinks and brunch. I found out about this spot through social media and was...,NT2mKx3_kxO9tpjeP2Sv6Q
"Saw ""Cambodian Rock Band"" here a couple months ago and was very impressed not only by the cast and story, but also the theater itself. 

Located on 42nd...","Due to the coronavirus situation, all productions and public events at Signature Theatre have been canceled through March 22.  However; the building will...",IWFPPDFfedlOyGItZ_ykgA
Thank you for all your work and talent.  The event was flawless and you certainly represent first rate talent.  Plus having your management team there made...,,4cmT_NUl5jqg3ioqR6lp0w
"If you've never been to a ""sleep no more"", this is a once in a lifetime experience ! Assuming they'll open up once the pandemic is over (at some point), id...","I don't know how to put this experience into words. 

My friends had recommended it saying it had been great. There was  assumption this was a 'show'. 

I...",0xyJkg_fveS0JdP68TH2qQ
This review is based on take out for restaurant week which btw has been extended until Feb 28th. Restaurant week is a perfect opportunity to try some of the...,Did a takeout order from Fogo de Chao during Restaurant Week and had a wonderful meal. The Picanha was nicely done and flavorful (and was also a good sized...,7B2XMvV5uGuKyl19-HTSvg
Our experience working with Ellen (and on the day of our wedding also with Rachel) was exactly what I needed to stay on track with a short (6 month)...,"Ellen is the best! What great energy and organization she brings!  Not only does she plan weddings and non-profit events, she also styles photo shoots! I'm...",aTUmjyjLR875-WDRghE8Og
Stunning visuals and video have become a necessity for businesses to stay relevant and that is exactly what Kaleidoscope Pictures produces. Representing a...,"Kaleidoscope Pictures is an amazing company to collaborate with, totally professional but also a lot of fun to work with. Great bunch of smart and funny...",9uHmHMAsMiGnCulUL_8cLQ
Great experience and dinner here! We both had steak and they were cooked to perfection. The side of mashed was fluffy and excellently seasoned. Great wine...,"Came here for new years eve dinner with a reservation for two.

Our table was cramped near a bunch others and to get in an out of your seat you basically...",UmbueYC2QcDFJy6ju7M6dw
"Best view of NYC skyline is seen from New Jersey. 

Outdoor dining with the best view on the Hudson River. Liberty State Park an excellent green space...",Second time I have eaten here in the last 2 weeks. Every thing was outstanding.  Should definitely have a higher rating.  Best outdoor eating since the...,yVNwo4dnGssgd45s0IHdvw
"The best of the best .
Great facility,  great location . 
Production parking available. Off street parking scarce. Private valet parking lot one block away .","Much better than a silvercop, who will probably treat you badly because he's getting older and feels bitter.

The iconic silvercup Studios has the beautiful...",PmQCLScgnN8DhGVxWN8nFQ
I've used American Movie Company dozens of times.  They've always worked with my last minute requests and did what they could to accommodate last minute...,"I used American Movie Co. for an iPad teleprompter and I could not have been more pleased with the device and the service!!!!

 We had such a low budget but...",v-ci6v-3mAjKJ8rft-g1iQ
