Name,Address,City,Rating,Review Count,Coordinates,Price,Id,Categories
Thai Holic,"['372 Myrtle Ave', 'Brooklyn, NY 11205']",Brooklyn,4.5,455,"{'latitude': 40.693005, 'longitude': -73.971286}",2.0,9WgsvzaiXNAmmQGD0uQxFQ,"[{'alias': 'thai', 'title': 'Thai'}, {'alias': 'salad', 'title': 'Salad'}]"
Thai Villa,"['5 E 19th St', 'G Floor', 'New York, NY 10003']",New York,4.5,3549,"{'latitude': 40.73902, 'longitude': -73.99065}",2.0,B3_K2kUVbYOU0VaLcj_LTw,"[{'alias': 'thai', 'title': 'Thai'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}]"
LoveMama,"['174 2nd Ave', 'New York, NY 10003']",New York,4.5,5198,"{'latitude': 40.730408722512074, 'longitude': -73.98612673033213}",2.0,jjJc_CrkB2HodEinB6cWww,"[{'alias': 'thai', 'title': 'Thai'}, {'alias': 'malaysian', 'title': 'Malaysian'}, {'alias': 'vietnamese', 'title': 'Vietnamese'}]"
Thai Farm Kitchen Seaport,"['21 Peck Slip', 'New York, NY 10038']",New York,4.5,67,"{'latitude': 40.70824, 'longitude': -74.0017}",,f_a1oO8-y2qorh_-K8xWHw,"[{'alias': 'thai', 'title': 'Thai'}]"
Up Thai,"['1411 2nd Ave', 'New York, NY 10021']",New York,4.5,2382,"{'latitude': 40.7698275926665, 'longitude': -73.9576330868512}",2.0,-OixbLnFLCzQclxCSbUQ8w,"[{'alias': 'thai', 'title': 'Thai'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}]"
Top Thai Greenwich,"['235 Sullivan St', 'New York, NY 10012']",New York,4.5,1536,"{'latitude': 40.729771, 'longitude': -73.999392}",2.0,wGFSTTB6b4MHJJUzBnVJeg,"[{'alias': 'thai', 'title': 'Thai'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'halal', 'title': 'Halal'}]"
Somtum Der,"['85 Ave A', 'New York, NY 10009']",New York,4.0,753,"{'latitude': 40.7252151982238, 'longitude': -73.9842741682317}",2.0,qrydcGQpeDP_1oFvx3qOeg,"[{'alias': 'thai', 'title': 'Thai'}]"
Pure Thai Cookhouse,"['766 9th Ave', 'New York, NY 10019']",New York,4.0,2566,"{'latitude': 40.764291, 'longitude': -73.988159}",2.0,MhceeLrM2_3mcKw5EGLY6A,"[{'alias': 'thai', 'title': 'Thai'}, {'alias': 'noodles', 'title': 'Noodles'}, {'alias': 'chicken_wings', 'title': 'Chicken Wings'}]"
Boran,"['462 Court St', 'Brooklyn, NY 11231']",Brooklyn,4.5,179,"{'latitude': 40.6782327, 'longitude': -73.998062}",2.0,feY7PgoRjCp2qReaIitRkQ,"[{'alias': 'thai', 'title': 'Thai'}]"
Soothr,"['204 E 13th St', 'New York, NY 10003']",New York,5.0,108,"{'latitude': 40.732318, 'longitude': -73.9873417}",,-XYp6w50XbZfS90YddS5ew,"[{'alias': 'thai', 'title': 'Thai'}, {'alias': 'bars', 'title': 'Bars'}, {'alias': 'noodles', 'title': 'Noodles'}]"
Noods n’ Chill,"['170 S 3rd St', 'Brooklyn, NY 11211']",Brooklyn,4.0,77,"{'latitude': 40.71194, 'longitude': -73.96121}",2.0,l_gQf_4NgPMJcx2OkjsMfg,"[{'alias': 'thai', 'title': 'Thai'}]"
Thai Diner,"['186 Mott St', 'New York, NY 10012']",New York,4.0,110,"{'latitude': 40.720714, 'longitude': -73.9956057}",2.0,XgiG7K7ubHsj2JJ-c2sXnw,"[{'alias': 'thai', 'title': 'Thai'}]"
Williamsburg Thai Cuisine,"['212 Bedford Ave', 'Brooklyn, NY 11249']",Brooklyn,4.0,238,"{'latitude': 40.71699, 'longitude': -73.9588799}",2.0,liGIz8CzhyS1udx1aefjng,"[{'alias': 'thai', 'title': 'Thai'}]"
Pinto Restaurant,"['128 Montague St', 'Brooklyn Heights, NY 11201']",Brooklyn Heights,4.0,220,"{'latitude': 40.6947735368336, 'longitude': -73.9943484261754}",2.0,RrPIJvmje1qb9iaYd6jH0g,"[{'alias': 'thai', 'title': 'Thai'}, {'alias': 'desserts', 'title': 'Desserts'}, {'alias': 'seafood', 'title': 'Seafood'}]"
SalaThai Restaurant,"['307 Amsterdam Ave', 'New York, NY 10023']",New York,4.5,401,"{'latitude': 40.7801199, 'longitude': -73.98032}",2.0,VoAuIReq_cPUrFwxbWqG_Q,"[{'alias': 'thai', 'title': 'Thai'}]"
7 Elephants,"['221 East Broadway', 'New York, NY 10002']",New York,4.0,11,"{'latitude': 40.714099, 'longitude': -73.986987}",,No1PU4NbOdoaG1lSikfeNg,"[{'alias': 'thai', 'title': 'Thai'}]"
Top Thai 55 - Carmine,"['55 Carmine St', 'New York, NY 10014']",New York,4.5,381,"{'latitude': 40.729967, 'longitude': -74.004229}",2.0,0IFDnYf3bhqxJR6hVrG7Gw,"[{'alias': 'thai', 'title': 'Thai'}, {'alias': 'halal', 'title': 'Halal'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]"
SriPraPhai Thai Restaurant,"['64-13 39th Ave', 'Woodside, NY 11377']",Woodside,4.0,2380,"{'latitude': 40.7464987, 'longitude': -73.8992328}",2.0,0L03onqNwxWLrbb_FCK79A,"[{'alias': 'thai', 'title': 'Thai'}]"
Kor Tor Mor,"['204 Smith St', 'Brooklyn, NY 11201']",Brooklyn,4.0,260,"{'latitude': 40.6846634, 'longitude': -73.9918633}",2.0,5ZjNZd3Yg0jOkJ9WRx1r6g,"[{'alias': 'thai', 'title': 'Thai'}, {'alias': 'noodles', 'title': 'Noodles'}, {'alias': 'soup', 'title': 'Soup'}]"
Fish Cheeks,"['55 Bond St', 'New York, NY 10012']",New York,4.5,720,"{'latitude': 40.7258, 'longitude': -73.9927}",2.0,WJS06XxRdc6DD1s4LWE9HA,"[{'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'thai', 'title': 'Thai'}, {'alias': 'raw_food', 'title': 'Live/Raw Food'}]"
Wok Wok Southeast Asian Kitchen,"['11 Mott St', 'New York, NY 10013']",New York,4.0,995,"{'latitude': 40.7140555, 'longitude': -73.9988387116394}",2.0,0GftSP2dRwEzujkv2VKIgA,"[{'alias': 'chinese', 'title': 'Chinese'}, {'alias': 'malaysian', 'title': 'Malaysian'}, {'alias': 'thai', 'title': 'Thai'}]"
Pad Thai Kitchen,"['6218 18th Ave', 'Brooklyn, NY 11204']",Brooklyn,4.5,42,"{'latitude': 40.620614, 'longitude': -73.989027}",,AkoNWXRhZWyJInoWI1AaZw,"[{'alias': 'thai', 'title': 'Thai'}]"
THEP Thai Restaurant,"['1439 2nd Ave', 'New York, NY 10021']",New York,4.5,1339,"{'latitude': 40.77078, 'longitude': -73.95727}",2.0,O1fUmxt3kbV-rnyjBtzAfw,"[{'alias': 'thai', 'title': 'Thai'}, {'alias': 'noodles', 'title': 'Noodles'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}]"
Thai Sidewalk,"['Adams St And Front St', 'Brooklyn, NY 11201']",Brooklyn,4.5,40,"{'latitude': 40.7024794, 'longitude': -73.9885649}",,p2sAfaFyfFj9nYPyqcmQdw,"[{'alias': 'streetvendors', 'title': 'Street Vendors'}, {'alias': 'thai', 'title': 'Thai'}]"
SAGE,"['299-301 Graham Ave', 'Brooklyn, NY 11211']",Brooklyn,3.5,607,"{'latitude': 40.7129736, 'longitude': -73.9442765}",2.0,mpD_kUFo8POQDLoLgRSfCg,"[{'alias': 'thai', 'title': 'Thai'}]"
Wayla,"['100 Forsyth St', 'Basement', 'New York, NY 10002']",New York,4.5,299,"{'latitude': 40.7183, 'longitude': -73.9926038}",2.0,liZmIO0FqZwslLJfLDkfgw,"[{'alias': 'thai', 'title': 'Thai'}]"
Joya,"['215 Court St', 'Brooklyn, NY 11201']",Brooklyn,3.5,1321,"{'latitude': 40.686672, 'longitude': -73.993544}",2.0,pSSajdYNKTyAGV8-fk7fWQ,"[{'alias': 'thai', 'title': 'Thai'}]"
Sabai Thai Restaurant,"['432 Park Ave S', 'New York, NY 10016']",New York,4.5,291,"{'latitude': 40.74422, 'longitude': -73.98365}",2.0,UC3n_0vZ5zI1fvi7UzNZAg,"[{'alias': 'thai', 'title': 'Thai'}, {'alias': 'soup', 'title': 'Soup'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]"
Terra Thai,"['518 E 6th St', 'New York, NY 10009']",New York,5.0,29,"{'latitude': 40.724896, 'longitude': -73.983031}",,xRvMOTMzDrMfyAWbYhkA8A,"[{'alias': 'thai', 'title': 'Thai'}]"
Wanisa Home Kitchen,"['142 Smith St', 'Brooklyn, NY 11201']",Brooklyn,4.5,145,"{'latitude': 40.687, 'longitude': -73.99042}",2.0,StFf9fVnAlhwrUWan0C4Ww,"[{'alias': 'thai', 'title': 'Thai'}, {'alias': 'noodles', 'title': 'Noodles'}]"
Pye Boat Noodle,"['35-13 Broadway', 'Astoria, NY 11106']",Astoria,4.5,838,"{'latitude': 40.76043, 'longitude': -73.92152}",2.0,a-Bq_yXFVk2PptoWpmry3w,"[{'alias': 'thai', 'title': 'Thai'}, {'alias': 'noodles', 'title': 'Noodles'}]"
Top Thai - Brooklyn,"['8510 4th Ave', 'Brooklyn, NY 11209']",Brooklyn,3.5,310,"{'latitude': 40.62325, 'longitude': -74.02838}",2.0,hSiTqxKKgvQSI5x5VdMjoQ,"[{'alias': 'thai', 'title': 'Thai'}]"
ACE Thai Kitchen,"['330 Myrtle Ave', 'Brooklyn, NY 11205']",Brooklyn,4.5,102,"{'latitude': 40.69315, 'longitude': -73.97328}",2.0,1sEr-BDi2LD6HH6K960pfQ,"[{'alias': 'thai', 'title': 'Thai'}]"
