Name,Address,City,Rating,Review Count,Coordinates,Price
The Rogers Garden,"['708 Rogers Ave', 'Brooklyn, NY 11226']",Brooklyn,4.5,46,"{'latitude': 40.65424833, 'longitude': -73.952965}",
Flatbush Zombie House,"['734 Flatbush Ave', 'Brooklyn, NY 11226']",Brooklyn,4.0,102,"{'latitude': 40.6550392260637, 'longitude': -73.9600387215614}",2.0
End Zone Sports Bar & Lounge,"['28 Dooley St', 'Brooklyn, NY 11235']",Brooklyn,5.0,6,"{'latitude': 40.58437, 'longitude': -73.9453}",
The Crown Inn,"['724 Franklin Ave', 'Brooklyn, NY 11238']",Brooklyn,4.0,200,"{'latitude': 40.673874, 'longitude': -73.957101}",2.0
Boobie Trap,"['308 Bleecker St', 'Brooklyn, NY 11237']",Brooklyn,4.0,273,"{'latitude': 40.7003517876193, 'longitude': -73.9161294247438}",1.0
MOON BAR Rooftop,"['137-72 Northern Blvd', 'Fl 9', 'Flushing, NY 11354']",Flushing,4.0,27,"{'latitude': 40.7635, 'longitude': -73.82844}",
The Wilky,"['108 Patchen Ave', 'Brooklyn, NY 11221']",Brooklyn,4.5,147,"{'latitude': 40.68802, 'longitude': -73.92735}",2.0
Sally’s,"['151 Tompkins Ave', 'Brooklyn, NY 11206']",Brooklyn,4.5,16,"{'latitude': 40.69413, 'longitude': -73.94592}",
L'Wren,"['4004 5th Ave', 'Brooklyn, NY 11232']",Brooklyn,5.0,42,"{'latitude': 40.65065, 'longitude': -74.00476}",
Dick and Jane's,"['266 Adelphi St', 'Brooklyn, NY 11205']",Brooklyn,4.0,121,"{'latitude': 40.68987, 'longitude': -73.97136}",2.0
Lovers Rock,"['419 Tompkins Ave', 'Brooklyn, NY 11216']",Brooklyn,4.0,115,"{'latitude': 40.6831, 'longitude': -73.9436}",2.0
Dynaco,"['1112 Bedford Ave', 'Brooklyn, NY 11216']",Brooklyn,4.5,110,"{'latitude': 40.686615, 'longitude': -73.954811}",2.0
Margarita Island,"['1105 Bowery St', 'Brooklyn, NY 11224']",Brooklyn,3.5,38,"{'latitude': 40.57485, 'longitude': -73.97922}",2.0
Bearded Lady,"['686A Washington Ave', 'Brooklyn, NY 11238']",Brooklyn,4.0,193,"{'latitude': 40.6774605398157, 'longitude': -73.963885845718}",2.0
Zig Zag Tiki Bar,"['382 Marcus Garvey Blvd', 'Brooklyn, NY 11221']",Brooklyn,4.0,15,"{'latitude': 40.68401333, 'longitude': -73.93821667}",
Living Room Restaurant & Lounge,"['178 Ave U', 'Brooklyn, NY 11223']",Brooklyn,3.5,182,"{'latitude': 40.596309, 'longitude': -73.977697}",2.0
Travel Bar,"['520 Court St', 'Carroll Gardens, NY 11231']",Carroll Gardens,5.0,50,"{'latitude': 40.6761449091646, 'longitude': -73.9990452619921}",2.0
King Tai,"['1095 Bergen St', 'Brooklyn, NY 11216']",Brooklyn,4.0,70,"{'latitude': 40.6762009, 'longitude': -73.9494781}",1.0
Super Power,"['722 Nostrand Ave', 'Brooklyn, NY 11216']",Brooklyn,4.5,148,"{'latitude': 40.6739268745309, 'longitude': -73.9503274715026}",2.0
Gems Bar Lounge,"['1595 Broadway', 'Brooklyn, NY 11207']",Brooklyn,5.0,9,"{'latitude': 40.685739, 'longitude': -73.914793}",
Doris,"['1088 Fulton St', 'Brooklyn, NY 11238']",Brooklyn,4.0,96,"{'latitude': 40.68121, 'longitude': -73.957436}",2.0
Turtles All The Way Down,"['236 Malcolm X Blvd', 'Brooklyn, NY 11221']",Brooklyn,4.5,26,"{'latitude': 40.68509, 'longitude': -73.92963}",1.0
Featherweight,"['135 Graham Ave', 'Brooklyn, NY 11206']",Brooklyn,4.5,135,"{'latitude': 40.7063167, 'longitude': -73.9432119}",2.0
Drink,"['768 Franklin Ave', 'Brooklyn, NY 11238']",Brooklyn,4.5,105,"{'latitude': 40.67216, 'longitude': -73.95757}",2.0
St Ends,"['667 Franklin Ave', 'Brooklyn, NY 11238']",Brooklyn,4.5,42,"{'latitude': 40.67568, 'longitude': -73.95601}",
Two Saints,"['753 Nostrand Ave', 'Brooklyn, NY 11216']",Brooklyn,4.0,84,"{'latitude': 40.67151, 'longitude': -73.9502}",2.0
Sycamore Bar + Flowershop,"['1118 Cortelyou Rd', 'Brooklyn, NY 11218']",Brooklyn,4.0,330,"{'latitude': 40.639719, 'longitude': -73.967158}",2.0
Post Bar,"['307 Clifton Pl', 'Brooklyn, NY 11216']",Brooklyn,4.5,14,"{'latitude': 40.689547, 'longitude': -73.950757}",
Do or Dive,"['1108 Bedford Ave', 'Brooklyn, NY 11216']",Brooklyn,4.5,67,"{'latitude': 40.6867587, 'longitude': -73.9548362}",1.0
Midwood Flats,"['577 Flatbush Ave', 'Prospect Lefferts Gardens, NY 11225']",Prospect Lefferts Gardens,4.0,267,"{'latitude': 40.6596512, 'longitude': -73.9603844}",2.0
Queen Bee's Tavern,"['3023 Church Ave', 'Brooklyn, NY 11226']",Brooklyn,4.5,10,"{'latitude': 40.65098, 'longitude': -73.94874}",1.0
Bar Bayeux,"['1066 Nostrand Ave', 'Brooklyn, NY 11225']",Brooklyn,4.5,25,"{'latitude': 40.6620260148375, 'longitude': -73.9510311931372}",
Abe's Pagoda Bar,"['108 Wyckoff Ave', 'Brooklyn, NY 11237']",Brooklyn,4.5,49,"{'latitude': 40.7039301086121, 'longitude': -73.9188500493765}",
Charm Bar & Restaurant,"['448 Dean St', 'Brooklyn, NY 11217']",Brooklyn,4.5,14,"{'latitude': 40.681841, 'longitude': -73.976284}",
The Corners,"['395 Nostrand Ave', 'Brooklyn, NY 11216']",Brooklyn,4.5,35,"{'latitude': 40.6842514074696, 'longitude': -73.9501402711639}",2.0
Mayflower,"['132 Greene Ave', 'Aita', 'Brooklyn, NY 11238']",Brooklyn,4.0,54,"{'latitude': 40.68643, 'longitude': -73.96662}",2.0
Dirty Precious,"['317 3rd Ave', 'Brooklyn, NY 11215']",Brooklyn,4.5,80,"{'latitude': 40.6763896691334, 'longitude': -73.9867169468351}",2.0
The Steel Mill,"['1363 Bushwick Ave', 'Brooklyn, NY 11207']",Brooklyn,5.0,4,"{'latitude': 40.6854018910904, 'longitude': -73.9108926057816}",
Rockaway Beach Surf Club,"['302 Beach 87th St', 'Far Rockaway, NY 11693']",Far Rockaway,4.0,128,"{'latitude': 40.58884, 'longitude': -73.81211}",1.0
Sweet Brooklyn Bar And Grill,"['608 Nostrand Ave', 'Brooklyn, NY 11216']",Brooklyn,4.0,387,"{'latitude': 40.6778662988215, 'longitude': -73.9500002190471}",2.0
Luckydog,"['303 Bedford Ave', 'Brooklyn, NY 11211']",Brooklyn,4.0,300,"{'latitude': 40.71348, 'longitude': -73.96166}",1.0
Duff's Brooklyn,"['168 Marcy Ave', 'Brooklyn, NY 11211']",Brooklyn,4.5,164,"{'latitude': 40.70885, 'longitude': -73.95787}",1.0
Jupiter Disco,"['1237 Flushing Ave', 'Brooklyn, NY 11237']",Brooklyn,4.0,45,"{'latitude': 40.70814, 'longitude': -73.92352}",2.0
Bar Meridian,"['406 Prospect Pl', 'Brooklyn, NY 11238']",Brooklyn,4.5,11,"{'latitude': 40.6763427218772, 'longitude': -73.9630645624458}",
Bodeguita,"['6 Suydam St', 'Brooklyn, NY 11221']",Brooklyn,4.5,38,"{'latitude': 40.69555, 'longitude': -73.93204}",
Friends and Lovers,"['641 Classon Ave', 'Brooklyn, NY 11238']",Brooklyn,4.0,77,"{'latitude': 40.678536, 'longitude': -73.958437}",2.0
Father Knows Best,"['611A Wilson Ave', 'Brooklyn, NY 11207']",Brooklyn,4.0,327,"{'latitude': 40.6901735, 'longitude': -73.9069755}",2.0
Glorietta Baldy,"['502 Franklin Ave', 'Brooklyn, NY 11238']",Brooklyn,4.0,64,"{'latitude': 40.6813358395142, 'longitude': -73.9561890468519}",2.0
