Name,Address,City,Rating,Review Count,Coordinates,Price
DiJiFi,"['1166 Manhattan Ave', 'Ste 201', 'Brooklyn, NY 11222']",Brooklyn,4.5,165,"{'latitude': 40.7382584, 'longitude': -73.9549479}",2.0
590films,"['42 West St', 'Ste 301', 'Brooklyn, NY 11222']",Brooklyn,5.0,4,"{'latitude': 40.7280427, 'longitude': -73.9588363}",
Kaleidoscope Pictures,"['Brooklyn, NY 11231']",Brooklyn,5.0,8,"{'latitude': 40.6772802, 'longitude': -74.0094471}",
Shell's Loft Brooklyn,"['13 Lexington Ave', 'Brooklyn, NY 11238']",Brooklyn,5.0,2,"{'latitude': 40.6866128, 'longitude': -73.9616521}",
Mind of Who Productions,"['193 Marcus Garvey Blvd', 'Brooklyn, NY 11221']",Brooklyn,4.5,2,"{'latitude': 40.691765, 'longitude': -73.939434}",
Cinema World Studios,"['220 Dupont St', 'Brooklyn, NY 11222']",Brooklyn,4.5,2,"{'latitude': 40.735954, 'longitude': -73.950508}",
Hit and Run Productions,"['65 Roebling St', 'Ste 202', 'Brooklyn, NY 11211']",Brooklyn,5.0,4,"{'latitude': 40.7165128, 'longitude': -73.9546435}",
Starr Street Media,"['852 Rogers Ave', 'Brooklyn, NY 11226']",Brooklyn,5.0,1,"{'latitude': 40.64986, 'longitude': -73.95257}",
Bizvidmedia Productions,"['99 Wallstreet', 'New York, NY 10005']",New York,5.0,5,"{'latitude': 40.70479, 'longitude': -74.00726}",
BK Actors Self-Tape,"['141 Flushing Ave', 'Bldg 77 ,Ste 1336', 'Brooklyn Navy Yard', 'Brooklyn, NY 11205']",Brooklyn,5.0,14,"{'latitude': 40.6985551, 'longitude': -73.9712029}",
Indigo Productions,"['250 W 90th St', 'New York, NY 10024']",New York,5.0,5,"{'latitude': 40.7908706665039, 'longitude': -73.9751968383789}",
Silentface,"['86 Menahan St', 'Ste 2L', 'Brooklyn, NY 11221']",Brooklyn,5.0,1,"{'latitude': 40.69445, 'longitude': -73.92036}",
Killer Combo Studios,"['641 Classon Ave', 'Brooklyn, NY 11238']",Brooklyn,5.0,7,"{'latitude': 40.678534, 'longitude': -73.958435}",
Iris Cinematics,"['121 Newark Ave', 'Ste 506', 'Jersey City, NJ 07302']",Jersey City,5.0,1,"{'latitude': 40.7199096679688, 'longitude': -74.0432891845703}",
Amy Lawday Films,"['Brooklyn, NY 11238']",Brooklyn,5.0,1,"{'latitude': 40.67772, 'longitude': -73.96312}",
An Olivetree Production,"['1350 Willoughby Ave', 'New York, NY 11237']",New York,5.0,1,"{'latitude': 40.7061738002948, 'longitude': -73.9202935099089}",
Steiner Studios,"['15 Washington Ave', 'Brooklyn, NY 11205']",Brooklyn,4.5,7,"{'latitude': 40.6983157794782, 'longitude': -73.967696428299}",
Ground Glass Motion Picture Company,"['195 Christie St', 'New York, NY 10002']",New York,5.0,1,"{'latitude': 40.7221489, 'longitude': -73.9923325}",
Vengo Films,"['8913 4th Ave', 'Ste 5837', 'Brooklyn, NY 11209']",Brooklyn,5.0,1,"{'latitude': 40.620018, 'longitude': -74.0292025}",
Urban Myth Studio,"['505 Johnson Ave', 'Brooklyn, NY 11237']",Brooklyn,5.0,4,"{'latitude': 40.708663918903, 'longitude': -73.926939086334}",
Gee Media,"['Brooklyn, NY 11225']",Brooklyn,5.0,4,"{'latitude': 40.66363, 'longitude': -73.95541}",
Film Trade,"['86 Verona St', 'New York, NY 11231']",New York,5.0,1,"{'latitude': 40.6796212181687, 'longitude': -74.0091629592533}",
Hello World Communications,"['118 W 22nd St', 'Fl 2', 'New York, NY 10011']",New York,5.0,42,"{'latitude': 40.7425398, 'longitude': -73.9945521}",
