Name,Address,City,Rating,Review Count,Coordinates,Price,Id,Categories
Lucky Break Reels,"['Los Angeles, CA 90028']",Los Angeles,5.0,68,"{'latitude': 34.1004791259766, 'longitude': -118.333610534668}",,twTC3Ocrj2L1jwPj7USiiw,"[{'alias': 'videofilmproductions', 'title': 'Video/Film Production'}]"
Deja Vu Productions,"['3767 Clarington Ave', 'Los Angeles, CA 90034']",Los Angeles,5.0,46,"{'latitude': 34.0227607, 'longitude': -118.401562}",,AIorRjq6ITwIVqIcXedwdw,"[{'alias': 'eventphotography', 'title': 'Event Photography'}, {'alias': 'videographers', 'title': 'Videographers'}, {'alias': 'videofilmproductions', 'title': 'Video/Film Production'}]"
WOVA World of Video & Audio,"['1155 S Robertson Blvd', 'Los Angeles, CA 90035']",Los Angeles,5.0,53,"{'latitude': 34.0555809, 'longitude': -118.38399}",,iUHJ7cgFDGfjJqfFCJokNw,"[{'alias': 'videofilmproductions', 'title': 'Video/Film Production'}, {'alias': 'digitizingservices', 'title': 'Digitizing Services'}, {'alias': 'audiovisualequipmentrental', 'title': 'Audio/Visual Equipment Rental'}]"
Seven Production,"['Los Angeles, CA 90005']",Los Angeles,5.0,23,"{'latitude': 34.0597267150879, 'longitude': -118.29362487793}",,dxXb3X1-CKYAFAFa4agjpQ,"[{'alias': 'videofilmproductions', 'title': 'Video/Film Production'}]"
Film Pro Addicts,"['Los Angeles, CA 90034']",Los Angeles,5.0,1,"{'latitude': 34.0292739868164, 'longitude': -118.40601348877}",,65hfeqkdZYMslqA2LU2EZA,"[{'alias': 'videofilmproductions', 'title': 'Video/Film Production'}]"
Castex Rentals,"['1044 Cole Ave', 'Los Angeles, CA 90038']",Los Angeles,5.0,29,"{'latitude': 34.0902989663147, 'longitude': -118.329701932541}",,9ThlqCyvOAPrgedis6Bw0A,"[{'alias': 'videofilmproductions', 'title': 'Video/Film Production'}]"
DVD Your Memories,"['3272 Motor Ave', 'Ste B', 'Los Angeles, CA 90034']",Los Angeles,5.0,187,"{'latitude': 34.0298228, 'longitude': -118.4106966}",2.0,gAhKHmgNkPo2aKrYNp1atg,"[{'alias': 'photographystores', 'title': 'Photography Stores & Services'}, {'alias': 'videofilmproductions', 'title': 'Video/Film Production'}, {'alias': 'digitizingservices', 'title': 'Digitizing Services'}]"
Unicorn Productions Los Angeles Photography & Film,"['318 S Detroit St', 'Los Angeles, CA 90036']",Los Angeles,5.0,20,"{'latitude': 34.06819, 'longitude': -118.3448}",,V8kSn9W1VbkECH4roZFDUw,"[{'alias': 'videofilmproductions', 'title': 'Video/Film Production'}, {'alias': 'sessionphotography', 'title': 'Session Photography'}, {'alias': 'eventphotography', 'title': 'Event Photography'}]"
Dream Reach Media,"['Santa Monica, CA 90404']",Santa Monica,4.5,19,"{'latitude': 34.0334815979004, 'longitude': -118.473663330078}",,Fwt6US2ZylSfJpM1cEhHrw,"[{'alias': 'videofilmproductions', 'title': 'Video/Film Production'}]"
Interproduction,"['8721 Ramsgate Ave', 'Los Angeles, CA 90045']",Los Angeles,5.0,3,"{'latitude': 33.95832, 'longitude': -118.38297}",,asRqq-a8OmEWQRwxZop30g,"[{'alias': 'videofilmproductions', 'title': 'Video/Film Production'}]"
JIG Reel Studios,"['5248 Huntington Dr S', 'Los Angeles, CA 90032']",Los Angeles,5.0,48,"{'latitude': 34.089361, 'longitude': -118.16774}",,Y1Wydi4dIi9BXMoYyLDIyQ,"[{'alias': 'videofilmproductions', 'title': 'Video/Film Production'}]"
Cinema Vitae Films,"['Redondo Beach, CA 90278']",Redondo Beach,5.0,6,"{'latitude': 33.8729019165039, 'longitude': -118.371376037598}",,pAcn1KAJxvTjAeyKzSBlzQ,"[{'alias': 'videofilmproductions', 'title': 'Video/Film Production'}, {'alias': 'videographers', 'title': 'Videographers'}]"
MelroseMAC,"['6614 Melrose Ave', 'Hollywood, CA 90038']",Hollywood,4.0,389,"{'latitude': 34.083239, 'longitude': -118.33922}",3.0,yGJBBqMuP7Ww4YuHas4uhw,"[{'alias': 'computers', 'title': 'Computers'}, {'alias': 'itservices', 'title': 'IT Services & Computer Repair'}, {'alias': 'videofilmproductions', 'title': 'Video/Film Production'}]"
