Review_0,Review_1,Review_2,Id
"I had a set of very rare books that I needed scanned for a work project. The books required being unbound, scanned, and rebound. DiJiFi oversaw them entire...",There's a big box of photos in my house my family has owned since before I was born. A lot of snapshots of life before the advent of digital technology. For...,"I'm a returning customer. Both experiences have been above and beyond any reasonable expectation. They took great care of my old family photo slides, and...",CwBYC8nVLbG7KjVU6nwR4A
"I am so happy that I worked with Max and his team at Indigo Productions to help with my video shoot and editing! I wanted to create a clean, modern and...",Indigo Productions is a pleasure to work with! They always bring innovative ideas to the table to greatly improve upon the concept. The are the utmost...,These guys are one of the best in the industry today. Their JK Divorce video went viral and was featured everywhere on the news including CNN. They are...,8v0pPzCHOgJKGmydp2_xCA
I have had the please of working with Emileigh for many years and she is wonderful to work with. From one professional to another Emileigh provides the...,"I can not speak more highly about the work and service that Emileigh and the team provided us.

We were a client in Los Angeles and even though we are on...","I've worked with Em on a couple of projects since I've moved to New York and it's been nothing but a pleasure. The professionalism, the talent, and the team...",dQeD7LOvK4owK-8ysfu9gQ
"Ah yes! Sweet, beautiful, ever changing and expanding Brooklyn...look what you've done now! You've given me and so many others one of the BEST - if not THE...","My wife and I had our dream wedding at Shell's West Side Loft with our closest friends and family members. We wanted a very intimate, relaxed yet special...",,RJ8gQ3rFW7-iX8VA9EhDmw
Stunning visuals and video have become a necessity for businesses to stay relevant and that is exactly what Kaleidoscope Pictures produces. Representing a...,"Kaleidoscope Pictures is an amazing company to collaborate with, totally professional but also a lot of fun to work with. Great bunch of smart and funny...",Chris took some pictures of my house that I'm selling and he done a fantastic job! I loved how he let me watch over him and see the shots he was taking. He...,9uHmHMAsMiGnCulUL_8cLQ
This past year my organization WomenStrong International worked with 590 Films to create a dozen or so videos. After spending hours in a tiny cramped hotel...,"590Films is top notch! The producer and director, Scott Elliott, is a man of many talents. As a videographer, his skills are unmatched and so diverse he can...",For the past couple years we at Physicians for Reproductive Health have had the honor of working with Scott and Julia at 590films. Their willingness to meet...,d-qaOdxKdZKe2fXEIl-i3g
"Hello World is fantastic. Their staff is very friendly and beyond knowledgable. Equipment wise, they're constantly updating inventory to remain current. All...",I am an eighty-two year old woman and photographer who has never used recording equipment. I had the good fortune to work with Hello World. From the moment...,"I LOVE THIS PLACE! First of all, they're open during regular business hours and are not at the mercy of holidays which is a saving grace for filmmakers. On...",E1gMEffffz_ZAjrpU85a0Q
"Love that YouTube has these locations for its community. Staff is friendly and super helpful, and the location has some amazing studios with everything you...",I love this place. You have to walk through a market and take an elevator up to get to the space. It's very cozy and intimate. The sound is top notch. The...,"""a space under conditions""
That's right folks you can use these space to create some of the best YouTube content you can think of, doesn't matter if your...",Qeow9fHfcXHWIQ8I3JtKoQ
"The location (Greeenpoint) for this place blows a big, donkey...

This place is situated within walking distance to the sewage plant.  Although the smell of...",Amazing studio spaces! Really cool themed rooms and excellent customer service. The owner and employees are extremely helpful. Would recommend 100%!,,6xZHiBQiaC9o1Jma1BSu7A
"I've been working with Deverge for about two years now and I love it.
Most of the equipment the studio provides directly suffices our G&E needs and the...","Here's a checklist of things I find valuable in studio locations:

*) fast response times during booking: Yes
*) tech scout with knowledgable staff: Yes
*)...","Shot my show Blissful Thinking here and couldn't be happier with Deverge's space: the studio, the equipment, the holding room, the staff, etc! Soup to nuts,...",a_fzR8OJ9M59h_GyRfpaIQ
"The best of the best .
Great facility,  great location . 
Production parking available. Off street parking scarce. Private valet parking lot one block away .","Much better than a silvercop, who will probably treat you badly because he's getting older and feels bitter.

The iconic silvercup Studios has the beautiful...","There can be only one!

My friend and I were visiting New York and were excited to learn this was literally down the street from the hotel we were staying...",PmQCLScgnN8DhGVxWN8nFQ
"GroundGlass Motion Picture Company is committed to inspiring, enriching and expanding artistic integrity, through the exploration and development of...",,,CjI40qw7Djs13FhjfyM6Ig
"I have been coming to ActorIntro and working with Brad for about four years now , and having done self tapes with different people and companies in Ny I can...","Professional service, great reader, great price.  If you need a self tape,  this is definitely on the top of my list!","Great! So nice and so professional! Tape looked great, audio was great. He let me rewatch it to make sure I liked it! Also very easy to find, very efficient...",GO_ymzhpBd4v7LreDzBE0w
Hit and Run saved me on a hellish ad campaign! On the last day of the shoot (a monday) they decided to cast a commercial airline pilot who was 6'3 with...,Hit and Run productions saved my shoot! I came to NYC from California. They had some 16mm equipment that I couldn't find available for rental anywhere. Ari...,"H and R filmed in my house, which we lent for an upcoming movie. Extremely professional. Left no mess. Gave us credit. Did beautiful work. Highly recommend...",ntnuLH-tk9Qh8n895hDV9g
Very clean and super professional. Very accommodating they get you whatever you need for you shoot. Will continue to do business.. A+++ service,I booked an important commercial shoot in NYC at the last minute and needed to find a studio. The shoot was a combo of a still shoot and a tv commercial at...,This stage cancelled a booking on me. They had confirmed the booking via email and then turned he job away for a longer shoot that came in. One of the most...,2dxfi5_e3rscIp_J5rfpJw
"I needed a tape fast, and up until this point, had been relying on friends to pull through in last minute situations to help me out.

This time, those...",It may be a little outside of town but Cameron's self tape space and setup is well worth the hike. He clearly knows the drill for what a hassle it can be to...,"Cameron was extremely accommodating. He was friendly, professional, helpful and affordable. I highly recommend him.",DUqn0GLADTaPLjajbdhxfQ
"I'm just blown away with David. He's got 30 years of photography under his belt, and it shows in both the finished product and the process of getting photos...",Peggy Lin. David. The whole cast and crew - wonderful human beings! I had a great time at my shoot - I am very satisfied with my experience and most of all...,This place is so fantastic! I went down to the studio and Peggy/David were both amazing. Really good people! I will be using them again for sure. Check out...,bRvp8gAx6og9UjbrncuJGA
"This is way overdue!
 
Michael Justin films was the best investment for our wedding. The team was Professional, timely and very attentive. We had so much...","Michael Justin and his team photographed and videoed my sister in laws wedding this weekend. They were so incredibly professional, accommodating, and lovely...","My wedding (like many others) went by so fast, it's over before you know it. I knew that was going to happen and I wanted to find a photographer and...",XKaanqkWzGK7AC6FJz8BrA
"Simply the most helpful, supportive, reliable and friendly Teleprompters and Operators in NYC.  

Bill + Parm go out of their way to make sure you have what...",I have never been so happy for the unbelievable great experience that I had.  It was my biggest dream ever had!,American Movie Company is as good as it gets. Bill and Parm have helped us out all over the country with little more than 12hrs notice. They are our...,LGqfd5W7vsg86SeI4TsxPA
"These guys are amazing. From creative talent to flawless execution, these guys offer everything from nose to tail in terms of service. They were really...","I just finished working with Russell, Steven and Andrea on a short film that I wrote, and it couldn't have went any better.  I've been in Production for...",I am absolutely stunned and in awe of the talent that is packed inside this production company.  I've worked recently with New York Film Shop on a feature...,WbcwJ0wTTJ5ASN7zzgW_IQ
Coming from LA I needed a self tape very last minute and this was an AMAZING experience!!!  Elliot was really great and I think I found my go to for self...,Got my slateshots done here and they came out absolutely amazing so happy with the turn out already see positive feedback,Amazing experience with Elliot! I had a last minute audition due by 5 pm on a Saturday. It is so hard to find decent self-tape options on the weekend in the...,wvWXLBTqF4JdD5_QCXiR_g
I worked closely with Michael to create a video that would encompass the vision I had to rebrand my company.  Not knowing a lot of production lingo...,,,11ZsPglSePRSoLjdEIdpNA
Greatest production company of all times !!! So if you looking to produce a film or Tv pilot. Or even shoot amazing music video shoot the V is the perfect...,,,DVB8M-lrtk1lQmPu63168A
"Dan has a extensive wealth of knowledge and experience when it comes to all things media. His knowledge of camera, editing, story and all things media makes...","Back in the ""old days"" of motion pictures production facilities would occupy city blocks and employ hundreds of people--if not thousands. Fast forward now...",,4u4TSJHl3cplBAVTqSRMKw
"Working with Marc was an easy and professional experience.
Dataworks offers many different types of services.

I had two VHS tapes to be converted into...","Dataworks embodies the personalized, professional approach that the NYC video community expects from a duplication and conversion company.  Marc Hess is a...","I needed some old VHS tapes converted to digital, and before I got to Dataworks a couple of other companies refused to convert my tapes, one gave me...",2cqw10lMPcgftU71kfnBRQ
"Gertrude Steiner loved these studios.

I've been in acting and I've done the New York City thing and Steiner Studios is definitely one of the better places...",This is probably one of the most technologically advance and largest film/tv production studios in the entire state of NY. Location wise it gives a really...,I usually come here for fittings when I do acting gigs. Many productions in NYC use it for soundstage sand office space. Very easy to get to by bus from my...,vWjWvJFG64W9Mti7EvmgYQ
"We (B12 LOVE) hired Miller/Datri to create a series of videos that helped us raise our profile within the vitamin therapy space, and enabled us to tell our...","They've invested a lot in prioritizing strategy and vision over merely trying to capture the logistics. In coordinating the shoot, they took a lot off my...","As SVP of Revenue at a mid-size media company, I'm constantly looking for entrepreneurial, professional partners to help us grow our business. 
 M/DE...",zmSdSoGm60eY6Jvl6bz4pA
Thanks to Sharon I have some great quality pictures that I am proud of. Sharon was great at making me feel very comfortable and helping me get the best out...,"Such an amazing experience! Felt so comfortable and relaxed throughout the process. Sharon and Isaac were both kind, accommodating, smart, and extremely...",,kPkv6b0jS96L0MHtQJ6O6Q
My experience with one of the SILENTFACE's Evan Cutler Wattles came with his time working on Four Loko while at BMP Film Co. He was involved in creative and...,,,Y_omLPmjGaeDVEvfMgn67w
"Thank you, thank you, thank you SO much Carlos and Eric for working with us for the day of our wedding. You guys were so easy to work with but still...",,,2eJfWKhPxnAwqylZN7S-4g
"5 Star experience start to finish. Our video is INSANE. Seriously so good.  We weren't sure we wanted to get a wedding video, but once I saw Hello Super...","We are so happy we used Hello Super Studios for our wedding!  They were very easy to work with, very accommodating, and went above and beyond to make sure...","Megan, Riley and Hello Super Studios are amazing! We used them as our videographer for our wedding a few weeks ago and couldn't be happier with the...",NYUeaXG5lT7CLKt-oZZxDw
Valerie recently took pictures at the opening night celebration of Fault Line Theatre's play Round Table at 59E59 theaters and we can't sing her praises...,,,-kwklsFI3zfmx_IrohGfvA
"Hiring AMY LAWDAY FILMS was one of the best thing I could have done for my work. 
I have had the pleasure of collaborating with Amy twice, and both have...",,,nLDKxf054v1bF6N6YYK57w
I used New Dawn Films and Andrew to help make videos to market my business and I was very pleased with the result. Andrew work fast and was always in...,,,OG6ZU_TSKIey7xOAd2aEXw
"I just worked with Film Trade and had the best experience, both when it came to rental needs and customer service. Everyone in the team was great and...",,,lQ9mWOYWN4r7PwHw5dCGRw
"SkyTown has exceeded my wildest expectations with the self-taping/audition process. Not only are they flexible for short-notice and urgent needs, they are...","Roy is the absolute best. He is warm, personable, friendly, accommodating, professional, punctual, just...everything you could want in a taping studio...","Had my first self tape session here, Roy assisted me. He gave me the simple feedback which helped my scene TREMENDOUSLY  Everything was comfortable and...",rYzKuFT1WuSFQeYmNLFmEw
"This studio and their employees were a absolute pleasure to work with. The studio is a very great and professional space, and offered a variety of amenities...",,,fyMo9IKp3WBfDnIGFOaj5Q
We couldn't be happier with Fine Art Productions. From the very first conversation it was clear that Chirali and Amish don't just see wedding...,They did a wonderful job taking my daughter's picture!  Quick work and very professional!!,"Chirali and Amish are wonderful souls! They work hard and are super flexible, willing to accommodate last minute request or concerns. They knew how to calm...",BxLRNZD_ZHKV5qmqu56T-g
"Sun Production was able to help me and my business succeed through a quality video that was well edited, conveyed a professional image, and shot with...",,,WjxdpN8LpcljQbm-e67TuQ
"Open at 10am on the dot. About to start taken photos for pluckit magazine. This is a nice studio to work in, got to invest into something like this. 


What...","I booked studio time for a photo shoot last year. It's a GREAT space! Peter was very knowledgeable, helpful, and had everything I needed to help achieve the...","If you're looking for a great photo studio in a hip Brooklyn neighborhood look no further!

It's a small intimate studio space with a simple cyc wall on the...",FOVaV6u49Hb3VEncHJ5eVg
We co-hosted an event with Automatic Studios. Che and her staff were a pleasure to collaborate with. The space is great for events for all ages. Automatic...,Automatic studios has very nice and helpful instructors. Even though group two and masters class are the same age they give master class priority for...,My son loved their day long camps! Top notch teachers and well run and educational experience.,3E1y24pi_KBU8nsODIhjRg
"Jay and his team are absolutely phenomenal. We love working with RUX Media. Not only are they professional and excellent at their work (great quality!), but...",,,KLFInYxpy0ktk-wQoj74BQ
I can't say enough about the quality job that Kristina did for my reel.  I had a huge file along with clips from YouTube and she was able to put these...,"I love Kristina. I've had her do every one of my reels because she's fast, fair, and fun. She does a great job and I refer her to everyone!",Kristina Latour helped me launch my YouTube Channel. As a certified public speaker it's important to have a strong social media presence so companies will...,Xe-Or3UTAIz3Ml72G0cACw
I originally started working with Gee on some social media shorts and he was fantastic. He came fully prepared with creative ideas for the visuals that fit...,"I have worked with Paul on a number of video shoots, ranging from marketing videos, music videos, explainer videos, and educational content. 

Paul is a pro...",Wow!!! Where do I begin? I just took over a bar and as you can imagine these are rough times. I hired Gee to make some promo videos and cocktail videos and...,PuQIIFNgRlcebZmXrsqlkA
"Master of their craft. Best in the business. Definitely recommend, fantastic work! CONTACT THEM FOR EVERY AND ALL NEEDS !",,,vlf3FBanE3sWdtlogKBHXQ
"Joanes is the quintessential professional- reliable, meticulous, and delivers outstanding work. He has an eye for detail both behind the camera and in the...","We loved working with Prosper Digital- we had them do a shoot for us in New York and we came from LA. 

Call Joanes anytime! We recommend them","Prosper Digital did a great animated video project for us.  
They are easy to work with and were very helpful doing the creative process.  
If you are...",5Czvs3C_6OKqQVhMIuLmDw
"ROZ Is the BEST acting coach I've ever had. I'm an Opera Singer who's transitioned to musical theater and television and film, and without Roz, this...",,,WBqB6TTFc41y-pDqcRQFfg
I've been to BC Green Screen studio a few times over the last year to film promotional videos for my company and we've had a great experience each time....,I love shooting at BC Studio! It is a great space and the owners Bill and Carol are very nice and welcoming. There is always something new to learn from...,"Cannot say enough about what a wonderful experience it was shooting at this location. The space itself is great, in terms of professionalism, it is top...",FShOGp-3frOcnTAp7rPXbw
I've used American Movie Company dozens of times.  They've always worked with my last minute requests and did what they could to accommodate last minute...,"I used American Movie Co. for an iPad teleprompter and I could not have been more pleased with the device and the service!!!!

 We had such a low budget but...",Professional helpful staff. Especially Anastasia and Aziz. You can trust them with your transport.,v-ci6v-3mAjKJ8rft-g1iQ
What an incredible space! Came here for a photoshoot and could not believe the space it offers for a Manhattan studio-- you'd think you were in Brooklyn...,,,Ec00I2_Yo0r6FdwgcR8-DA
"I recently worked with an Olivetree Production on a recent music video shoot for the band, 'Black Bird White Sky'! Victor, the owner, was great to work with...",,,4Xy1UH_wAaHQ2GQPiq8d2A
"I work for a cultural institution that uses film digitization vendors often, BB Optics by far does the best work. Bill writes thorough preservation...",They do NOT offer a student discount. I was told by phone that they did and then when it came to invoicing that no longer was the case. (I'm a grad student...,"These people are deciettful and will lie to you. They messed up my work-print, which I had said from the beginning was in a bit of a time crunch. To make up...",VDlRpudNo0ivZOOgAdM8YA
These guys saved my movie. Best sound mix session in the history of the world. Great facility. Great people. great everything. Getting to do post here is...,,,z_dPNp4AHZEFQT_q5ZZGlA
"Christian Pollock can attack any project from any angle. His cross-training in design, advertising, video and sound combined with his talents and vision...",Total pro. I have known and worked with Christian for over 10 years. To tell you the truth he can direct and shoot with anyone in the world. Jay Z.. the...,"Christian was an absolute pleasure to work with.  All I could ask for.  He understood our vision and culture immediately, and although he immediately and...",fEtC46_MLieftlPK-0G3Gw
"This studio is awesome. The owner is super friendly and willing to help. However, it is so out of the way and getting to it is a bit of a drag. That being...","Besides the awesome space, the Beyond team wants your project/event to succeed and will offer their experience and creativity to make that happen....",,k07zZcqK7Ii-zhMyjn_7fg
"I highly recommend TCE, they were the videographers for my wedding and they did an amazing job.  Alex was a true professional from beginning to end, we just...","These guys were very easy to work with and definitely worth the price they charged me, I didn't even use the yelp deal because I didn't see it before....","Theodore and his video team are excellent!! From my initial meeting with Theodore, he was extremely helpful. He showed me numerous videos of other weddings...",edCanxvjp_VzECE2qY3Mvg
"Wish I could personally give 5 stars to each individual that works here. I work nearby and pass this building every day, not once have I seen an...","WORST RENTAL HOUSE IN NYC BY FAR!!! Worst customer service, equipment is old and often broken. Just because your quote is low doesn't mean you will get...","Every single experience at this rental house is a negative. Incorrect lenses upon rental, rude and lackadaisical staff upstairs. No sense of urgency and...",nYDsxaGxVXQrrjsA0ulrJw
"Dynasty FPG was such a wonderful company to work with. We were able to work with Travis first hand in organizing our agenda, what we were looking to...",,,l5se7GI6pPukAhQFtnDF8A
"Spike Li and his team were amazing! During the wedding planning period, we knew that pictures and videos were super important to us. Especially since we...","Like the other yelpers, we also found Spike on Thumbtack. After an initial face to face meeting with Spike, my husband and I really liked Spike as a person...",Spike Li is a real gem. My husband found him on Thumbtack for our wedding. He has VERY affordable pricing (considering the other photographers we spoke to)....,RGD7a3Wah_Ml-lZlf-ZkGA
We hired Milk & Honey to video our wedding and it was honestly the best decision we could have made. They were super considerate and ready to answer any...,I can't say enough about the level of professionalism and the quality work that Milk and Honey produced.  For my son's Bar Mitzvah I wanted to create a...,Milk & Honey are quite simply both artists and consummate professionals. You could hardly even notice they were there yet the resulting film was both...,IYNVkb2rSStShZKInbL-yQ
Have dealt with the folks at EC pro and studio 253 for almost 10 years now and have never had anything but great experiences. Buying gear from them is a...,,,pbKvx_z5FaHPYpW16o4ApA
"Having produced literally hundreds of events over the years and utilizing dozens of great photographers, I can confidently say that Caroline is the best of...","Loved working with Caroline. I had her come to my rooftop to take some professional photos for my LinkedIn profile picture . 
She was clear in all her...",Caroline took candid photographs of my engagement and they were beautiful. Caroline was not only professional but she was also there to be the first person...,vbEaav2wy21AQRgCMpp1Cg
"Starr Street is an amazing team of artists; professional, talented, and a joy to work with. Would definitely recommend.",,,ZjlpNq7IDej7Y2lH1Ptu9A
Worked closely on a few different projects with Steve Carmona of And With Creative. Very knowledgeable about his craft. Extremely professional and will turn...,,,pN4lMDRTIR-jahTxS0Crfw
Thank you so much Alexandria. Of all the photographers I have ever worked with you made the experience very fun. Thank you for choosing such an easy to find...,"Alexandra is a dream to work with! She spent the day filming with me and my baby daughter, and immediately made us so comfortable and happy in front of the...",,fbm8xvS7-Rf2yinZbx6EVw
Here at Kuehne + Nagel we had the pleasure to work with Dan on two video production projects; one was for our Health Benefits Campaign and the other for the...,,,b8X4hxPKR6A4lxx4HfnyrQ
"Caryn's class came into my life at a time when I was very disillusioned about being an actor during COVID, and it has truly been my saving grace. She equips...","I had the good fortune to attend Caryn West's Audition for Television and Film Class. This was a 2 day/all day intensive that started Saturday, December...",For personal and financial reasons I stopped pursuing acting about 10 years ago and always felt that something was missing in my life. I recently decided to...,mJW8PDVSc9m5JIgNfVHNgQ
"Professional, always prepared and fun to work with. Great video and live events production. The best team!",,,9503CyIBJUQqwJXGi4C0oQ
"We employed Everette at my workplace to film a two-day conference. He was really unbelievably fantastic. First and foremost, the filming was done perfectly....",,,8lIRB2wXDGKGTzloFOO2tw
"I used Tom for the first time for a floor plan & he is extremely professional. He does photography too, however, my listing didn't warrant any photos. If...","Tom is so awesome to work with - easy-going, nice guy from Colorado, with a nice set of professional gear, and a good eye for setting up shots. Tom is much...",,U_QjqITHmmrJ8Gc8moWqag
