Name,Address,City,Rating,Review Count,Coordinates,Price
Castex Rentals,"['1044 Cole Ave', 'Los Angeles, CA 90038']",Los Angeles,5.0,29,"{'latitude': 34.0902989663147, 'longitude': -118.329701932541}",
Los Angeles Camera Rentals,"['6212 Banner Ave', 'Los Angeles, CA 90038']",Los Angeles,5.0,37,"{'latitude': 34.0914696, 'longitude': -118.3249855}",2.0
WOVA World of Video & Audio,"['1155 S Robertson Blvd', 'Los Angeles, CA 90035']",Los Angeles,5.0,53,"{'latitude': 34.0555809, 'longitude': -118.38399}",
FD Photo Studio - ART Stages,"['1048 Santee St', 'Ste 510', 'Los Angeles, CA 90015']",Los Angeles,5.0,24,"{'latitude': 34.03773, 'longitude': -118.25573}",
Samy's Camera,"['431 S Fairfax Ave', 'Los Angeles, CA 90036']",Los Angeles,4.0,996,"{'latitude': 34.0688960236427, 'longitude': -118.361727791908}",3.0
FD Photo Studio - HILL Stages,"['1808 S Hill St', 'FL 2', 'Los Angeles, CA 90015']",Los Angeles,4.5,47,"{'latitude': 34.0329531, 'longitude': -118.2657725}",
Movie in a Box,"['17328 Ventura Blvd', 'Ste 402', 'Los Angeles, CA 91316']",Los Angeles,5.0,1,"{'latitude': 34.168153285234, 'longitude': -118.518089904785}",
FD Photo Studio,"['530 E 8th St', 'Fl 5', 'Los Angeles, CA 90014']",Los Angeles,4.5,256,"{'latitude': 34.03938, 'longitude': -118.25}",
Pro HD Rentals,"['2201 Hollywood Way', 'Ste 1', 'Burbank, CA 91505']",Burbank,5.0,51,"{'latitude': 34.188555, 'longitude': -118.34928}",2.0
Stray Angel Films,"['11318 Santa Monica Blvd', 'Los Angeles, CA 90025']",Los Angeles,4.5,26,"{'latitude': 34.045868, 'longitude': -118.448799}",
Sunset Gower Studios,"['1438 N Gower St', 'Los Angeles, CA 90028']",Los Angeles,4.5,13,"{'latitude': 34.0969055145979, 'longitude': -118.32225099206}",
Red Letter Rentals,"['4209 W Burbank Blvd', 'Burbank, CA 91505']",Burbank,5.0,9,"{'latitude': 34.172996, 'longitude': -118.356129}",
The Camera Division,"['7351 Fulton Ave', 'North Hollywood, CA 91605']",North Hollywood,5.0,12,"{'latitude': 34.2043857, 'longitude': -118.4225506}",
EVS,"['1819 Victory Blvd', 'Glendale, CA 91201']",Glendale,4.5,45,"{'latitude': 34.1632843017578, 'longitude': -118.302536010742}",
Cinema Camera Rentals,"['4700 W Jefferson Blvd', 'Ste 102', 'Los Angeles, CA 90016']",Los Angeles,5.0,2,"{'latitude': 34.02525, 'longitude': -118.34738}",
Advanced Media,"['369 N Fairfax Ave', 'Ste A', 'Los Angeles, CA 90036']",Los Angeles,4.5,69,"{'latitude': 34.0777801, 'longitude': -118.3616049}",
Studio X,"['3031 N San Fernando Blvd', 'Ste 110', 'Burbank, CA 91504']",Burbank,5.0,1,"{'latitude': 34.2014110833406, 'longitude': -118.343156799674}",
Dual Visions,"['Los Angeles, CA 90012']",Los Angeles,5.0,2,"{'latitude': 34.0522342, 'longitude': -118.2436849}",
SAS Studios,"['501 S Ave 17', 'Los Angeles, CA 90031']",Los Angeles,5.0,3,"{'latitude': 34.0674401, 'longitude': -118.2216856}",
Pixster Photo Booths,"['1111 S Figueroa St', 'Los Angeles, CA 90015']",Los Angeles,5.0,106,"{'latitude': 34.043021, 'longitude': -118.2668356}",
Absolute Rentals,"['2633 N San Fernando Blvd', 'Burbank, CA 91504']",Burbank,5.0,3,"{'latitude': 34.1987255215645, 'longitude': -118.339196518064}",
Apex Photo Studios,"['1024 S Santee St', 'Ste 800', 'Los Angeles, CA 90015']",Los Angeles,4.5,37,"{'latitude': 34.03837, 'longitude': -118.25543}",
Line 204,"['1034 Seward St', 'Los Angeles, CA 90038']",Los Angeles,4.5,15,"{'latitude': 34.0900192260742, 'longitude': -118.332855224609}",
Woodland Hills Camera and Telescopes,"['5348 Topanga Canyon Blvd', 'Woodland Hills, CA 91364']",Woodland Hills,4.0,135,"{'latitude': 34.1673, 'longitude': -118.60533}",2.0
Li Media Studio,"['2079 E 15th St', 'Ste 338C', 'Los Angeles, CA 90021']",Los Angeles,5.0,1,"{'latitude': 34.0227055, 'longitude': -118.23312817}",
FD Productions,"['14631 Dickens St', 'Sherman Oaks, CA 91403']",Sherman Oaks,5.0,4,"{'latitude': 34.15081, 'longitude': -118.45293}",
Image Studios Lab & Darkroom,"['1925 W 62nd St', 'Los Angeles, CA 90047']",Los Angeles,5.0,22,"{'latitude': 33.9834849, 'longitude': -118.3125115}",2.0
BOXeight,"['1446 E Washington Blvd', 'Los Angeles, CA 90021']",Los Angeles,3.5,32,"{'latitude': 34.022048, 'longitude': -118.246833}",
Hollywood Audio Video Transfer House,"['4900 Santa Monica Blvd', 'Los Angeles, CA 90029']",Los Angeles,5.0,48,"{'latitude': 34.090599, 'longitude': -118.296249}",
Monk Space,"['4414 W 2nd St', 'Los Angeles, CA 90004']",Los Angeles,4.5,41,"{'latitude': 34.0709851, 'longitude': -118.3094999}",
Workhorse Productions,"['6368 Santa Monica Blvd', 'Los Angeles, CA 90038']",Los Angeles,5.0,3,"{'latitude': 34.0905951, 'longitude': -118.3282816}",
Large Format Cameras,"['Las Vegas, NV 89123']",Las Vegas,5.0,6,"{'latitude': 36.02428, 'longitude': -115.1407}",4.0
Film Independent,"['5670 Wilshire Blvd', '9th Floor', 'Los Angeles, CA 90036']",Los Angeles,4.0,9,"{'latitude': 34.061668, 'longitude': -118.352289}",
Filmtools,"['1400 W Burbank Blvd', 'Burbank, CA 91506']",Burbank,3.5,108,"{'latitude': 34.182204, 'longitude': -118.327003}",2.0
The L'Cheriyve Studio,"['620 W 135th St', 'Gardena, CA 90248']",Gardena,4.5,48,"{'latitude': 33.90865, 'longitude': -118.2859}",
PeppDigital Media,"['9811 Owensmouth Ave', 'Los Angeles, CA 91311']",Los Angeles,5.0,1,"{'latitude': 34.248636, 'longitude': -118.602473}",
Buckley Videography,"['Los Angeles, CA 90014']",Los Angeles,5.0,107,"{'latitude': 34.0434783, 'longitude': -118.2519314}",
Samy's Camera,"['1759 E Colorado Blvd', 'Pasadena, CA 91106']",Pasadena,4.0,490,"{'latitude': 34.14637, 'longitude': -118.11401}",3.0
HD Creative Services,"['369 N Fairfax Ave', 'Ste 5', 'Los Angeles, CA 90036']",Los Angeles,5.0,1,"{'latitude': 34.0777801, 'longitude': -118.3616049}",
Lightstone Rentals,"['1441 Gardena Ave', 'Ste 1', 'Glendale, CA 91204']",Glendale,5.0,16,"{'latitude': 34.126851, 'longitude': -118.2601382}",
Pollution Studios,"['3239 E Union Pacific', 'Los Angeles, CA 90023']",Los Angeles,5.0,27,"{'latitude': 34.01679, 'longitude': -118.20969}",
Hollywood Rentals,"['12800 Foothill Blvd', 'Los Angeles, CA 91340']",Los Angeles,5.0,2,"{'latitude': 34.291843, 'longitude': -118.415024}",
BrainBox Cameras,"['6700 S Centinela Ave', 'Fl 2', 'Culver City, CA 90230']",Culver City,3.5,24,"{'latitude': 33.983879, 'longitude': -118.404642}",
Deck Hand Camera Rentals,"['1905 S Victory Blvd', 'Ste 8', 'Glendale, CA 91201']",Glendale,5.0,8,"{'latitude': 34.1644835, 'longitude': -118.3040923}",2.0
Ostrich Farm Studio,"['1010 Sycamore Ave', 'Studio 107', 'South Pasadena, CA 91030']",South Pasadena,5.0,52,"{'latitude': 34.11129, 'longitude': -118.17481}",
AbelCine,"['801 S Main St', 'Burbank, CA 91506']",Burbank,4.0,18,"{'latitude': 34.1651614, 'longitude': -118.3134033}",2.0
Cast Locations,"['536 N Larchmont Blvd', 'Los Angeles, CA 90004']",Los Angeles,3.0,5,"{'latitude': 34.0800628662109, 'longitude': -118.323318481445}",
New Circuit Films,"['4529 San Fernando Rd', 'Ste B', 'Glendale, CA 91204']",Glendale,5.0,2,"{'latitude': 34.1348483, 'longitude': -118.2638617}",
Ocean Front Entertainment,"['1235 West El Segundo Blvd', 'Gardena, CA 90247']",Gardena,5.0,2,"{'latitude': 33.9168271, 'longitude': -118.2975647}",
Nightview Studios,"['10824 Burbank Blvd', 'Los Angeles, CA 91601']",Los Angeles,5.0,1,"{'latitude': 34.171759, 'longitude': -118.3666925}",
Lightbox Studio,"['7122 Beverly Blvd', 'Ste G', 'Los Angeles, CA 90036']",Los Angeles,5.0,3,"{'latitude': 34.0757331848145, 'longitude': -118.344825744629}",
Action Audio & Visual,"['5907 Yarmouth Ave', 'Encino, CA 91316']",Encino,4.0,35,"{'latitude': 34.1778465477661, 'longitude': -118.519774523636}",
Otto Nemenz Intl,"['5700 Buckingham Pkwy', 'Culver City, CA 90230']",Culver City,4.5,6,"{'latitude': 33.990916, 'longitude': -118.37934}",
Wooden Nickel Lighting,"['6920 Tujunga Ave', 'North Hollywood, CA 91605']",North Hollywood,4.0,36,"{'latitude': 34.1959227188522, 'longitude': -118.37754324954}",2.0
Parlani Party Rentals,"['3773 Motor Ave', 'Los Angeles, CA 90034']",Los Angeles,5.0,127,"{'latitude': 34.0209161637179, 'longitude': -118.404491833118}",
Fanciful Fox Studio,"['857 S San Pedro St', 'Los Angeles, CA 90014']",Los Angeles,5.0,3,"{'latitude': 34.037553, 'longitude': -118.2502721}",
Team Indriago,"['Los Angeles, CA 90034']",Los Angeles,5.0,1,"{'latitude': 34.052187, 'longitude': -118.243425}",
Electric Pony Studios,"['439 E 58th St', 'Los Angeles, CA 90011']",Los Angeles,5.0,60,"{'latitude': 33.9900894165039, 'longitude': -118.266021728516}",
Green Screen Downtown,"['214 W 14th St', 'Los Angeles, CA 90015']",Los Angeles,5.0,7,"{'latitude': 34.03623083405482, 'longitude': -118.26400688220886}",
Antagonist Camera,"['4610 Valley Blvd', 'Los Angeles, CA 90032']",Los Angeles,5.0,6,"{'latitude': 34.062362, 'longitude': -118.18356}",
Hollywood Divers,"['3575 Cahuenga Blvd W', 'Los Angeles, CA 90068']",Los Angeles,5.0,148,"{'latitude': 34.133642956981, 'longitude': -118.357721541}",2.0
Alan Gordon Enterprises,"['5625 Melrose Ave', 'Los Angeles, CA 90038']",Los Angeles,4.0,10,"{'latitude': 34.0837554931641, 'longitude': -118.323196411133}",2.0
Moving Images Entertainment,"['10801 National Blvd', 'Ste 348', 'Los Angeles, CA 90064']",Los Angeles,5.0,1,"{'latitude': 34.03122, 'longitude': -118.4204}",
1st Point Media Group,"['201 N Westmoreland Ave', 'Los Angeles, CA 90004']",Los Angeles,5.0,3,"{'latitude': 34.074745, 'longitude': -118.288422}",
MainStream Ent,"['5649 Hollywood Blvd', 'Los Angeles, CA 90028']",Los Angeles,4.5,2,"{'latitude': 34.1018882325353, 'longitude': -118.313213302278}",
Bokeh Rentals,"['3921 W Jefferson Blvd', 'Ste 103', 'Los Angeles, CA 90016']",Los Angeles,4.5,15,"{'latitude': 34.02588863806784, 'longitude': -118.3389418}",
The Room Downtown,"['704 S Spring St', 'Fl 4', 'Los Angeles, CA 90014']",Los Angeles,4.5,21,"{'latitude': 34.04419, 'longitude': -118.25215}",
LA Sound Rentals,"['5327 Santa Monica Blvd', 'Ste 200', 'Los Angeles, CA 90029']",Los Angeles,4.5,35,"{'latitude': 34.091176, 'longitude': -118.305616}",
"Hollywood Camera, Inc.","['3100 N Damon Way', 'Burbank, CA 91505']",Burbank,5.0,4,"{'latitude': 34.2049499, 'longitude': -118.3608}",
Gave Chase Films,"['233 S Market St', 'Ste 206', 'Inglewood, CA 90301']",Inglewood,5.0,1,"{'latitude': 33.96105, 'longitude': -118.35235}",
the Forge,"['2636 Huron St', 'Los Angeles, CA 90065']",Los Angeles,5.0,18,"{'latitude': 34.08504, 'longitude': -118.22193}",
The Bunker Loft Location,"['1500 S Los Angeles St', 'Fl 2', 'Los Angeles, CA 90015']",Los Angeles,4.5,21,"{'latitude': 34.033413, 'longitude': -118.260765}",
Indie Lab Film Studios,"['2525 W 7th St', 'Los Angeles, CA 90057']",Los Angeles,2.5,2,"{'latitude': 34.0589629, 'longitude': -118.2823237}",1.0
BLARE Video,"['326 Mira Loma Ave', 'Glendale, CA 91204']",Glendale,5.0,1,"{'latitude': 34.123677, 'longitude': -118.256461}",
Central Station Media,"['11440 Ventura Blvd', 'Unit 200', 'Studio City, CA 91604']",Studio City,5.0,8,"{'latitude': 34.1391862, 'longitude': -118.3803122}",
