Name,Address,City,Rating,Review Count,Coordinates,Price
Focus Gear,"['225 W 39th St', 'Ste 600', 'New York, NY 10018']",New York,4.5,18,"{'latitude': 40.7547596, 'longitude': -73.9892358}",2.0
Hello World Communications,"['118 W 22nd St', 'Fl 2', 'New York, NY 10011']",New York,5.0,42,"{'latitude': 40.7425398, 'longitude': -73.9945521}",
K & M Camera,"['54 Orchard St', 'New York, NY 10002']",New York,3.0,128,"{'latitude': 40.71479159152905, 'longitude': -73.99177973493545}",2.0
Hit and Run Productions,"['65 Roebling St', 'Ste 202', 'Brooklyn, NY 11211']",Brooklyn,5.0,4,"{'latitude': 40.7165128, 'longitude': -73.9546435}",
Foto Care,"['41-43 W 22nd St', 'New York, NY 10010']",New York,4.5,50,"{'latitude': 40.7417878, 'longitude': -73.9922595}",2.0
DuArt,"['245 W 55th St', 'New York, NY 10019']",New York,4.0,2,"{'latitude': 40.765316, 'longitude': -73.982986}",
BAZA.Studio,"['34-36 W 32nd St', 'New York, NY 10001']",New York,5.0,1,"{'latitude': 40.747727, 'longitude': -73.987349}",
Reel Creative Studios,"['146 W 29th St', 'Fl 3', 'Manhattan, NY 10001']",Manhattan,4.5,11,"{'latitude': 40.750133, 'longitude': -73.997006}",
CSI Rentals - Brooklyn,"['154 Bogart St', 'Bushwick', 'Brooklyn, NY 11206']",Brooklyn,4.0,8,"{'latitude': 40.709215, 'longitude': -73.9344001561403}",2.0
Canal Sound & Light,"['319 Canal St', 'New York, NY 10013']",New York,4.5,33,"{'latitude': 40.7202225, 'longitude': -74.0027509}",2.0
Teleprompter Rental,"['808 Broadway', 'Ste 5P', 'New York, NY 10003']",New York,4.5,12,"{'latitude': 40.732678, 'longitude': -73.991217}",
Adorama Rental,"['50 W 17th St', 'New York, NY 10011']",New York,3.0,82,"{'latitude': 40.7389741248731, 'longitude': -73.9946596177993}",2.0
Eastern Effects,"['99 9th St', 'Brooklyn, NY 11215']",Brooklyn,4.5,3,"{'latitude': 40.6734029529525, 'longitude': -73.9946415645175}",
Go Penthouse Studio,"['318 W 39th St', 'New York, NY 10018']",New York,5.0,2,"{'latitude': 40.755623, 'longitude': -73.992462}",
Photo Tech Repair Service,"['360 W 36th St', 'Ground Fl', 'New York, NY 10018']",New York,4.0,173,"{'latitude': 40.7541603595018, 'longitude': -73.9942563325167}",2.0
Print Space,"['19 W 21st St', 'Ste 706', 'New York, NY 10010']",New York,4.5,45,"{'latitude': 40.7410316, 'longitude': -73.9917679}",2.0
Acerbic Film and Entertainment,"['641 Lexington Ave', 'Manhattan, NY 10022']",Manhattan,2.5,5,"{'latitude': 40.7331163, 'longitude': -73.9913067}",
Film Trade,"['86 Verona St', 'New York, NY 11231']",New York,5.0,1,"{'latitude': 40.6796212181687, 'longitude': -74.0091629592533}",
GUM Studios,"['4508 2nd Ave', 'Brooklyn, NY 11232']",Brooklyn,5.0,1,"{'latitude': 40.65181, 'longitude': -74.0143}",
Urban Myth Studio,"['505 Johnson Ave', 'Brooklyn, NY 11237']",Brooklyn,5.0,4,"{'latitude': 40.708663918903, 'longitude': -73.926939086334}",
Forgotten Works Studio,"['46 Bridge St', 'Brooklyn, NY 11201']",Brooklyn,4.5,10,"{'latitude': 40.7033, 'longitude': -73.98478}",
Camera Doctor,"['406 West 39th St', 'New York, NY 10018']",New York,4.0,20,"{'latitude': 40.756655, 'longitude': -73.994658}",2.0
Prompster,"['New York, NY 11201']",New York,5.0,2,"{'latitude': 40.69347, 'longitude': -73.99052}",
Studio 253 NYC @ E.C. Pro Video Systems,"['Ec Pro Video Systems Inc', '253 W 51st St , Fl 3 S', 'New York, NY 10019']",New York,5.0,1,"{'latitude': 40.7628288, 'longitude': -73.9851837}",
Hand Held Films,"['129 W 27th St', 'New York, NY 10001']",New York,2.5,6,"{'latitude': 40.74618, 'longitude': -73.99221}",
Bond Street Studio,"['235 Bond St', 'Brooklyn, NY 11217']",Brooklyn,5.0,4,"{'latitude': 40.682204, 'longitude': -73.987889}",
Starr Street Studios,"['207-A Starr St', 'Ste 3-1', 'Brooklyn, NY 11237']",Brooklyn,5.0,8,"{'latitude': 40.705122, 'longitude': -73.923457}",
Bushwick Community Darkroom,"['110 Troutman St', 'Brooklyn, NY 11206']",Brooklyn,3.0,41,"{'latitude': 40.699218, 'longitude': -73.929546}",1.0
Nippon Photo Clinic Service,"['37 W 39th St', 'Ste 401', 'New York, NY 10018']",New York,4.5,24,"{'latitude': 40.7527038, 'longitude': -73.984242}",3.0
American Movie Company,"['808 Broadway', 'New York, NY 10003']",New York,5.0,9,"{'latitude': 40.7324361, 'longitude': -73.9909751}",
Studio225BK,"['225 34th St', 'Brooklyn, NY 11232']",Brooklyn,5.0,3,"{'latitude': 40.6546630859375, 'longitude': -74.0015335083008}",
Projectors Rental,"['481 8th Ave', 'Ste 1143', 'New York, NY 10001']",New York,5.0,3,"{'latitude': 40.75263, 'longitude': -73.99338}",
Chemistry Creative,"['305 Ten Eyck St', 'Brooklyn, NY 11206']",Brooklyn,5.0,2,"{'latitude': 40.71166, 'longitude': -73.93671}",
Le JIT Productions,"['544 Park Ave', 'Brooklyn, NY 11205']",Brooklyn,5.0,1,"{'latitude': 40.696704, 'longitude': -73.95333}",
Chris Fig Productions,"['610 W 42nd St', 'Ste 31E', 'New York, NY 10036']",New York,5.0,4,"{'latitude': 40.76097, 'longitude': -73.99906}",
AbelCine,"['Industry City', '88 35th St, Fl 4', 'Brooklyn, NY 11232']",Brooklyn,3.5,9,"{'latitude': 40.6564111, 'longitude': -74.0067047}",4.0
BKC,"['736 Bushwick Ave', 'Brooklyn, NY 11221']",Brooklyn,5.0,18,"{'latitude': 40.6958679, 'longitude': -73.9301726}",
Canoe Studios,"['601 W 26th St', 'Ste 1465', 'New York, NY 10001']",New York,4.0,6,"{'latitude': 40.751424, 'longitude': -74.006624}",
Gowanus Loft,"['61 9th St', 'Loft C8', 'Brooklyn, NY 11215']",Brooklyn,3.0,2,"{'latitude': 40.6737765661381, 'longitude': -73.9956182037049}",
B&H Photo Video - Electronics and Camera Store,"['420 9th Ave', 'New York, NY 10001']",New York,3.0,1887,"{'latitude': 40.7529335021973, 'longitude': -73.996338}",2.0
Professional Sound Services,"['311 W 43rd St', 'Ste 1100', 'Manhattan, NY 10036']",Manhattan,1.0,1,"{'latitude': 40.7584496, 'longitude': -73.9899826}",
"Gotham Sound & Communications, Inc","['35-10 36th Ave', 'Second Fl', 'Long Island City, NY 11106']",Long Island City,4.0,4,"{'latitude': 40.7548453, 'longitude': -73.9264109}",
Deer Studios Nyc,"['240 E 56th St', 'Ste 2E', 'New York, NY 10022']",New York,4.0,5,"{'latitude': 40.758622, 'longitude': -73.966138}",
CSI Rentals,"['133 W 19th St', 'New York, NY 10011']",New York,3.5,29,"{'latitude': 40.7411993, 'longitude': -73.995893}",2.0
DCTV,"['87 Lafayette St', 'New York, NY 10013']",New York,3.0,5,"{'latitude': 40.717311, 'longitude': -74.001144}",
Rooftop Films A/V Rentals,"['232 3rd St', 'Ste E106', 'Brooklyn, NY 11215']",Brooklyn,5.0,3,"{'latitude': 40.67488, 'longitude': -73.9878899}",
Gymnopedie,"['1139 Bushwick Ave', 'Brooklyn, NY 11221']",Brooklyn,5.0,1,"{'latitude': 40.689742, 'longitude': -73.9178907}",
Dirty Sugar Photography,"['1717 Troutman St', 'Ste 218', 'Ridgewood, NY 11385']",Ridgewood,5.0,7,"{'latitude': 40.7090635, 'longitude': -73.9205438}",
Manhattan Neighborhood Network,"['537 W 59th St', 'New York, NY 10019']",New York,4.5,13,"{'latitude': 40.7713203430176, 'longitude': -73.9891662597656}",
ROOT NYC,"['443 W 18th St', 'New York, NY 10011']",New York,4.5,2,"{'latitude': 40.74435, 'longitude': -74.00513}",
Adorama,"['42 W 18th St', 'New York, NY 10011']",New York,2.5,1149,"{'latitude': 40.73935, 'longitude': -73.99406}",2.0
PhotoManhattan,"['51 W 14th St', 'Ste 2R', 'New York, NY 10011']",New York,4.0,60,"{'latitude': 40.7372512817383, 'longitude': -73.9958572387695}",2.0
Du-All Camera,"['772-774 Central Ave', 'Westfield, NJ 07090']",Westfield,4.0,16,"{'latitude': 40.64489, 'longitude': -74.33557}",2.0
Big Apple Computer and Audio Visual Rentals,"['519 8th Ave', 'Ste 815', 'New York, NY 10018']",New York,3.5,5,"{'latitude': 40.75341, 'longitude': -73.99302}",
True Love Wedding Studio,"['188-04 Northern Blvd', 'Fl 2', 'Flushing, NY 11354']",Flushing,4.5,140,"{'latitude': 40.7575643, 'longitude': -73.7926571}",
Jack Studios,"['601 W 26th St', 'Fl 12', 'New York, NY 10001']",New York,4.5,12,"{'latitude': 40.7515807112521, 'longitude': -74.0064342349182}",
Vimana Studios,"['45 E Madison Ave', 'Clifton, NJ 07011']",Clifton,5.0,1,"{'latitude': 40.87486, 'longitude': -74.13526}",
Butter Tree Studios,"['32 Merry Ln', 'East Hanover, NJ 07936']",East Hanover,5.0,1,"{'latitude': 40.819519, 'longitude': -74.3461838}",
ILovePhotos2,"['New Rochelle, NY 10804']",New Rochelle,4.0,1,"{'latitude': 40.9492193, 'longitude': -73.7889689}",
Rye Camera Shop,"['55 Purchase St', 'Rye, NY 10580']",Rye,4.5,11,"{'latitude': 40.9836, 'longitude': -73.68513}",2.0
Willoughby's Photo Emporium,"['15-17 W 36th St', 'New York, NY 10018']",New York,2.0,126,"{'latitude': 40.7503761, 'longitude': -73.9845888}",4.0
Digital Merit Photography,"['9-20 35th Ave', 'Ste 2M', 'Long Island City, NY 11106']",Long Island City,4.5,9,"{'latitude': 40.7632915915518, 'longitude': -73.9401746468994}",
Art Contra Studio,"['Cranford, NJ 07107']",Cranford,1.0,1,"{'latitude': 40.760441, 'longitude': -74.188745}",
prop N spoon,"['32-00 Skillman Ave', 'Fl 3', 'Long Island City, NY 11101']",Long Island City,5.0,2,"{'latitude': 40.7460208, 'longitude': -73.932775}",
The Moment Photo Studio,"['New York, NY 10001']",New York,5.0,33,"{'latitude': 40.75095, 'longitude': -73.99811}",
Gary's Loft,"['28 W 36th St', 'New York, NY 10018']",New York,4.5,12,"{'latitude': 40.7501258850098, 'longitude': -73.9851531982422}",
Bergen County Camera,"['270 Westwood Ave', 'Westwood, NJ 07675']",Westwood,4.0,54,"{'latitude': 40.9930669, 'longitude': -74.0300824}",2.0
Porcci NYC,"['134 W 29th St', 'Ste 904', 'New York, NY 10001']",New York,2.5,5,"{'latitude': 40.7251793, 'longitude': -73.9844951}",
Fat Llama,"['354 Franklin Ave', '3L', 'Brooklyn, NY 11238']",Brooklyn,1.0,3,"{'latitude': 40.68685, 'longitude': -73.95696}",
BCR Signature Events,"['529 Longfellow Ave', 'Bronx, NY 10474']",Bronx,3.5,7,"{'latitude': 40.81165, 'longitude': -73.884097}",
Showpro Productions,"['Westfield, NJ 07078']",Westfield,5.0,1,"{'latitude': 40.694924, 'longitude': -74.270391}",
