Review_0,Review_1,Review_2,Id
MasalaWala is my go to for Indian in the city. It's consistently SO GOOD; both eat-in and delivery. The service in restaurant in fantastic - everyone's...,My favorite Indian restaurant in the city. The first time I ordered the chicken tikka masala and it was perfect and I wasn't expecting it to have such a...,"I'll start off saying I ordered delivery and it took over an hour and half to arrive which made me pretty upset. However, when I finally got the food I was...",sCC7-hSdCkNPExejZT9BAQ
I was really in the mood for Indian so found this spot as a potential takeout place. Checking out yelp and photos I was sold so I decided to order dinner...,"First impressions: LOVE the decor and hole in the wall ambiance. Pre-covid, this was my favorite spot in all of NYC for Indian food (it still is!) I send...","4.5/5 Dinner pre-covid and delivery during covid

Probably the best and freshest indian cuisine we have had in NYC. Great chicken tikka and saq paneer (my...",x0k5kFArHLijdY8-NEQ7Xg
"Go to pickup spot for really excellent Indian food, and they also offer outdoor dining now! The phool makhane (with puffed lotus seeds!) is my favorite...","Kicking myself for never taking a photo whenever I order here, but it's so good don't even think to stop to grab my phone. 

Indian table has become my...","I had a great time eating here. The food was so good. I had the green soup, shrimp app, and samosas. For entree I had chicken tikka masala. My friend got...",BXoW0AUDE7WZJcY-Vhqlbg
"Few reasons for 5 stars, but mainly it's the dedication to customer satisfaction. Food was good (do the $18 platter if you're hungry) but service was...","I usually never write reviews for delivery food, but got on Yelp to say this was probably the best Indian food I've had in New York. 
There was a lot left...",What a delicious way to end a long weekend. I dipped the soft and delicate garlic naan in every spice and sauce they gave me. The $18 special with one of...,lnI9toC-uAhBIbtHDMxvcA
Tikka is one of my favorite restaurants in the city. I've been dining in and ordering takeout/delivery for years and have had a consistently excellent...,Tikka is a great option for delicious Indian food in the neighborhood. The lamb biryani is super delicious; the lamb itself is nice and tender. And the...,Veggie korma and paneer tikka are definitely the best around for take out. Lassi is good too but very pigmented? Wish I could've ordered the stuffed naan...,WWpOWqOgS9ClYvxYVzR0lg
"Realizable tasty Indian. I took off one star because I do feel that the food is a tad overpriced when compared to other Indian spots, and the quality of the...",Raining today but the outdoor tables with bright red umbrellas looked so inviting we sat down instead of picked up. Plus there was plenty of space between...,"Spicy and flavorful. Recommend it.

I stopped in for a takeout order after seeing the spice club on the menu as I walked by after spicy moon.

They have a...",7DUPGtHqVZHJ3yIufbWLsg
"Super fast delivery and they even threw in free dessert 

Food was great and big enough portions to share!","Kitchen Grill has quickly become my new favorite delivery spot. The delivery is quick and arrives piping hot. I love the special deal, for only $17.95 you...","Kitchen Grill Indian has made me rethink the whole cuisine! Togo order review:

I decided to give a new restaurant and a new cuisine a try and did this...",YDtIHtfvWd4W36wq6UAjoA
"THIS PLACE IS THE BEST!

I walked up to the chef, Raj, at the Williamsburg location and told him that I've never had indian food before and he immediately...","Had an amazing meal tonight from this joint!

I'm vegan, my friend eats no gluten nuts or fried things. We're usually a nightmare of a pair when going out...","If you're a vegan and you're reading this review right now, do yourself a favor and just stop your hunt for food. Like now. The search is over. THIS is the...",GaezFSQuSjM7FN99cDYDfQ
Have ordered take out here a handful times during the pandemic. Everything on the menu hits the spot- I especially love the bhel puri and saag paneer. Their...,Best Indian in Brooklyn! Shrimp kebab app and the vegan dish with pumpkin is yum. Fast delivery as well.,"6 months and one pandemic later, these guys haven't skipped a beat. Seriously. Order ANYTHING and do yourself a favor",MtZaEGCm6zdAV8W4TWlerQ
"I went to this spot during COVID in September. We sat outside and the waiter was so sweet, attentive and safety conscience. The food was all full of so much...","This place has all the things that I love about my childhood. The Telugu movies, the street food I miss, that smell of freshly made idli and a lot more....",The fish curry with the garlic nann is something I crave. I came across this place because my husband loves Indian food. I have to say this place is...,Z_fT0KLZV3y80LHUMlmbig
I recently moved to Clinton street and was so happy to discover this restaurant nearby. I get lunch here all the time now! I'm so glad they've stayed open...,"I had a craving for Indian food and my sister recommended this place for take out. As you can tell, I splurged a little. 

The chicken samosas were on the...","Still the BEST Indian food in the East Village/LES area!  Their delivery is quick, food is hot and fresh, great deals on lunch boxes.  I always call ahead...",_7BGw3YFNOTzP1Www3zB7g
Truly a 5 star restaurant. We went just as Covid hit and now during deep winter. Both times they have gone out of their way to make dining special. In...,It's taken me some time to write this review but it's covid and I'm trying to support my favorite restaurants in any way I can. So we came to Tamarind for...,"A very classy and upscale Indian restaurant right in tribeca. The ambiance inside is very elegant, so make sure you dress up too! Note that this restaurant...",kS2CP48K66yL2TwIhUqy_A
I visited this place a couple times before covid for their buffet which is a great deal. Its been a while and in a buffet format you don't always remember...,"I ordered takeout from here a few days ago and I was impressed with the food! They have a great deal where you can pick an appetizer, an entree, rice, and...","This place is amazing. I didn't know what I wanted for dinner and then there it is right in front of me. I ordered Saag Paneer, Garlic Naan and Tandoori...",EKY8DwZVWpkgv6IWrepbWg
"Today my husband and I had the chicken tikka and chickpea with spinach lunch special and naan for pickup. Both of the dishes were delicious! 

I ordered on...","We ordered Butter Chicken (Yum!), Chicken Tikka Masala (Yummy!), Coconut Curry (Meh), Lamb Biriyani (OMG!), and naan.  Overall my family enjoyed their meals...","BOMBAY GRILL IS THE BOMB! I'm a novice when it comes to Indian cuisine, but I'm always drawn to the rich aromas in which the food provides. Tonight I set...",ZqOxAKVZEZTa4XS4zthp3Q
I want to take the time and say a few good words about this place. I ordered something through seamless and my food was dropped at the lobby instead of...,"I have been craving Indian and made it my mission to have Indian food while in NY. Benares didn't disappoint. I was able to order my go to dishes. Samosas,...","This is my favorite Indian restaurant in TriBeCa (hey guys, what's up!). I worked around the corner at Lance Lappin for several months during COVID...",iXSuNKKUBIrBX7zUerlQDQ
"This place is amazing. You can walk in and order and they'll make it up pretty quickly. The owner is great, and back in the old days when you could sit in...","This is by far the best Indian food I have had from a restaurant.  The saag was the freshest I have ever seen.  Everything was fresh, well seasoned, not...",Delicious. Called to make sure they were open as I have had trouble finding Indian food that was still operating under quarantine. We ordered two lunch...,zGa3GrjdAQLm2l40SPD8CA
"Ordered late in the evening for pickup. Food was ready on time and when we left a tip, they gave us a free drink! So nice and unexpected. When I grabbed the...",Fantastic all around. These guys are working hard during COVID. My husband and I picked up a bunch of items from here and everything was delicious and well...,"Well, this is the place that got me to finally write my first Yelp review.

Ordered Saag Paneer and Vindaloo. BEST INDIAN FOOD I've had in NYC so far (4...",iXrKGRzIZK0pp31mO3nBzA
