Name,Address,City,Rating,Review Count,Coordinates,Price,Id,Categories,Latitude,Longitude
Oh K-Dog,"['159 Ludlow St', 'New York, NY 10002']",New York,4.5,70,"{'latitude': 40.72104, 'longitude': -73.98804}",,rCS4w1A24k33FFTzZ52Vog,"[{'alias': 'korean', 'title': 'Korean'}, {'alias': 'hotdog', 'title': 'Hot Dogs'}, {'alias': 'hotdogs', 'title': 'Fast Food'}]",40.72104,-73.98804
Kuun,"['290 Livingston St', 'Brooklyn, NY 11217']",Brooklyn,4.5,52,"{'latitude': 40.6884292, 'longitude': -73.9831506}",,fMf4P22m65creknIICuaXA,"[{'alias': 'korean', 'title': 'Korean'}]",40.6884292,-73.9831506
Doma,"['120 1st Ave', 'New York, NY 10009']",New York,4.5,38,"{'latitude': 40.72703, 'longitude': -73.985392}",2.0,PAQDvkvVselqlhOc0Mh92g,"[{'alias': 'korean', 'title': 'Korean'}, {'alias': 'bars', 'title': 'Bars'}, {'alias': 'tapasmallplates', 'title': 'Tapas/Small Plates'}]",40.72703,-73.985392
Haenyeo,"['239 5th Ave', 'Brooklyn, NY 11215']",Brooklyn,4.0,144,"{'latitude': 40.67519, 'longitude': -73.98116}",,0U9uW93o9DUnAP7r-76LVg,"[{'alias': 'korean', 'title': 'Korean'}]",40.67519,-73.98116
Thursday Kitchen,"['424 E 9th St', 'New York, NY 10009']",New York,4.5,1364,"{'latitude': 40.7275, 'longitude': -73.9838}",2.0,fVbUVAiLiGgLA_nxBFxyww,"[{'alias': 'korean', 'title': 'Korean'}, {'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'tapasmallplates', 'title': 'Tapas/Small Plates'}]",40.7275,-73.9838
Tofu Tofu,"['96 Bowery', 'New York, NY 10013']",New York,4.5,350,"{'latitude': 40.7176299520983, 'longitude': -73.9954301342368}",2.0,vWoT1h8E2eWvIdJqpuxfdg,"[{'alias': 'korean', 'title': 'Korean'}, {'alias': 'juicebars', 'title': 'Juice Bars & Smoothies'}, {'alias': 'bbq', 'title': 'Barbeque'}]",40.7176299520983,-73.9954301342368
Oiji,"['119 1st Ave', 'New York, NY 10003']",New York,4.5,521,"{'latitude': 40.72727, 'longitude': -73.98585}",3.0,FsuJ7VC5vxX3wcLhFrb97Q,"[{'alias': 'korean', 'title': 'Korean'}]",40.72727,-73.98585
K'OOK,"['324 E 6th St', 'New York, NY 10003']",New York,4.0,445,"{'latitude': 40.72682, 'longitude': -73.98738}",2.0,igcUHNvsKc-s-RtvUmkg2w,"[{'alias': 'korean', 'title': 'Korean'}]",40.72682,-73.98738
Yoon Haeundae Galbi,"['8 W 36th St', 'New York, NY 10018']",New York,4.5,472,"{'latitude': 40.749866, 'longitude': -73.984441}",3.0,EKkHfSYTm266-ZBve3SdgA,"[{'alias': 'korean', 'title': 'Korean'}, {'alias': 'bbq', 'title': 'Barbeque'}, {'alias': 'steak', 'title': 'Steakhouses'}]",40.749866,-73.984441
SSAM,"['170 Smith St', 'Brooklyn, NY 11201']",Brooklyn,3.5,415,"{'latitude': 40.68594, 'longitude': -73.991274}",2.0,cOXYWZ_GTX-_ue_kveguRg,"[{'alias': 'korean', 'title': 'Korean'}, {'alias': 'chicken_wings', 'title': 'Chicken Wings'}, {'alias': 'ramen', 'title': 'Ramen'}]",40.68594,-73.991274
Her Name Is Han,"['17 E 31st St', 'New York, NY 10016']",New York,4.0,1260,"{'latitude': 40.7462615966797, 'longitude': -73.984733581543}",2.0,qY1o1MhoRyN84RRhUJtvpQ,"[{'alias': 'korean', 'title': 'Korean'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",40.7462615966797,-73.984733581543
Nowon,"['507 East 6th St', 'New York, NY 10009']",New York,4.5,113,"{'latitude': 40.72532, 'longitude': -73.98334}",,LMyvruexOQzzHQrAgbdqiA,"[{'alias': 'korean', 'title': 'Korean'}, {'alias': 'newamerican', 'title': 'American (New)'}]",40.72532,-73.98334
Cho Dang Gol Korean Restaurant,"['55 W 35th St', 'New York, NY 10001']",New York,4.0,1131,"{'latitude': 40.7502365112305, 'longitude': -73.986198425293}",2.0,lSQAmoQtmciUld36ogOoOw,"[{'alias': 'korean', 'title': 'Korean'}]",40.7502365112305,-73.986198425293
Take31,"['15 E 31st St', 'New York, NY 10016']",New York,4.0,607,"{'latitude': 40.7463, 'longitude': -73.984809}",2.0,IjQ2yGUKkvP0JIldT9vRFQ,"[{'alias': 'korean', 'title': 'Korean'}, {'alias': 'gastropubs', 'title': 'Gastropubs'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",40.7463,-73.984809
Chingoo Restaurant,"['373 Graham Ave', 'Brooklyn, NY 11211']",Brooklyn,4.5,53,"{'latitude': 40.715796, 'longitude': -73.944733}",2.0,H5jHfG4ZkNPaG6vojmAXww,"[{'alias': 'korean', 'title': 'Korean'}]",40.715796,-73.944733
Tiger Box,"['169 Park Ave', 'Brooklyn, NY 11205']",Brooklyn,4.5,70,"{'latitude': 40.6963379, 'longitude': -73.972758}",1.0,FAALx4s7PBtCZWKFqRNPNQ,"[{'alias': 'korean', 'title': 'Korean'}]",40.6963379,-73.972758
Pelicana Chicken - Forest Hills,"['102-07 Metropolitan Ave', 'Queens, NY 11375']",Queens,5.0,1,"{'latitude': 40.71057732797664, 'longitude': -73.8503856}",,VsXxbeW5LTppZZHJqDuS1Q,"[{'alias': 'korean', 'title': 'Korean'}, {'alias': 'chicken_wings', 'title': 'Chicken Wings'}, {'alias': 'burgers', 'title': 'Burgers'}]",40.71057732797664,-73.8503856
ChungChun Rice Hot Dog,"['156-18 Northern Blvd', 'Flushing, NY 11354']",Flushing,4.5,70,"{'latitude': 40.76353560584008, 'longitude': -73.808898255229}",,L7Zj7gLeYeww7I6DNrIs5Q,"[{'alias': 'hotdog', 'title': 'Hot Dogs'}, {'alias': 'korean', 'title': 'Korean'}]",40.76353560584008,-73.808898255229
GunBae Tribeca,"['67 Murray St', 'New York, NY 10007']",New York,4.0,292,"{'latitude': 40.714683, 'longitude': -74.010223}",2.0,0GN6l4FAknTFSWZhEan45A,"[{'alias': 'korean', 'title': 'Korean'}, {'alias': 'karaoke', 'title': 'Karaoke'}, {'alias': 'bbq', 'title': 'Barbeque'}]",40.714683,-74.010223
Five Senses,"['9 W 32nd St', 'New York, NY 10001']",New York,4.0,1453,"{'latitude': 40.747573158626, 'longitude': -73.9863122632311}",2.0,_saXnBy0Wq2Gb3YusWZhqw,"[{'alias': 'korean', 'title': 'Korean'}, {'alias': 'bbq', 'title': 'Barbeque'}]",40.747573158626,-73.9863122632311
JeJu Noodle Bar,"['679 Greenwich St', 'New York, NY 10014']",New York,4.5,608,"{'latitude': 40.73304, 'longitude': -74.00734}",2.0,xtxcAUvrD4dWHJd0cwvW1A,"[{'alias': 'korean', 'title': 'Korean'}, {'alias': 'noodles', 'title': 'Noodles'}]",40.73304,-74.00734
Boka,"['23 Pell St', 'New York, NY 10013']",New York,4.5,45,"{'latitude': 40.714809, 'longitude': -73.998272}",2.0,TTGFxOebpxfLVVFqfZemKA,"[{'alias': 'korean', 'title': 'Korean'}, {'alias': 'bbq', 'title': 'Barbeque'}, {'alias': 'seafood', 'title': 'Seafood'}]",40.714809,-73.998272
Kimbap Lab,"['238 Bedford Ave', 'Brooklyn, NY 11249']",Brooklyn,5.0,41,"{'latitude': 40.71611, 'longitude': -73.95974}",2.0,2jkR9i54loLxuaowoPX5Fw,"[{'alias': 'korean', 'title': 'Korean'}, {'alias': 'gluten_free', 'title': 'Gluten-Free'}, {'alias': 'vegan', 'title': 'Vegan'}]",40.71611,-73.95974
Ms Yoo,"['163 Allen St', 'New York, NY 10002']",New York,4.0,121,"{'latitude': 40.72121, 'longitude': -73.98978}",3.0,2C1hZNqiWWfQJAIvS9rvDQ,"[{'alias': 'korean', 'title': 'Korean'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'salad', 'title': 'Salad'}]",40.72121,-73.98978
Sik Gaek,"['49-11 Roosevelt Ave', 'Woodside, NY 11377']",Woodside,4.0,575,"{'latitude': 40.743485, 'longitude': -73.9148356}",2.0,2Bg8Jfl2FvH1unmvxNS0dQ,"[{'alias': 'korean', 'title': 'Korean'}]",40.743485,-73.9148356
