Name,Address,City,Rating,Review Count,Coordinates,Price,Id,Categories
The Roof Hookah Lounge,"['3341 Cahuenga Blvd', 'Los Angeles, CA 90068']",Los Angeles,4.0,16,"{'latitude': 34.13083, 'longitude': -118.35131}",,IFRkLTgDxzYLfyszrugH6A,"[{'alias': 'hookah_bars', 'title': 'Hookah Bars'}]"
Onyx Lounge,"['118 W 5th St', 'Los Angeles, CA 90013']",Los Angeles,3.5,595,"{'latitude': 34.0470290144047, 'longitude': -118.24954230318}",2.0,uNJ1d4r39cfp7Bwix3x_lg,"[{'alias': 'lounges', 'title': 'Lounges'}]"
High Rooftop Lounge,"['1697 Pacific Ave', 'Venice, CA 90291']",Venice,3.5,715,"{'latitude': 33.986956, 'longitude': -118.47245}",2.0,zfeodwJ1BCRJl-cbRBHjpQ,"[{'alias': 'lounges', 'title': 'Lounges'}, {'alias': 'tapasmallplates', 'title': 'Tapas/Small Plates'}, {'alias': 'venues', 'title': 'Venues & Event Spaces'}]"
La Descarga,"['1159 N Western Ave', 'Hollywood, CA 90029']",Hollywood,4.0,1033,"{'latitude': 34.09208, 'longitude': -118.30956}",2.0,qosNAUyoOK3opm5wRllfbA,"[{'alias': 'lounges', 'title': 'Lounges'}]"
Perch,"['448 S Hill St', 'Los Angeles, CA 90013']",Los Angeles,4.0,8097,"{'latitude': 34.04897, 'longitude': -118.2514}",3.0,K-Fbh2WCHlqR56H9TnfpNA,"[{'alias': 'lounges', 'title': 'Lounges'}, {'alias': 'french', 'title': 'French'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]"
Apt 503,"['3680 Wilshire Blvd', 'Ste 503', 'Los Angeles, CA 90010']",Los Angeles,3.5,308,"{'latitude': 34.061344, 'longitude': -118.306173}",2.0,WmNs8x3YoPoZG6ml-F1lSw,"[{'alias': 'lounges', 'title': 'Lounges'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]"
Potions & Poisons,"['3514 W 8th St', 'Los Angeles, CA 90005']",Los Angeles,5.0,72,"{'latitude': 34.05727, 'longitude': -118.30745667}",2.0,EJ-vZh_dsGwe1suhZ79C_g,"[{'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'lounges', 'title': 'Lounges'}, {'alias': 'karaoke', 'title': 'Karaoke'}]"
Rhythm Room LA,"['206 W 6th St', 'Los Angeles, CA 90014']",Los Angeles,4.5,292,"{'latitude': 34.0460420449571, 'longitude': -118.251199635686}",2.0,c1ozv7ODg7wBTEgWast0eA,"[{'alias': 'lounges', 'title': 'Lounges'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}]"
The Reserve,"['650 S Spring St', 'Los Angeles, CA 90014']",Los Angeles,3.5,230,"{'latitude': 34.04462, 'longitude': -118.25178}",2.0,m5DOIheloy_fYL5grSs-bw,"[{'alias': 'danceclubs', 'title': 'Dance Clubs'}, {'alias': 'lounges', 'title': 'Lounges'}, {'alias': 'venues', 'title': 'Venues & Event Spaces'}]"
The Well,"['6255 W Sunset Blvd', 'Ste 115', 'Los Angeles, CA 90028']",Los Angeles,4.0,739,"{'latitude': 34.0988092, 'longitude': -118.3254673}",2.0,bKpgt3ZsCJY50Sf_coZ73w,"[{'alias': 'lounges', 'title': 'Lounges'}]"
