Name,Address,City,Rating,Review Count,Coordinates,Price
Lucky Break Reels,"['Los Angeles, CA 90028']",Los Angeles,5.0,65,"{'latitude': 34.1004791259766, 'longitude': -118.333610534668}",
Relentless Filmworks,"['12023 1/2 Ventura Blvd', 'Los Angeles, CA 91604']",Los Angeles,5.0,16,"{'latitude': 34.14391, 'longitude': -118.394262}",
Fancy Film Post Services,"['4212 Santa Monica Blvd', 'Los Angeles, CA 90029']",Los Angeles,5.0,5,"{'latitude': 34.0907199, 'longitude': -118.2841042}",
Studio X,"['3031 N San Fernando Blvd', 'Ste 110', 'Burbank, CA 91504']",Burbank,5.0,1,"{'latitude': 34.2014110833406, 'longitude': -118.343156799674}",
Live House Hollywood,"['1534 N Highland Ave', 'Los Angeles, CA 90028']",Los Angeles,5.0,1,"{'latitude': 34.09906, 'longitude': -118.33823}",2.0
The Camera Division,"['7351 Fulton Ave', 'North Hollywood, CA 91605']",North Hollywood,5.0,12,"{'latitude': 34.2043857, 'longitude': -118.4225506}",
Audition House,"['7274 Fountain Ave', 'West Hollywood, CA 90046']",West Hollywood,4.5,35,"{'latitude': 34.0942618, 'longitude': -118.348801}",
Fanciful Fox Studio,"['857 S San Pedro St', 'Los Angeles, CA 90014']",Los Angeles,5.0,3,"{'latitude': 34.037553, 'longitude': -118.2502721}",
Dream Reach Media,"['Santa Monica, CA 90404']",Santa Monica,4.5,19,"{'latitude': 34.0334815979004, 'longitude': -118.473663330078}",
Wheelhouse LA Production/Talent Motorhomes Rental Company,"['Burbank, CA 91502']",Burbank,5.0,5,"{'latitude': 34.1776237487793, 'longitude': -118.307220458984}",
Deja Vu Productions,"['3767 Clarington Ave', 'Los Angeles, CA 90034']",Los Angeles,5.0,46,"{'latitude': 34.0227607, 'longitude': -118.401562}",
Lacy Street Production Center,"['2630 Lacy St', 'Los Angeles, CA 90031']",Los Angeles,4.5,3,"{'latitude': 34.0821533, 'longitude': -118.2197573}",
The Rose Room,"['6 Rose Ave', 'Los Angeles, CA 90291']",Los Angeles,5.0,7,"{'latitude': 33.9947194648502, 'longitude': -118.480286767107}",
ADS,"['948 N Cahuenga Blvd', 'Los Angeles, CA 90038']",Los Angeles,5.0,2,"{'latitude': 34.0883278101683, 'longitude': -118.328787535429}",
ReKon Productions,"['4200 Sepulveda Blvd', 'Ste 102', 'Culver City, CA 90230']",Culver City,5.0,7,"{'latitude': 34.0061556, 'longitude': -118.4115555}",
EVS,"['1819 Victory Blvd', 'Glendale, CA 91201']",Glendale,4.5,45,"{'latitude': 34.1632843017578, 'longitude': -118.302536010742}",
Planet Video Demo Reels,"['1617 N El Centro Ave', 'Ste 12', 'Los Angeles, CA 90028']",Los Angeles,5.0,4,"{'latitude': 34.100409, 'longitude': -118.323864}",
Castex Rentals,"['1044 Cole Ave', 'Los Angeles, CA 90038']",Los Angeles,5.0,29,"{'latitude': 34.0902989663147, 'longitude': -118.329701932541}",
Warner Bros Studios,"['4000 Warner Blvd', 'Burbank, CA 91505']",Burbank,4.0,218,"{'latitude': 34.1481742858887, 'longitude': -118.338485717773}",
Long Haul Films,"['1855 Industrial St', 'Los Angeles, CA 90021']",Los Angeles,5.0,7,"{'latitude': 34.0360135, 'longitude': -118.2331568}",
Samy's Cinema Works,"['431 S Fairfax Ave', 'Los Angeles, CA 90036']",Los Angeles,5.0,7,"{'latitude': 34.0689, 'longitude': -118.36171}",
Illuminar,"['119 East Palmer Ave', 'Glendale, CA 91205']",Glendale,5.0,5,"{'latitude': 34.1328034036668, 'longitude': -118.25406172576}",
