Name,Address,City,Rating,Review Count,Coordinates,Price
The Rooftop at The Wayfarer Downtown LA,"['813 Flower St', 'Los Angeles, CA 90017']",Los Angeles,4.0,89,"{'latitude': 34.04712, 'longitude': -118.26073}",3.0
Tiki-Ti Cocktail Lounge,"['4427 W Sunset Blvd', 'Los Angeles, CA 90027']",Los Angeles,4.5,878,"{'latitude': 34.097488, 'longitude': -118.285796}",2.0
Potions & Poisons,"['3514 W 8th St', 'Los Angeles, CA 90005']",Los Angeles,5.0,75,"{'latitude': 34.05727, 'longitude': -118.30745667}",2.0
Little Bar,"['757 S La Brea Ave', 'Los Angeles, CA 90036']",Los Angeles,4.0,451,"{'latitude': 34.06067, 'longitude': -118.34498}",2.0
R Bar,"['3331 W 8th St', 'Los Angeles, CA 90005']",Los Angeles,4.0,621,"{'latitude': 34.0578806, 'longitude': -118.3011019}",2.0
High Rooftop Lounge,"['1697 Pacific Ave', 'Venice, CA 90291']",Venice,3.5,714,"{'latitude': 33.986956, 'longitude': -118.47245}",2.0
Sunset & Vinyl,"['1521 Vine St', 'Los Angeles, CA 90028']",Los Angeles,4.5,126,"{'latitude': 34.0983462, 'longitude': -118.3267978}",2.0
Novacane Sports Bar & Grill,"['5812 S Santa Fe Ave', 'Los Angeles, CA 90058']",Los Angeles,4.5,285,"{'latitude': 33.9899891, 'longitude': -118.2301951}",2.0
The Well,"['6255 W Sunset Blvd', 'Ste 115', 'Los Angeles, CA 90028']",Los Angeles,4.0,739,"{'latitude': 34.0988092, 'longitude': -118.3254673}",2.0
The Normandie Club,"['3612 W 6th St', 'Los Angeles, CA 90020']",Los Angeles,4.0,272,"{'latitude': 34.0633927974575, 'longitude': -118.300963193331}",2.0
No Vacancy,"['1727 N Hudson Ave', 'Los Angeles, CA 90028']",Los Angeles,3.5,737,"{'latitude': 34.1022403512773, 'longitude': -118.332517614313}",2.0
Adults Only,"['7065 Sunset Blvd', 'Los Angeles, CA 90028']",Los Angeles,3.5,205,"{'latitude': 34.0985330409662, 'longitude': -118.343566842377}",2.0
The Phoenix,"['8480 W 3rd St', 'Los Angeles, CA 90048']",Los Angeles,4.0,224,"{'latitude': 34.07304, 'longitude': -118.37585}",2.0
Rhythm Room LA,"['206 W 6th St', 'Los Angeles, CA 90014']",Los Angeles,4.5,292,"{'latitude': 34.0460420449571, 'longitude': -118.251199635686}",2.0
BANG BANG ROOM,"['221 W 7th St', 'Los Angeles, CA 90014']",Los Angeles,4.5,112,"{'latitude': 34.0450032322294, 'longitude': -118.252923754359}",2.0
Lost Property Bar,"['1704 N Vine St', 'Hollywood, CA 90028']",Hollywood,4.5,207,"{'latitude': 34.1019182, 'longitude': -118.3265039}",2.0
Mama Shelter Rooftop Bar,"['6500 Selma Ave', 'Los Angeles, CA 90028']",Los Angeles,3.5,517,"{'latitude': 34.0996099751367, 'longitude': -118.331350050867}",2.0
La Chuperia,"['1145 N Mission Rd', 'Los Angeles, CA 90033']",Los Angeles,4.5,536,"{'latitude': 34.06161, 'longitude': -118.21326}",2.0
EP & LP,"['603 N La Cienega Blvd', 'West Hollywood, CA 90069']",West Hollywood,3.0,1544,"{'latitude': 34.0821012, 'longitude': -118.3766549}",2.0
Perch,"['448 S Hill St', 'Los Angeles, CA 90013']",Los Angeles,4.0,8094,"{'latitude': 34.04897, 'longitude': -118.2514}",3.0
Frolic Room,"['6245 Hollywood Blvd', 'Los Angeles, CA 90028']",Los Angeles,4.0,448,"{'latitude': 34.10184, 'longitude': -118.32592}",2.0
Seven Grand,"['515 W 7th St', 'Fl 2', 'Los Angeles, CA 90014']",Los Angeles,4.0,2138,"{'latitude': 34.047132, 'longitude': -118.2558135}",2.0
Bar Restaurant,"['4326 Sunset Blvd', 'Los Angeles, CA 90029']",Los Angeles,4.0,46,"{'latitude': 34.09509, 'longitude': -118.283668}",
