Name,Address,City,Rating,Review Count,Coordinates,Price,Id,Categories
Aire Ancient Baths - New York,"['88 Franklin St', 'New York, NY 10013']",New York,4.0,840,"{'latitude': 40.71823, 'longitude': -74.00473}",3.0,mM1uQFMZNZtrGHZzB1ghMQ,"[{'alias': 'massage', 'title': 'Massage'}]"
Nuansa Spa,"['605 Fifth Ave', 'Fl 5', 'New York, NY 10017']",New York,5.0,210,"{'latitude': 40.75755, 'longitude': -73.97752}",3.0,BqNXOy5WJjIoNTX_Xg2wOg,"[{'alias': 'skincare', 'title': 'Skin Care'}, {'alias': 'massage', 'title': 'Massage'}, {'alias': 'spas', 'title': 'Day Spas'}]"
Shibui,"['377 Greenwich St', 'Manhattan, NY 10013']",Manhattan,4.0,35,"{'latitude': 40.71989, 'longitude': -74.01002}",3.0,ZkI3V9xcL5r8Tw5kS0BgRw,"[{'alias': 'spas', 'title': 'Day Spas'}]"
Ohm Spa & Lounge,"['205 E 16th St', 'Ste M2A (Fl 2)', 'New York, NY 10001']",New York,4.5,240,"{'latitude': 40.7345957, 'longitude': -73.9855511}",3.0,Nu6403eEBOQvI58_ly2p7w,"[{'alias': 'spas', 'title': 'Day Spas'}, {'alias': 'massage', 'title': 'Massage'}, {'alias': 'skincare', 'title': 'Skin Care'}]"
SoJo Spa Club,"['660 River Rd', 'Edgewater, NJ 07020']",Edgewater,3.5,1667,"{'latitude': 40.81893, 'longitude': -73.97956}",3.0,G4cXJFAnUMoX6BkmCNTbug,"[{'alias': 'hydrotherapy', 'title': 'Hydrotherapy'}, {'alias': 'saunas', 'title': 'Saunas'}, {'alias': 'spas', 'title': 'Day Spas'}]"
The Mandarin Spa,"['21 West 45th St', 'Ste 501', 'New York, NY 10018']",New York,4.5,128,"{'latitude': 40.756048, 'longitude': -73.980412}",2.0,EDdR1Xd-7v_m4_qs3UY3Yw,"[{'alias': 'spas', 'title': 'Day Spas'}, {'alias': 'tcm', 'title': 'Traditional Chinese Medicine'}]"
Pure Qi Spa,"['268 Driggs Ave', 'Brooklyn, NY 11222']",Brooklyn,4.5,350,"{'latitude': 40.72272, 'longitude': -73.94853}",2.0,VV8yib_qgXF9hVk1V9AB3g,"[{'alias': 'massage', 'title': 'Massage'}, {'alias': 'spas', 'title': 'Day Spas'}]"
Glo Boutique Spa,"['74 N 8th St', 'Brooklyn, NY 11249']",Brooklyn,5.0,33,"{'latitude': 40.72038, 'longitude': -73.96051}",,xHRYw4lx7O81o8MfRTZgHg,"[{'alias': 'massage', 'title': 'Massage'}, {'alias': 'skincare', 'title': 'Skin Care'}, {'alias': 'massage_therapy', 'title': 'Massage Therapy'}]"
Cynergy Spa,"['87 Fort Greene Pl', 'Brooklyn, NY 11217']",Brooklyn,4.5,140,"{'latitude': 40.687446, 'longitude': -73.976346}",3.0,wLDo9mjgv3zw_vfK1tQ5-A,"[{'alias': 'spas', 'title': 'Day Spas'}, {'alias': 'massage', 'title': 'Massage'}, {'alias': 'skincare', 'title': 'Skin Care'}]"
cityWell Brooklyn,"['496 President St', 'Brooklyn, NY 11215']",Brooklyn,4.5,43,"{'latitude': 40.6778526306152, 'longitude': -73.9868698120117}",2.0,0sKA_7c8TwDtvm63_bYTgw,"[{'alias': 'spas', 'title': 'Day Spas'}, {'alias': 'massage_therapy', 'title': 'Massage Therapy'}, {'alias': 'hydrotherapy', 'title': 'Hydrotherapy'}]"
Bamford Haybarn Spa,"['60 Furman St', 'Brooklyn, NY 11201']",Brooklyn,4.0,28,"{'latitude': 40.701758, 'longitude': -73.995995}",,8YHDVxA8qh03OBYlxS-RtQ,"[{'alias': 'spas', 'title': 'Day Spas'}]"
New York Spa Sauna,"['149-06 Northern Blvd', 'Flushing, NY 11354']",Flushing,4.0,134,"{'latitude': 40.765315, 'longitude': -73.816745}",2.0,yzG1kJ-wuHsCjqhzM1SOag,"[{'alias': 'spas', 'title': 'Day Spas'}]"
Renew Day Spa II,"['78 Bowery St', 'Fl 1', 'New York, NY 10013']",New York,5.0,247,"{'latitude': 40.71688, 'longitude': -73.9959}",1.0,4RQbiWHeHa42PA58mdh2aA,"[{'alias': 'massage', 'title': 'Massage'}, {'alias': 'reflexology', 'title': 'Reflexology'}]"
