Name,Address,City,Rating,Review Count,Coordinates,Price,Id,Categories
Spa LA,"['3442 Wilshire Blvd', 'Ste 100', 'Los Angeles, CA 90010']",Los Angeles,4.5,285,"{'latitude': 34.06146, 'longitude': -118.299043}",,-vFO0DJAymerNBNyaHRKoA,"[{'alias': 'spas', 'title': 'Day Spas'}, {'alias': 'skincare', 'title': 'Skin Care'}, {'alias': 'massage_therapy', 'title': 'Massage Therapy'}]"
Tomoko Japanese Spa,"['141 S Beverly Dr', 'Beverly Hills, CA 90212']",Beverly Hills,5.0,269,"{'latitude': 34.0661475, 'longitude': -118.399275}",4.0,4BxVsf7pOENjW_84JkrCYQ,"[{'alias': 'massage', 'title': 'Massage'}, {'alias': 'spas', 'title': 'Day Spas'}]"
Spa Palace,"['620 S Union Ave', 'Los Angeles, CA 90017']",Los Angeles,3.5,1387,"{'latitude': 34.0560864465747, 'longitude': -118.269035971689}",2.0,R_FOybCX6e3GilPvoS89Lw,"[{'alias': 'spas', 'title': 'Day Spas'}, {'alias': 'massage', 'title': 'Massage'}, {'alias': 'skincare', 'title': 'Skin Care'}]"
Hideko Spa,"['12211 Wilshire Blvd', 'Los Angeles, CA 90025']",Los Angeles,4.5,104,"{'latitude': 34.0433206397985, 'longitude': -118.468689210713}",2.0,YKjkCdo-IR1IZpFWg3oXhQ,"[{'alias': 'massage_therapy', 'title': 'Massage Therapy'}, {'alias': 'spas', 'title': 'Day Spas'}, {'alias': 'skincare', 'title': 'Skin Care'}]"
Blossom Spa Hollywood,"['1354 N Highland Ave', 'Los Angeles, CA 90028']",Los Angeles,4.5,536,"{'latitude': 34.0959426, 'longitude': -118.3384756}",2.0,k3ws06W1gCbI9eIz-XbCOA,"[{'alias': 'spas', 'title': 'Day Spas'}, {'alias': 'massage', 'title': 'Massage'}, {'alias': 'reflexology', 'title': 'Reflexology'}]"
Larchmont Sanctuary Spa,"['331 N Larchmont Blvd', 'Los Angeles, CA 90004']",Los Angeles,4.5,125,"{'latitude': 34.07713, 'longitude': -118.32399}",2.0,LBmz5MBiwaQ2sy-hQXiPCg,"[{'alias': 'spas', 'title': 'Day Spas'}, {'alias': 'skincare', 'title': 'Skin Care'}, {'alias': 'waxing', 'title': 'Waxing'}]"
Dtox Day Spa,"['3206 Los Feliz Blvd', 'Los Angeles, CA 90039']",Los Angeles,4.5,356,"{'latitude': 34.123084, 'longitude': -118.268697}",3.0,czBRBcPEIuYSBXZhD9eHaA,"[{'alias': 'spas', 'title': 'Day Spas'}, {'alias': 'massage', 'title': 'Massage'}, {'alias': 'skincare', 'title': 'Skin Care'}]"
rA Organic Spa,"['119 N San Fernando Blvd', 'Burbank, CA 91502']",Burbank,4.5,547,"{'latitude': 34.1811462, 'longitude': -118.309344}",3.0,CdIXE7nLM56hjh5bSDSsUA,"[{'alias': 'spas', 'title': 'Day Spas'}, {'alias': 'massage', 'title': 'Massage'}, {'alias': 'skincare', 'title': 'Skin Care'}]"
"The Ritz-Carlton Spa, Los Angeles","['900 W Olympic Blvd', 'The Ritz-Carlton', 'Los Angeles, CA 90015']",Los Angeles,4.0,92,"{'latitude': 34.0452863053836, 'longitude': -118.266664110867}",3.0,dzUbPftv37FoMeXEHeaz0g,"[{'alias': 'massage', 'title': 'Massage'}, {'alias': 'othersalons', 'title': 'Nail Salons'}, {'alias': 'spas', 'title': 'Day Spas'}]"
V Spa Korean JimJilBang,"['1130 Fair Oaks Ave', 'South Pasadena, CA 91030']",South Pasadena,4.5,47,"{'latitude': 34.112824, 'longitude': -118.150172}",2.0,VfFU3LZlPEDden0ZBS_vrg,"[{'alias': 'spas', 'title': 'Day Spas'}, {'alias': 'saunas', 'title': 'Saunas'}]"
Century Day & Night Spa,"['4120 W Olympic Blvd', 'Los Angeles, CA 90019']",Los Angeles,3.5,608,"{'latitude': 34.05404, 'longitude': -118.3227}",2.0,Fukgzc6euPbsVX9Kvj7nXw,"[{'alias': 'spas', 'title': 'Day Spas'}, {'alias': 'massage', 'title': 'Massage'}, {'alias': 'saunas', 'title': 'Saunas'}]"
The Raven Spa,"['2910 Rowena Ave', 'Los Angeles, CA 90039']",Los Angeles,4.0,427,"{'latitude': 34.10809, 'longitude': -118.26842}",2.0,HbYWjOFEggFCfsLay69AJg,"[{'alias': 'spas', 'title': 'Day Spas'}, {'alias': 'acupuncture', 'title': 'Acupuncture'}, {'alias': 'massage_therapy', 'title': 'Massage Therapy'}]"
Crystal Spa,"['3500 W 6th St', 'Ste 321', 'Los Angeles, CA 90020']",Los Angeles,3.5,457,"{'latitude': 34.0630683898926, 'longitude': -118.298408508301}",2.0,UDes-i1wNCZabmg_YSgq6g,"[{'alias': 'spas', 'title': 'Day Spas'}, {'alias': 'massage', 'title': 'Massage'}]"
The Spa at Terranea,"['100 Terranea Way', 'Rancho Palos Verdes, CA 90275']",Rancho Palos Verdes,4.0,129,"{'latitude': 33.7395694, 'longitude': -118.3989944}",3.0,zciucrzxvd3NAbB3u1FzNw,"[{'alias': 'spas', 'title': 'Day Spas'}]"
Ole Henriksen Face & Body Spa,"['8622 W Sunset Blvd', 'Ste A', 'West Hollywood, CA 90069']",West Hollywood,4.5,246,"{'latitude': 34.0921090563275, 'longitude': -118.379567758058}",3.0,iQhtj5XU8fu6fc-d-udzWg,"[{'alias': 'skincare', 'title': 'Skin Care'}, {'alias': 'spas', 'title': 'Day Spas'}, {'alias': 'waxing', 'title': 'Waxing'}]"
Riviera Health Spa,"['3601 Lomita Blvd', 'Torrance, CA 90505']",Torrance,4.0,377,"{'latitude': 33.8155057, 'longitude': -118.3480274}",2.0,PX2ByeXdruZq5bHC-s_xyw,"[{'alias': 'spas', 'title': 'Day Spas'}, {'alias': 'saunas', 'title': 'Saunas'}]"
Trilogy Spa,"['451 Manhattan Beach Blvd', 'Manhattan Beach, CA 90266']",Manhattan Beach,4.0,325,"{'latitude': 33.886101, 'longitude': -118.408424}",2.0,UVKTWuhlZh7PWHNq4MTrXg,"[{'alias': 'spas', 'title': 'Day Spas'}, {'alias': 'massage', 'title': 'Massage'}, {'alias': 'personal_shopping', 'title': 'Personal Shopping'}]"
Sparadise La Brea,"['1251 S La Brea Ave', 'Los Angeles, CA 90019']",Los Angeles,4.5,422,"{'latitude': 34.0518763, 'longitude': -118.3444352}",2.0,kquKBlCcNzCoJ3J3EMCYjQ,"[{'alias': 'massage', 'title': 'Massage'}, {'alias': 'spas', 'title': 'Day Spas'}, {'alias': 'massage_therapy', 'title': 'Massage Therapy'}]"
Willow Spa,"['3127 Santa Monica Blvd', 'Santa Monica, CA 90404']",Santa Monica,4.5,176,"{'latitude': 34.03785, 'longitude': -118.469076}",3.0,VZ1cIZfX4QOMWfrm1ueV0g,"[{'alias': 'spas', 'title': 'Day Spas'}]"
Sparadise Massage & Spa,"['13732 Ventura Blvd', 'Ste B', 'Sherman Oaks, CA 91423']",Sherman Oaks,4.5,242,"{'latitude': 34.1479, 'longitude': -118.43227}",2.0,R8caaZFnBa0WOxrznWgrhA,"[{'alias': 'spas', 'title': 'Day Spas'}, {'alias': 'massage_therapy', 'title': 'Massage Therapy'}]"
Desuar Spa,"['2211 Hyperion Ave', 'Los Angeles, CA 90027']",Los Angeles,5.0,7,"{'latitude': 34.10033, 'longitude': -118.27348}",,T6srRZ1vqzGCeQP4gB9IyA,"[{'alias': 'massage', 'title': 'Massage'}, {'alias': 'skincare', 'title': 'Skin Care'}, {'alias': 'reflexology', 'title': 'Reflexology'}]"
Reboot Organic Spa and Massage,"['4602 Eagle Rock Blvd', 'Los Angeles, CA 90041']",Los Angeles,5.0,41,"{'latitude': 34.1275, 'longitude': -118.2176}",,2EhVbcHjsmlP2Qs5vpinWw,"[{'alias': 'spas', 'title': 'Day Spas'}, {'alias': 'massage', 'title': 'Massage'}, {'alias': 'massage_therapy', 'title': 'Massage Therapy'}]"
